"","featureid","mz","rt","DTXSID","DB_name","name_original","formula_cleaned","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"405","425.2142-871.7",425.2142,871.7,"DTXSID3073052","DTXSID3073052","Phenol,,4,4'-[1-[4-[1-(4-hydroxyphenyl)-1-methylethyl]phenyl]ethylidene]bis-","C29H28O3","firefighter",12704.4378260746,NA,0,1
"406","295.22728-703.4",295.22728,703.4,"DTXSID3075044","DTXSID3075044","2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol","C18H30O3","firefighter",108670.101926999,NA,0,1
"407","295.22455-697.3",295.22455,697.3,"DTXSID3075044","DTXSID3075044","2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol","C18H30O3","firefighter",85143.0202061213,NA,0,1
"408","373.16634-612.3",373.16634,612.3,"DTXSID30865801","DTXSID30865801","Tetrahydrocurcumin","C21H24O6","firefighter",4593.90838574621,NA,0,0
"409","193.03434-42.6",193.03434,42.6,"DTXSID30983958","DTXSID30983958","DISODIUM,CUPRIC,CITRATE","C6H4CuNa2O7","firefighter",19001.0550058658,NA,0,1
"410","176.06973-122.6",176.06973,122.6,"DTXSID40176819","DTXSID40176819","4-Anilinofuran-2(5H)-one","C10H9NO2","firefighter",43636.3262728022,NA,0,1
"411","176.07054-330.7",176.07054,330.7,"DTXSID40176819","DTXSID40176819","4-Anilinofuran-2(5H)-one","C10H9NO2","firefighter",5343.02884226117,NA,0,0
"412","176.07063-155.3",176.07063,155.3,"DTXSID40176819","DTXSID40176819","4-Anilinofuran-2(5H)-one","C10H9NO2","firefighter",112869.920564048,NA,0,1
"413","208.1334-385.8",208.1334,385.8,"DTXSID40192796","DTXSID40192796","Acetic,acid,,2-(p-(butylamino)phenyl)-","C12H17NO2","firefighter",24537.6229784004,NA,0,1
"414","149.09593-613.3",149.09593,613.3,"DTXSID4020086","DTXSID4020086","Anethole","C10H12O","firefighter",114230.979901306,NA,0,1
"415","289.21592-1163.3",289.21592,1163.3,"DTXSID4020379","DTXSID4020379","Dehydroepiandrosterone","C19H28O2","firefighter",3656.25499659597,NA,1,0
"416","289.21605-597.2",289.21605,597.2,"DTXSID4020379","DTXSID4020379","Dehydroepiandrosterone","C19H28O2","firefighter",8827.42651898799,NA,1,0
"417","166.08658-110.1",166.08658,110.1,"DTXSID4020581","DTXSID4020581","2-Ethoxybenzamide","C9H11NO2","firefighter",1216509.40464387,NA,0,1
"418","385.23432-665",385.23432,665,"DTXSID4020614","DTXSID4020614","Ethynodiol,diacetate","C24H32O4","firefighter",15479.3806344053,NA,1,1
"419","195.10154-474.3",195.10154,474.3,"DTXSID4020749","DTXSID4020749","Isobutylparaben","C11H14O3","firefighter",77811.3198123945,NA,0,1
"420","341.24528-1177.9",341.24528,1177.9,"DTXSID4020870","DTXSID4020870","2,2'-Methylenebis(4-methyl-6-tert-butylphenol)","C23H32O2","firefighter",231259.524153603,NA,0,1
"421","143.08539-1163.8",143.08539,1163.8,"DTXSID4020878","DTXSID4020878","2-Methylnaphthalene","C11H10","firefighter",11868.7747056486,NA,0,1
"422","153.06565-101.2",153.06565,101.2,"DTXSID4020959","DTXSID4020959","2-Methyl-5-nitroaniline","C7H8N2O2","firefighter",315804.954728867,NA,1,1
"423","202.08589-343.1",202.08589,343.1,"DTXSID4021268","DTXSID4021268","Simazine","C7H12ClN5","firefighter",16738.7678032644,NA,1,1
"424","355.18754-674.5",355.18754,674.5,"DTXSID4021397","DTXSID4021397","(+-)-7-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-7-phenylheptanoic,acid","C22H26O4","firefighter",26174.9267904107,NA,0,1
"425","285.22138-1094.2",285.22138,1094.2,"DTXSID4021478","DTXSID4021478","Lynestrenol","C20H28O","firefighter",38149.7809078213,NA,1,1
"426","165.05479-729.1",165.05479,729.1,"DTXSID40218945","DTXSID40218945","5-Acetylsalicylaldehyde","C9H8O3","firefighter",56722.9554038353,NA,0,1
"427","194.1544-489.7",194.1544,489.7,"DTXSID4022288","DTXSID4022288","4-Hexyloxyaniline","C12H19NO","firefighter",5862.08798344288,NA,0,0
"428","237.14681-495.6",237.14681,495.6,"DTXSID4022523","DTXSID4022523","Heptylparaben","C14H20O3","firefighter",198830.451380842,NA,0,1
"429","181.08612-312.8",181.08612,312.8,"DTXSID4022527","DTXSID4022527","Propylparaben","C10H12O3","firefighter",438456.559740933,NA,1,1
"430","353.23026-531.9",353.23026,531.9,"DTXSID4022947","DTXSID4022947","Dinoprostone","C20H32O5","firefighter",36015.9319474287,NA,0,1
"431","301.21605-1163.8",301.21605,1163.8,"DTXSID4023177","DTXSID4023177","13-cis,Retinoic,acid","C20H28O2","firefighter",9979.77319109149,NA,0,0
"432","190.0863-409.7",190.0863,409.7,"DTXSID4023460","DTXSID4023460","Phensuximide","C11H11NO2","firefighter",60204.3486953289,NA,0,1
"433","242.14467-473.3",242.14467,473.3,"DTXSID4024272","DTXSID4024272","Prometryn","C10H19N5S","firefighter",104527.475109221,NA,1,1
"434","143.10671-256.2",143.10671,256.2,"DTXSID4024696","DTXSID4024696","Butyl,methacrylate","C8H14O2","firefighter",10511.6564613408,NA,1,1
"435","219.13846-515.5",219.13846,515.5,"DTXSID4025454","DTXSID4025454","3-Methylbutyl,cinnamate","C14H18O2","firefighter",287494.776421286,NA,0,1
"436","219.13809-525.4",219.13809,525.4,"DTXSID4025454","DTXSID4025454","3-Methylbutyl,cinnamate","C14H18O2","firefighter",302454.888756126,NA,0,1
"437","147.0805-1163.8",147.0805,1163.8,"DTXSID4025587","DTXSID4025587","2-Methylcinnamic,aldehyde","C10H10O","firefighter",12077.4827288283,NA,0,1
"438","165.05479-729.1",165.05479,729.1,"DTXSID4025610","DTXSID4025610","Methyl,4-formylbenzoate","C9H8O3","firefighter",56722.9554038353,NA,0,1
"439","147.0805-1163.8",147.0805,1163.8,"DTXSID4025662","DTXSID4025662","Methyl,styryl,ketone","C10H10O","firefighter",12077.4827288283,NA,0,1
"440","151.0753-264.5",151.0753,264.5,"DTXSID4025668","DTXSID4025668","Methyl,4-methylbenzoate","C9H10O2","firefighter",42783.1834064619,NA,0,1
"441","151.0753-592",151.0753,592,"DTXSID4025668","DTXSID4025668","Methyl,4-methylbenzoate","C9H10O2","firefighter",10216.1582339822,NA,0,1
"442","151.07531-342.1",151.07531,342.1,"DTXSID4025668","DTXSID4025668","Methyl,4-methylbenzoate","C9H10O2","firefighter",34586.4768422137,NA,0,1
"443","151.07572-210",151.07572,210,"DTXSID4025668","DTXSID4025668","Methyl,4-methylbenzoate","C9H10O2","firefighter",15008.4084119952,NA,0,1
"444","217.15873-613.9",217.15873,613.9,"DTXSID4026684","DTXSID4026684","2-(Phenylmethylene)octanal","C15H20O","firefighter",7395.81710176506,NA,0,0
"445","135.11667-707.3",135.11667,707.3,"DTXSID4026711","DTXSID4026711","1,4-Diethylbenzene","C10H14","firefighter",56544.8385234168,NA,0,1
"446","255.23194-697.4",255.23194,697.4,"DTXSID4027103","DTXSID4027103","Dodecyl,2-methylacrylate","C16H30O2","firefighter",20514.7519377021,NA,1,1
"447","281.17245-402.2",281.17245,402.2,"DTXSID4029193","DTXSID4029193","Dicyclohexyl,maleate","C16H24O4","firefighter",50553.4819105909,NA,0,1
"448","297.27862-997.2",297.27862,997.2,"DTXSID4029276","DTXSID4029276","2-Propenoic,acid,,2-methyl,-,pentadecyl,ester","C19H36O2","firefighter",26135.9948950146,NA,0,1
"449","229.08644-167.8",229.08644,167.8,"DTXSID4031980","DTXSID4031980","Resveratrol","C14H12O3","firefighter",14679.014127438,NA,0,1
"450","229.08644-167.8",229.08644,167.8,"DTXSID4033390","DTXSID4033390","Desmethoxyyangonin","C14H12O3","firefighter",14679.014127438,NA,0,1
"451","185.15367-748.5",185.15367,748.5,"DTXSID4034287","DTXSID4034287","5-Heptyldihydro-2(3H)-furanone","C11H20O2","firefighter",1682.33893971291,NA,1,0
"452","185.15368-439.5",185.15368,439.5,"DTXSID4034287","DTXSID4034287","5-Heptyldihydro-2(3H)-furanone","C11H20O2","firefighter",6884.47897354081,NA,1,0
"453","304.26107-1013.8",304.26107,1013.8,"DTXSID4034601","DTXSID4034601","(2R,6S)-Fenpropimorph","C20H33NO","firefighter",182300.225834819,NA,0,1
"454","303.23139-770.6",303.23139,770.6,"DTXSID4036489","DTXSID4036489","Mibolerone","C20H30O2","firefighter",221663.875967422,NA,0,1
"455","303.23166-762.9",303.23166,762.9,"DTXSID4036489","DTXSID4036489","Mibolerone","C20H30O2","firefighter",195608.291160432,NA,0,1
"456","223.13329-633.7",223.13329,633.7,"DTXSID4038924","DTXSID4038924","Hexyl,salicylate","C13H18O3","firefighter",442148.097813366,NA,0,1
"457","223.09662-312.8",223.09662,312.8,"DTXSID4040002","DTXSID4040002","Monobutyl,phthalate","C12H14O4","firefighter",181964.684127261,NA,0,1
"458","327.11778-633.7",327.11778,633.7,"DTXSID4040268","DTXSID4040268","Dinobuton","C14H18N2O7","firefighter",77077.1091636337,NA,0,1
"459","391.24497-769.8",391.24497,769.8,"DTXSID4040684","DTXSID4040684","Mevastatin","C23H34O5","firefighter",19242.2440041179,NA,0,1
"460","391.2451-881.8",391.2451,881.8,"DTXSID4040684","DTXSID4040684","Mevastatin","C23H34O5","firefighter",4594.74908512916,NA,0,0
"461","231.10227-370.9",231.10227,370.9,"DTXSID4040686","DTXSID4040686","NAPROXEN","C14H14O3","firefighter",534861.564380016,NA,0,1
"462","165.09096-265",165.09096,265,"DTXSID4040711","DTXSID4040711","Ethyl,2-methylbenzoate","C10H12O2","firefighter",37905.0022368175,NA,1,1
"463","283.15385-446.9",283.15385,446.9,"DTXSID4040713","DTXSID4040713","Octyl,gallate","C15H22O5","firefighter",126152.005617662,NA,1,1
"464","321.13044-359.5",321.13044,359.5,"DTXSID4041070","DTXSID4041070","Mycophenolic,acid","C17H20O6","firefighter",92272.4221025598,NA,0,1
"465","205.19496-1176.8",205.19496,1176.8,"DTXSID4041232","DTXSID4041232","1,3,5-Triisopropylbenzene","C15H24","firefighter",3098.67764634458,NA,0,0
"466","235.16951-1176.9",235.16951,1176.9,"DTXSID4041654","DTXSID4041654","2-Ethylhexyl,benzoate","C15H22O2","firefighter",41474.6346404398,NA,0,1
"467","179.14291-640.7",179.14291,640.7,"DTXSID4044581","DTXSID4044581","2-tert-Butyl-4-ethylphenol","C12H18O","firefighter",21603.2428850712,NA,0,1
"468","165.09096-265",165.09096,265,"DTXSID4044791","DTXSID4044791","Benzyl,propanoate","C10H12O2","firefighter",37905.0022368175,NA,0,1
"469","213.18493-747.5",213.18493,747.5,"DTXSID4044828","DTXSID4044828","Ethyl,undec-10-enoate","C13H24O2","firefighter",2663.91134083475,NA,0,0
"470","227.12557-405.2",227.12557,405.2,"DTXSID4044870","DTXSID4044870","Butane-1,4-diyl,bis(2-methylprop-2-enoate)","C12H18O4","firefighter",67417.6918353953,NA,0,1
"471","165.09096-265",165.09096,265,"DTXSID4044878","DTXSID4044878","Propyl,benzoate","C10H12O2","firefighter",37905.0022368175,NA,0,1
"472","229.12005-505.1",229.12005,505.1,"DTXSID4045472","DTXSID4045472","Nabumetone","C15H16O2","firefighter",16285.6634797709,NA,0,1
"473","373.234-464.8",373.234,464.8,"DTXSID4045474","DTXSID4045474","Rimexolone","C23H32O4","firefighter",16210.6813237237,NA,0,1
"474","246.17056-180.6",246.17056,180.6,"DTXSID4045682","DTXSID4045682","Pinacidil,monohydrate","C13H21N5O","firefighter",938267.414911507,NA,0,1
"475","290.15908-258.7",290.15908,258.7,"DTXSID4045767","DTXSID4045767","Etazolate,hydrochloride","C14H20ClN5O2","firefighter",13736.6702160029,NA,0,1
"476","310.2013-382.9",310.2013,382.9,"DTXSID4046078","DTXSID4046078","Metipranolol","C17H27NO4","firefighter",404000.208488972,NA,0,1
"477","364.16557-164.3",364.16557,164.3,"DTXSID4046280","DTXSID4046280","Adafenoxate","C20H26ClNO3","firefighter",15541.7333978929,NA,0,1
"478","285.14373-600",285.14373,600,"DTXSID4046949","DTXSID4046949","Promazine,hydrochloride","C17H21ClN2S","firefighter",4586.63765133373,NA,1,0
"479","285.14089-381.9",285.14089,381.9,"DTXSID4046949","DTXSID4046949","Promazine,hydrochloride","C17H21ClN2S","firefighter",8865.05106182533,NA,1,0
"480","165.1274-447.9",165.1274,447.9,"DTXSID4047092","DTXSID4047092","Jasmone","C11H16O","firefighter",135112.021051624,NA,0,1
"481","149.09593-613.3",149.09593,613.3,"DTXSID4047098","DTXSID4047098","3-Phenylbutyraldehyde","C10H12O","firefighter",114230.979901306,NA,0,1
"482","205.19496-1176.8",205.19496,1176.8,"DTXSID4047202","DTXSID4047202","alpha-Farnesene","C15H24","firefighter",3098.67764634458,NA,0,0
"483","383.24456-829.9",383.24456,829.9,"DTXSID4047333","DTXSID4047333","PharmaGSID_47333","C22H30N4O2","firefighter",5848.54918744793,NA,0,0
"484","165.1274-447.9",165.1274,447.9,"DTXSID4047468","DTXSID4047468","2-tert-Butyl-6-methylphenol","C11H16O","firefighter",135112.021051624,NA,0,1
"485","302.13857-445.8",302.13857,445.8,"DTXSID4047543","DTXSID4047543","Furalaxyl","C17H19NO4","firefighter",45074.3125014118,NA,0,1
"486","247.17244-180.1",247.17244,180.1,"DTXSID4047545","DTXSID4047545","3-Thiatetradecanoic,acid","C13H26O2S","firefighter",63199.3670013451,NA,0,1
"487","189.11101-256.2",189.11101,256.2,"DTXSID4047549","DTXSID4047549","Ethyl,2,4-dimethyl-1,3-dioxolane-2-acetate","C9H16O4","firefighter",10461.0773281038,NA,0,1
"488","255.23194-697.4",255.23194,697.4,"DTXSID4047622","DTXSID4047622","Oxacycloheptadecan-2-one","C16H30O2","firefighter",20514.7519377021,NA,0,1
"489","267.21065-1094.2",267.21065,1094.2,"DTXSID4048193","DTXSID4048193","4,4'-Di-tert-butylbiphenyl","C20H26","firefighter",11542.8614280202,NA,0,1
"490","166.12257-261.1",166.12257,261.1,"DTXSID4048199","DTXSID4048199","4-Butyloxyaniline","C10H15NO","firefighter",46350.6539655642,NA,0,1
"491","417.33565-903",417.33565,903,"DTXSID4048640","DTXSID4048640","Paricalcitol","C27H44O3","firefighter",14100.0633464607,NA,0,1
"492","357.20121-611.4",357.20121,611.4,"DTXSID4048935","DTXSID4048935","N-[1-[1-Methyl-2-(2-thienyl)ethyl]-4-piperidyl]-N-phenylpropanamide,hydrochloride","C21H29ClN2OS","firefighter",59034.5679313575,NA,0,1
"493","329.21394-811.6",329.21394,811.6,"DTXSID4048985","DTXSID4048985","beta-Estradiol,17-propionate","C21H28O3","firefighter",4056.30663879756,NA,0,0
"494","329.21418-1052.5",329.21418,1052.5,"DTXSID4048985","DTXSID4048985","beta-Estradiol,17-propionate","C21H28O3","firefighter",1500.12233995628,NA,0,0
"495","301.1261-323.8",301.1261,323.8,"DTXSID4049034","DTXSID4049034","Salidroside","C14H20O7","firefighter",13749.6408404234,NA,0,1
"496","185.11718-368.7",185.11718,368.7,"DTXSID4051405","DTXSID4051405","Cyclooct-4-en-1-yl,methyl,carbonate","C10H16O3","firefighter",272022.301218462,NA,0,1
"497","224.1263-369",224.1263,369,"DTXSID4057635","DTXSID4057635","Nicoboxil","C12H17NO3","firefighter",658425.662317434,NA,0,1
"498","457.25527-720.2",457.25527,720.2,"DTXSID4057689","DTXSID4057689","Estriol,tripropionate","C27H36O6","firefighter",4971.9475953767,NA,0,0
"499","391.14909-263.1",391.14909,263.1,"DTXSID4057712","DTXSID4057712","Lexiscan","C15H18N8O5","firefighter",5136.1427273751,NA,0,0
"500","391.14932-797.2",391.14932,797.2,"DTXSID4057712","DTXSID4057712","Lexiscan","C15H18N8O5","firefighter",2756.56329590295,NA,0,0
"501","250.14183-465.8",250.14183,465.8,"DTXSID4057841","DTXSID4057841","4-(2-Piperidinoethoxy)benzoic,acid,hydrochloride(1:1)","C14H20ClNO3","firefighter",4317.70772259923,NA,0,0
"502","249.18477-728.1",249.18477,728.1,"DTXSID4059542","DTXSID4059542","Benzeneacetic,acid,,octyl,ester","C16H24O2","firefighter",128976.840384055,NA,0,1
"503","249.18479-676.9",249.18479,676.9,"DTXSID4059542","DTXSID4059542","Benzeneacetic,acid,,octyl,ester","C16H24O2","firefighter",44893.1708589966,NA,0,1
"504","249.18311-707.3",249.18311,707.3,"DTXSID4059542","DTXSID4059542","Benzeneacetic,acid,,octyl,ester","C16H24O2","firefighter",134741.221338022,NA,0,1
"505","249.18498-1177",249.18498,1177,"DTXSID4059542","DTXSID4059542","Benzeneacetic,acid,,octyl,ester","C16H24O2","firefighter",22942.5969404415,NA,0,1
"506","249.18492-499.6",249.18492,499.6,"DTXSID4059542","DTXSID4059542","Benzeneacetic,acid,,octyl,ester","C16H24O2","firefighter",27387.3860981775,NA,0,1
"507","120.05566-104.7",120.05566,104.7,"DTXSID4065868","DTXSID4065868","1H-Benzotriazole,,sodium,salt","C6H5N3","firefighter",569032.69978711,NA,0,1
"508","120.05592-130.5",120.05592,130.5,"DTXSID4065868","DTXSID4065868","1H-Benzotriazole,,sodium,salt","C6H5N3","firefighter",4779787.66848792,NA,0,1
"509","120.056-127.5",120.056,127.5,"DTXSID4065868","DTXSID4065868","1H-Benzotriazole,,sodium,salt","C6H5N3","firefighter",3201922.48088581,NA,0,1
"510","523.34823-933.3",523.34823,933.3,"DTXSID4070326","DTXSID4070326","Bis[2-[2-(2-butoxyethoxy)ethoxy]ethyl],adipate","C26H50O10","firefighter",142728.280518377,NA,0,1
"511","442.28253-761.4",442.28253,761.4,"DTXSID4072780","DTXSID4072780","Phenol,,2-(2H-benzotriazol-2-yl)-6-(1-methyl-1-phenylethyl)-4-(1,1,3,3-tetramethylbutyl)-","C29H35N3O","firefighter",2264.09450393491,NA,0,0
"512","193.03434-42.6",193.03434,42.6,"DTXSID5020079","DTXSID5020079","Diammonium,citrate","C6H8O7","firefighter",19001.0550058658,NA,0,1
"513","265.08393-380.9",265.08393,380.9,"DTXSID5020360","DTXSID5020360","N-Cyclohexyl-2-benzothiazolesulfenamide","C13H16N2S2","firefighter",131043.971245252,NA,0,1
"514","297.18389-547.3",297.18389,547.3,"DTXSID5020576","DTXSID5020576","17alpha-Ethinylestradiol","C20H24O2","firefighter",5447.68361528155,NA,1,0
"515","297.18583-803.1",297.18583,803.1,"DTXSID5020576","DTXSID5020576","17alpha-Ethinylestradiol","C20H24O2","firefighter",2486.75401716,NA,1,0
"516","146.05996-270.5",146.05996,270.5,"DTXSID5020730","DTXSID5020730","8-Hydroxyquinoline","C9H7NO","firefighter",43558.784178079,NA,0,1
"517","146.06006-212.5",146.06006,212.5,"DTXSID5020730","DTXSID5020730","8-Hydroxyquinoline","C9H7NO","firefighter",132237.877822897,NA,0,1
"518","146.0601-316.3",146.0601,316.3,"DTXSID5020730","DTXSID5020730","8-Hydroxyquinoline","C9H7NO","firefighter",190906.812840431,NA,0,1
"519","146.06018-168.3",146.06018,168.3,"DTXSID5020730","DTXSID5020730","8-Hydroxyquinoline","C9H7NO","firefighter",393854.73718132,NA,0,1
"520","207.13815-1163.8",207.13815,1163.8,"DTXSID5020732","DTXSID5020732","Ibuprofen","C13H18O2","firefighter",10371.2393736753,NA,0,1
"521","176.06973-122.6",176.06973,122.6,"DTXSID5020738","DTXSID5020738","Indole-3-acetic,acid","C10H9NO2","firefighter",43636.3262728022,NA,0,1
"522","176.07063-155.3",176.07063,155.3,"DTXSID5020738","DTXSID5020738","Indole-3-acetic,acid","C10H9NO2","firefighter",112869.920564048,NA,0,1
"523","176.07054-330.7",176.07054,330.7,"DTXSID5020738","DTXSID5020738","Indole-3-acetic,acid","C10H9NO2","firefighter",5343.02884226117,NA,0,0
"524","405.2607-882.6",405.2607,882.6,"DTXSID5020784","DTXSID5020784","Lovastatin","C24H36O5","firefighter",8390.2373459282,NA,0,0
"525","405.26135-844.4",405.26135,844.4,"DTXSID5020784","DTXSID5020784","Lovastatin","C24H36O5","firefighter",13086.1988274593,NA,0,1
"526","181.07261-191",181.07261,191,"DTXSID5021336","DTXSID5021336","Theophylline","C7H8N4O2","firefighter",2422864.81705048,NA,0,1
"527","205.09733-136.5",205.09733,136.5,"DTXSID5021419","DTXSID5021419","l-Tryptophan","C11H12N2O2","firefighter",578015.022359432,NA,0,1
"528","157.12213-321.8",157.12213,321.8,"DTXSID5022194","DTXSID5022194","Hexyl,acrylate","C9H16O2","firefighter",46360.5888120233,NA,1,1
"529","303.15641-595.3",303.15641,595.3,"DTXSID5022437","DTXSID5022437","Nordihydroguaiaretic,acid","C18H22O4","firefighter",22960.8310580391,NA,1,1
"530","303.15659-650.6",303.15659,650.6,"DTXSID5022437","DTXSID5022437","Nordihydroguaiaretic,acid","C18H22O4","firefighter",32870.2188684976,NA,1,1
"531","417.33565-903",417.33565,903,"DTXSID5022722","DTXSID5022722","Calcitriol","C27H44O3","firefighter",14100.0633464607,NA,0,1
"532","361.20053-430.1",361.20053,430.1,"DTXSID5022857","DTXSID5022857","Cortisone","C21H28O5","firefighter",60927.1943167738,NA,0,1
"533","297.18389-547.3",297.18389,547.3,"DTXSID5023037","DTXSID5023037","Exemestane","C20H24O2","firefighter",5447.68361528155,NA,0,0
"534","297.18583-803.1",297.18583,803.1,"DTXSID5023037","DTXSID5023037","Exemestane","C20H24O2","firefighter",2486.75401716,NA,0,0
"535","234.14657-458.9",234.14657,458.9,"DTXSID5023299","DTXSID5023299","METHYLPHENIDATE","C14H19NO2","firefighter",9931.81456358491,NA,0,0
"536","451.21409-209",451.21409,209,"DTXSID5023586","DTXSID5023586","Sofalcone","C27H30O6","firefighter",86739.6823376937,NA,0,1
"537","333.24045-924.9",333.24045,924.9,"DTXSID5023794","DTXSID5023794","Oxymetholone","C21H32O3","firefighter",7440.99788816012,NA,0,0
"538","259.10791-249.3",259.10791,249.3,"DTXSID5024554","DTXSID5024554","4,4'-Dimethoxyazoxybenzene","C14H14N2O3","firefighter",114340.557252269,NA,0,1
"539","331.18791-728.6",331.18791,728.6,"DTXSID5025021","DTXSID5025021","Dicyclohexyl,phthalate","C20H26O4","firefighter",208217.273067906,NA,0,1
"540","331.18787-700.3",331.18787,700.3,"DTXSID5025021","DTXSID5025021","Dicyclohexyl,phthalate","C20H26O4","firefighter",101880.959486925,NA,0,1
"541","133.10105-1163.3",133.10105,1163.3,"DTXSID5025023","DTXSID5025023","Dicyclopentadiene","C10H12","firefighter",20383.9021167376,NA,0,1
"542","116.1068-72.9",116.1068,72.9,"DTXSID5025312","DTXSID5025312","N-Ethylmorpholine","C6H13NO","firefighter",43152.5703671388,NA,0,1
"543","136.07531-74.2",136.07531,74.2,"DTXSID5025570","DTXSID5025570","N-Methylbenzamide","C8H9NO","firefighter",27611.7023490964,NA,0,1
"544","136.07561-360.7",136.07561,360.7,"DTXSID5025570","DTXSID5025570","N-Methylbenzamide","C8H9NO","firefighter",54172.5690667161,NA,0,1
"545","137.05967-728.6",137.05967,728.6,"DTXSID5025572","DTXSID5025572","Methyl,benzoate","C8H8O2","firefighter",4881.93059087599,NA,0,0
"546","144.08079-168.3",144.08079,168.3,"DTXSID5025657","DTXSID5025657","7-Methylquinoline","C10H9N","firefighter",474751.157323295,NA,0,1
"547","297.27862-997.2",297.27862,997.2,"DTXSID5025811","DTXSID5025811","Methyl,(9Z)-octadec-9-enoate","C19H36O2","firefighter",26135.9948950146,NA,0,1
"548","285.22138-1094.2",285.22138,1094.2,"DTXSID5025998","DTXSID5025998","Retinal","C20H28O","firefighter",38149.7809078213,NA,0,1
"549","162.05494-440",162.05494,440,"DTXSID5027198","DTXSID5027198","N-Methylphthalimide","C9H7NO2","firefighter",8105.30855954994,NA,0,0
"550","162.05492-298.9",162.05492,298.9,"DTXSID5027198","DTXSID5027198","N-Methylphthalimide","C9H7NO2","firefighter",47602.8038598803,NA,0,1
"551","231.15904-439.5",231.15904,439.5,"DTXSID5027641","DTXSID5027641","Diisopropyl,adipate","C12H22O4","firefighter",14308.2342861254,NA,0,1
"552","177.0909-354",177.0909,354,"DTXSID50293884","DTXSID50293884","4,7-Dihydro-2-phenyl-1,3-dioxepin","C11H12O2","firefighter",41596.8742083656,NA,0,1
"553","285.07089-312.3",285.07089,312.3,"DTXSID50297408","DTXSID50297408","4-hydroxybutyl,3,5-dinitrobenzoate","C11H12N2O7","firefighter",102256.525802918,NA,0,1
"554","251.12799-447.4",251.12799,447.4,"DTXSID5031133","DTXSID5031133","Dipropyl,phthalate","C14H18O4","firefighter",192190.578653517,NA,0,1
"555","104.1072-67.5",104.1072,67.5,"DTXSID5031210","DTXSID5031210","Dimepranol","C5H13NO","firefighter",2927316.46431146,NA,0,1
"556","301.15204-329.7",301.15204,329.7,"DTXSID5032525","DTXSID5032525","Bifenazate","C17H20N2O3","firefighter",50913.0928324846,NA,0,1
"557","231.10227-370.9",231.10227,370.9,"DTXSID5033595","DTXSID5033595","Kavain","C14H14O3","firefighter",534861.564380016,NA,0,1
"558","313.15552-350",313.15552,350,"DTXSID5034698","DTXSID5034698","MCPA-2-ethylhexyl","C17H25ClO3","firefighter",1761683.67132889,NA,0,1
"559","221.15375-1163.7",221.15375,1163.7,"DTXSID5038830","DTXSID5038830","1,1-Dimethyl-2-phenylethyl,butanoate","C14H20O2","firefighter",26526.3048753605,NA,0,1
"560","275.22183-836.9",275.22183,836.9,"DTXSID5041275","DTXSID5041275","1-Monolaurin","C15H30O4","firefighter",6974.15461005665,NA,0,0
"561","293.24751-1103.7",293.24751,1103.7,"DTXSID5041560","DTXSID5041560","Methyl,linolenate","C19H32O2","firefighter",55353.5287563736,NA,0,1
"562","255.23194-697.4",255.23194,697.4,"DTXSID5041564","DTXSID5041564","9-Hexadecenoic,acid","C16H30O2","firefighter",20514.7519377021,NA,0,1
"563","506.27984-668.3",506.27984,668.3,"DTXSID5041695","DTXSID5041695","Butanedioic,acid,,sulfo,-,mono[2-[[(9Z)-1-oxo-9-octadecenyl]amino]ethyl],ester,,disodium,salt","C24H43NO8S","firefighter",7421.37493115164,NA,0,0
"564","339.05357-588",339.05357,588,"DTXSID5041778","DTXSID5041778","Chloropropylate","C17H16Cl2O3","firefighter",15827.8384260289,NA,0,1
"565","137.09596-473.3",137.09596,473.3,"DTXSID5042299","DTXSID5042299","4-Isopropylphenol","C9H12O","firefighter",130992.354254094,NA,0,1
"566","299.25793-1010.3",299.25793,1010.3,"DTXSID5042322_1","DTXSID5042322_1","Potassium,ricinoleate","C18H34O3","firefighter",11852.6618774197,NA,0,1
"567","299.25793-1010.3",299.25793,1010.3,"DTXSID5042322_2","DTXSID5042322_2","Potassium,ricinoleate","C18H34O3","firefighter",11852.6618774197,NA,0,1
"568","125.07073-111.1",125.07073,111.1,"DTXSID5044154","DTXSID5044154","3,3'-Oxydipropionitrile","C6H8N2O","firefighter",259227.286856859,NA,0,1
"569","125.07075-90.2",125.07075,90.2,"DTXSID5044154","DTXSID5044154","3,3'-Oxydipropionitrile","C6H8N2O","firefighter",265896.11880794,NA,0,1
"570","137.05967-728.6",137.05967,728.6,"DTXSID5044447","DTXSID5044447","3-Methoxybenzaldehyde","C8H8O2","firefighter",4881.93059087599,NA,0,0
"571","165.09096-265",165.09096,265,"DTXSID5044495","DTXSID5044495","4-(4-Hydroxyphenyl)butan-2-one","C10H12O2","firefighter",37905.0022368175,NA,0,1
"572","222.11283-278.6",222.11283,278.6,"DTXSID5044526","DTXSID5044526","N-(4-Ethoxyphenyl)-3-oxobutanamide","C12H15NO3","firefighter",21712.3729482902,NA,1,1
"573","319.13589-136.5",319.13589,136.5,"DTXSID5044576","DTXSID5044576","Acetyltriethyl,citrate","C14H22O8","firefighter",91074.1082510933,NA,0,1
