"","featureid","mz","rt","DTXSID","DB_name","name_original","Formula","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"406","339.2531-713.2",339.2531,713.2,"DTXSID2051710","DTXSID2051710","2-Ethylhexyl,fumarate","C20H36O4","firefighter",317594.03,NA,0,1
"407","339.2531-721.2",339.2531,721.2,"DTXSID2051710","DTXSID2051710","2-Ethylhexyl,fumarate","C20H36O4","firefighter",313056.2425,NA,0,1
"408","345.2269-340.4",345.2269,340.4,"DTXSID2051712","DTXSID2051712","Bis(2-butoxyethyl),adipate","C18H34O6","firefighter",22973.80335,NA,0,1
"409","209.1542-476.3",209.1542,476.3,"DTXSID2052152","DTXSID2052152","3-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde","C13H22O2","firefighter",28938.3183,NA,0,1
"410","283.2656-1027.8",283.2656,1027.8,"DTXSID2052312","DTXSID2052312","Hexadecyl,acetate","C18H36O2","firefighter",101386613.925,NA,0,1
"411","141.12828-450.9",141.12828,450.9,"DTXSID2052784","DTXSID2052784","4,6-Dimethyl-2-heptanone","C9H18O","firefighter",24370.779574554,NA,0,1
"412","327.2329-912.3",327.2329,912.3,"DTXSID2057730","DTXSID2057730","Promestriene","C22H32O2","firefighter",22151457,NA,0,1
"413","181.05047-71.2",181.05047,71.2,"DTXSID2057732","DTXSID2057732","Ethyl,protocatechuate","C9H10O4","firefighter",36429.018854696,NA,0,1
"414","289.0276-61.5",289.0276,61.5,"DTXSID20577986","DTXSID20577986","4-(PERFLUOROBUTYL)-2-BUTANONE","C8H7F9O","firefighter",11082.403225,NA,1,1
"415","130.08746-82.1",130.08746,82.1,"DTXSID2064600","DTXSID2064600","Sodium,6-aminohexanoate","C6H13NO2","firefighter",16269939.0255033,NA,0,1
"416","485.2778-823.8",485.2778,823.8,"DTXSID2072914","DTXSID2072914","12H-Dibenzo[d,g][1,3,2]dioxaphosphocin,,2,4,8,10-tetrakis(1,1-dimethylethyl)-6-hydroxy,-,6-oxide,,sodium,salt","C29H43O4P","firefighter",15268.314175,NA,0,1
"417","485.2868-719.2",485.2868,719.2,"DTXSID2072914","DTXSID2072914","12H-Dibenzo[d,g][1,3,2]dioxaphosphocin,,2,4,8,10-tetrakis(1,1-dimethylethyl)-6-hydroxy,-,6-oxide,,sodium,salt","C29H43O4P","firefighter",21465.4793,NA,0,1
"418","470.223-342.9",470.223,342.9,"MTX287","DTXSID30198146-BTMR0244","","C22H35N2O9","firefighter",17081.211275,NA,0,1
"419","470.2281-397.7",470.2281,397.7,"MTX287","DTXSID30198146-BTMR0244","","C22H35N2O9","firefighter",6927.03389,NA,0,0
"420","470.2282-382.7",470.2282,382.7,"MTX287","DTXSID30198146-BTMR0244","","C22H35N2O9","firefighter",5507.8497925,NA,0,0
"421","581.2385-522.6",581.2385,522.6,"DTXSID3020120","DTXSID3020120","Azelnidipine","C33H34N4O6","firefighter",58652.447965,NA,0,1
"422","239.067-378.8",239.067,378.8,"DTXSID3020207","DTXSID3020207","Dinoseb","C10H12N2O5","firefighter",43518.7485,NA,0,1
"423","273.0431-262.3",273.0431,262.3,"MTX291","DTXSID3020209-BTMR0197","","C11H14O6S","firefighter",22419.155535,NA,1,1
"424","193.08672-348.4",193.08672,348.4,"DTXSID3020209","DTXSID3020209","Butylparaben","C11H14O3","firefighter",106850.289997538,NA,1,1
"425","109.02949-90.3",109.02949,90.3,"DTXSID3020257","DTXSID3020257","Catechol","C6H6O2","firefighter",352016.180832215,NA,1,1
"426","123.04501-191.1",123.04501,191.1,"MTX295","DTXSID3020257-BTMR0212","","C7H8O2","firefighter",409413.339347168,NA,1,1
"427","191.01992-44.3",191.01992,44.3,"DTXSID3020332","DTXSID3020332","Citric,acid","C6H8O7","firefighter",5952192.74623336,NA,0,1
"428","213.0554-519.6",213.0554,519.6,"DTXSID3020540","DTXSID3020540","Diphenylcarbonate","C13H10O3","firefighter",49617.429225,NA,0,1
"429","154.06212-59.7",154.06212,59.7,"DTXSID3020700","DTXSID3020700","L-Histidine,hydrochloride","C6H10ClN3O2","firefighter",202554.795480958,NA,0,1
"430","270.0911-57.2",270.0911,57.2,"DTXSID3020758","DTXSID3020758","ISONICOTINIC,ACID,VANILLYLIDENEHYDRAZIDE","C14H13N3O3","firefighter",97088.34075,NA,1,1
"431","142.06595-346.8",142.06595,346.8,"DTXSID3020887","DTXSID3020887","6-Methylquinoline","C10H9N","firefighter",2914.00235887486,NA,0,0
"432","142.066-190.6",142.066,190.6,"DTXSID3020887","DTXSID3020887","6-Methylquinoline","C10H9N","firefighter",48455.1664210952,NA,0,1
"433","142.06601-168.7",142.06601,168.7,"DTXSID3020887","DTXSID3020887","6-Methylquinoline","C10H9N","firefighter",217383.884602998,NA,0,1
"434","231.077-170.7",231.077,170.7,"DTXSID3020912","DTXSID3020912","Nalidixic,acid","C12H12N2O3","firefighter",222507.8685,NA,0,1
"435","143.10773-405.1",143.10773,405.1,"DTXSID3021645","DTXSID3021645","Octanoic,acid","C8H16O2","firefighter",2123792.66694295,NA,0,1
"436","389.2685-780.9",389.2685,780.9,"DTXSID3021699","DTXSID3021699","Dioctyl,terephthalate","C24H38O4","firefighter",266425.7185,NA,0,1
"437","143.10773-405.1",143.10773,405.1,"DTXSID3021980","DTXSID3021980","Ethyl,hexanoate","C8H16O2","firefighter",2123792.66694295,NA,0,1
"438","115.07627-833.2",115.07627,833.2,"DTXSID3021982","DTXSID3021982","Butyl,acetate","C6H12O2","firefighter",19547.6107849415,NA,0,1
"439","115.07629-113.5",115.07629,113.5,"DTXSID3021982","DTXSID3021982","Butyl,acetate","C6H12O2","firefighter",60475.3903932055,NA,0,1
"440","115.07635-219",115.07635,219,"DTXSID3021982","DTXSID3021982","Butyl,acetate","C6H12O2","firefighter",387482.466297211,NA,0,1
"441","150.0557-168.2",150.0557,168.2,"DTXSID3022089","DTXSID3022089","3-Acetamidophenol","C8H9NO2","firefighter",73426.3770030135,NA,0,1
"442","133.06566-323.5",133.06566,323.5,"DTXSID3022164","DTXSID3022164","2-Allylphenol","C9H10O","firefighter",158976.549375606,NA,0,1
"443","277.144-461.9",277.144,461.9,"DTXSID3022168","DTXSID3022168","Dibutyl,terephthalate","C16H22O4","firefighter",23763.0307825,NA,0,1
"444","227.0711-349.8",227.0711,349.8,"DTXSID3022405","DTXSID3022405","2-Hydroxy-4-methoxybenzophenone","C14H12O3","firefighter",18491.657075,NA,1,1
"445","307.0275-349.4",307.0275,349.4,"MTX313","DTXSID3022405-BTMR0196","","C14H12O6S","firefighter",40473.196,NA,1,1
"446","464.1778-193.5",464.1778,193.5,"DTXSID3022825","DTXSID3022825","Cisapride","C23H29ClFN3O4","firefighter",2277.8893025,NA,0,0
"447","464.173-515.1",464.173,515.1,"DTXSID3022825","DTXSID3022825","Cisapride","C23H29ClFN3O4","firefighter",1173.4613325,NA,0,0
"448","475.2467-872",475.2467,872,"DTXSID3022904","DTXSID3022904","Dexamethasone,valerate","C27H37FO6","firefighter",21031.0711,NA,0,1
"449","475.2521-739.8",475.2521,739.8,"DTXSID3022904","DTXSID3022904","Dexamethasone,valerate","C27H37FO6","firefighter",20408.172875,NA,0,1
"450","476.1961-454.4",476.1961,454.4,"MTX322","DTXSID3022958-BTMR1231","","C24H31NO9","firefighter",3201.691175,NA,0,0
"451","476.1905-385.2",476.1905,385.2,"MTX322","DTXSID3022958-BTMR1231","","C24H31NO9","firefighter",2832.1462025,NA,0,0
"452","380.115-404.6",380.115,404.6,"MTX324","DTXSID3022958-BTMR0196","","C18H23NO6S","firefighter",24623.099675,NA,0,1
"453","476.1961-454.4",476.1961,454.4,"MTX323","DTXSID3022958-BTMR0166","","C24H31NO9","firefighter",3201.691175,NA,0,0
"454","476.1905-385.2",476.1905,385.2,"MTX323","DTXSID3022958-BTMR0166","","C24H31NO9","firefighter",2832.1462025,NA,0,0
"455","703.2287-676.4",703.2287,676.4,"DTXSID3023180","DTXSID3023180","Itraconazole","C35H38Cl2N8O4","firefighter",10917.578825,NA,0,1
"456","394.1574-151.3",394.1574,151.3,"DTXSID3023188","DTXSID3023188","Ketanserin","C22H22FN3O3","firefighter",5231.949455,NA,0,0
"457","394.1574-286.5",394.1574,286.5,"DTXSID3023188","DTXSID3023188","Ketanserin","C22H22FN3O3","firefighter",5826.8400425,NA,0,0
"458","305.2149-871.5",305.2149,871.5,"DTXSID3023508","DTXSID3023508","Prifinium,bromide","C22H28BrN","firefighter",17068.2497525,NA,0,1
"459","305.2113-557.9",305.2113,557.9,"DTXSID3023508","DTXSID3023508","Prifinium,bromide","C22H28BrN","firefighter",9622.10195,NA,0,0
"460","285.2248-577.8",285.2248,577.8,"DTXSID3023556","DTXSID3023556","Retinol","C20H30O","firefighter",8924.28405,NA,0,0
"461","231.1386-454.4",231.1386,454.4,"DTXSID30241000","DTXSID30241000","1,1-Dimethyl-2-phenylethyl,3-methyl-2-butenoate","C15H20O2","firefighter",3156.572475,NA,0,0
"462","231.1385-641.9",231.1385,641.9,"DTXSID30241000","DTXSID30241000","1,1-Dimethyl-2-phenylethyl,3-methyl-2-butenoate","C15H20O2","firefighter",3956.03959,NA,0,0
"463","197.1545-652.2",197.1545,652.2,"DTXSID3024447","DTXSID3024447","Allyl,nonanoate","C12H22O2","firefighter",1606116.18306,NA,0,1
"464","197.15448-672.4",197.15448,672.4,"DTXSID3024447","DTXSID3024447","Allyl,nonanoate","C12H22O2","firefighter",404842.125402447,NA,0,1
"465","108.04521-111.5",108.04521,111.5,"DTXSID3024497","DTXSID3024497","3-Aminophenol","C6H7NO","firefighter",75317.6830511274,NA,1,1
"466","108.04533-149.8",108.04533,149.8,"DTXSID3024497","DTXSID3024497","3-Aminophenol","C6H7NO","firefighter",38851.8851028096,NA,1,1
"467","108.04521-111.5",108.04521,111.5,"DTXSID3024499","DTXSID3024499","4-Aminophenol","C6H7NO","firefighter",75317.6830511274,NA,1,1
"468","108.04533-149.8",108.04533,149.8,"DTXSID3024499","DTXSID3024499","4-Aminophenol","C6H7NO","firefighter",38851.8851028096,NA,1,1
"469","193.12314-493.2",193.12314,493.2,"DTXSID3024738","DTXSID3024738","Carvyl,acetate","C12H18O2","firefighter",627452.302830682,NA,0,1
"470","151.07599-728.7",151.07599,728.7,"DTXSID3024869","DTXSID3024869","Cumene,hydroperoxide","C9H12O2","firefighter",20144.0071729878,NA,0,1
"471","151.07605-332.5",151.07605,332.5,"DTXSID3024869","DTXSID3024869","Cumene,hydroperoxide","C9H12O2","firefighter",14296.7909160084,NA,0,1
"472","117.05575-67.7",117.05575,67.7,"DTXSID3025041","DTXSID3025041","Diethyl,carbonate","C5H10O3","firefighter",507176.182564821,NA,0,1
"473","213.0764-279.1",213.0764,279.1,"DTXSID3025045","DTXSID3025045","Diethylene,glycol,diacrylate","C10H14O5","firefighter",4844.4927,NA,1,0
"474","285.1236-675.8",285.1236,675.8,"MTX108","DTXSID1020485-BTMR1242__DTXSID3025091-BTMR1242","","C16H18N2O3","firefighter",9851.804535,NA,1,0
"475","141.09195-326",141.09195,326,"DTXSID3025461","DTXSID3025461","Isobutyl,methacrylate","C8H14O2","firefighter",153472.681344357,NA,1,1
"476","707.7609-193.2",707.7609,193.2,"MTX331","DTXSID3025833-BTMR0234","","C17H19Br4N3O6S","firefighter",108982.1835,NA,0,1
"477","707.7609-193.2",707.7609,193.2,"MTX332","DTXSID3025833-BTMR0233","","C17H19Br4N3O6S","firefighter",108982.1835,NA,0,1
"478","707.7609-193.2",707.7609,193.2,"MTX330","DTXSID3025833-BTMR0234__DTXSID50192686-BTMR0234","","C17H19Br4N3O6S","firefighter",108982.1835,NA,0,1
"479","151.11261-307.1",151.11261,307.1,"DTXSID3026148","DTXSID3026148","alpha-Thujone","C10H16O","firefighter",38115.8709345084,NA,0,1
"480","291.0843-263.8",291.0843,263.8,"DTXSID3026350","DTXSID3026350","Ethylenediaminetetraacetic,acid,tetrasodium,salt","C10H16N2O8","firefighter",13939.72761,NA,0,1
"481","151.03982-147.8",151.03982,147.8,"DTXSID3026516","DTXSID3026516","Tetrahydrophthalic,anhydride","C8H8O3","firefighter",183571.24427369,NA,0,1
"482","187.0398-327.5",187.0398,327.5,"DTXSID3026560","DTXSID3026560","3-Hydroxy-2-naphthoic,acid","C11H8O3","firefighter",14317.2849885703,NA,0,1
"483","401.2891-647",401.2891,647,"DTXSID3026564","DTXSID3026564","Triethylene,glycol,bis(2-ethylhexanoate)","C22H42O6","firefighter",5100.3187,NA,0,0
"484","401.2895-1042.2",401.2895,1042.2,"DTXSID3026564","DTXSID3026564","Triethylene,glycol,bis(2-ethylhexanoate)","C22H42O6","firefighter",6830.9871475,NA,0,0
"485","137.02425-145.3",137.02425,145.3,"DTXSID3026647","DTXSID3026647","4-Hydroxybenzoic,acid","C7H6O3","firefighter",357041.75334754,NA,0,1
"486","411.347-1101.9",411.347,1101.9,"DTXSID3026697","DTXSID3026697","Bis(2-ethylhexyl),nonanedioate","C25H48O4","firefighter",76174.95825,NA,0,1
"487","227.1286-398.2",227.1286,398.2,"DTXSID3026724","DTXSID3026724","Dibutyl,maleate","C12H20O4","firefighter",132660.69825,NA,0,1
"488","227.1286-390.2",227.1286,390.2,"DTXSID3026724","DTXSID3026724","Dibutyl,maleate","C12H20O4","firefighter",124175.3815,NA,0,1
"489","433.2795-618.5",433.2795,618.5,"DTXSID3027085","DTXSID3027085","Bis[2-(2-butoxyethoxy)ethyl],adipate","C22H42O8","firefighter",10497.777525,NA,0,1
"490","135.08129-341.4",135.08129,341.4,"DTXSID3027247","DTXSID3027247","2-Phenylpropan-2-ol","C9H12O","firefighter",30029.6972020223,NA,0,1
"491","197.1545-652.2",197.1545,652.2,"DTXSID3027293","DTXSID3027293","2-Ethylhexyl,2-methyl-2-propenoate","C12H22O2","firefighter",1606116.18306,NA,0,1
"492","197.15448-672.4",197.15448,672.4,"DTXSID3027293","DTXSID3027293","2-Ethylhexyl,2-methyl-2-propenoate","C12H22O2","firefighter",404842.125402447,NA,0,1
"493","229.144-292.2",229.144,292.2,"DTXSID3027297","DTXSID3027297","Dodecanedioic,acid","C12H22O4","firefighter",420681.4925,NA,0,1
"494","229.144-285.2",229.144,285.2,"DTXSID3027297","DTXSID3027297","Dodecanedioic,acid","C12H22O4","firefighter",152829.57225,NA,0,1
"495","337.1626-476.3",337.1626,476.3,"DTXSID3027530","DTXSID3027530","Trimethylolpropane,trimethacrylate","C18H26O6","firefighter",9573.1058,NA,1,0
"496","337.1677-592.8",337.1677,592.8,"DTXSID3027530","DTXSID3027530","Trimethylolpropane,trimethacrylate","C18H26O6","firefighter",60518.072375,NA,1,1
"497","345.1447-437.5",345.1447,437.5,"DTXSID3027584","DTXSID3027584","N,N-Dicyclohexyl-2-benzothiazolesulfenamide","C19H26N2S2","firefighter",377307.6775,NA,0,1
"498","249.1492-593.7",249.1492,593.7,"DTXSID30277748","DTXSID30277748","2-[4-(2-methylbutan-2-yl)phenoxy]ethyl,acetate","C15H22O3","firefighter",162039.62975,NA,0,1
"499","213.1032-676.6",213.1032,676.6,"DTXSID30278912","DTXSID30278912","1-(2-aminophenyl)-2-(pyridin-4-yl)ethanol","C13H14N2O","firefighter",1546.76261,NA,0,0
"500","142.08695-127.9",142.08695,127.9,"DTXSID3029289","DTXSID3029289","Oxazolidine-E","C7H13NO2","firefighter",31919.2202206593,NA,0,1
"501","187.0398-327.5",187.0398,327.5,"DTXSID3029312","DTXSID3029312","6-Hydroxy-2-naphthoic,acid","C11H8O3","firefighter",14317.2849885703,NA,0,1
"502","195.13868-578.3",195.13868,578.3,"DTXSID30306042","DTXSID30306042","NSC173759","C12H20O2","firefighter",443934.552913705,NA,0,1
"503","498.9285-615.2",498.9285,615.2,"DTXSID3031864","DTXSID3031864","Perfluorooctanesulfonic,acid","C8HF17O3S","firefighter",95171.191425,NA,1,1
"504","498.9287-638.1",498.9287,638.1,"DTXSID3031864","DTXSID3031864","Perfluorooctanesulfonic,acid","C8HF17O3S","firefighter",321933.86975,NA,1,1
"505","141.09195-326",141.09195,326,"DTXSID30320743","DTXSID30320743","1,4-diethoxybuta-1,2-diene","C8H14O2","firefighter",153472.681344357,NA,0,1
"506","294.1457-84.1",294.1457,84.1,"DTXSID3032337","DTXSID3032337","Butralin","C14H21N3O4","firefighter",13656.07275,NA,1,1
"507","294.1449-390",294.1449,390,"DTXSID3032337","DTXSID3032337","Butralin","C14H21N3O4","firefighter",4763.672775,NA,1,0
"508","252.1313-304.6",252.1313,304.6,"DTXSID3032416","DTXSID3032416","Cybutryne","C11H19N5S","firefighter",11139.378725,NA,1,1
"509","252.1293-498.7",252.1293,498.7,"DTXSID3032416","DTXSID3032416","Cybutryne","C11H19N5S","firefighter",11174.63015,NA,1,1
"510","571.1632-828.8",571.1632,828.8,"MTX342","DTXSID3032549-BTMR0235","","C24H33ClN4O8S","firefighter",2124.9983575,NA,1,0
"511","275.2012-826.7",275.2012,826.7,"DTXSID3032624","DTXSID3032624","Kinoprene","C18H28O2","firefighter",638010.8575,NA,0,1
"512","301.1802-454.4",301.1802,454.4,"DTXSID3034113","DTXSID3034113","4-Hydroxyandrostenedione","C19H26O3","firefighter",68319.6255,NA,0,1
"513","273.1854-773.7",273.1854,773.7,"DTXSID3034456","DTXSID3034456","Cinmethylin","C18H26O2","firefighter",59289.703,NA,0,1
"514","213.0931-79.4",213.0931,79.4,"DTXSID3034583","DTXSID3034583","Ethyl,1-naphthaleneacetate","C14H14O2","firefighter",175760.3145,NA,0,1
"515","382.1243-458.9",382.1243,458.9,"DTXSID3034612","DTXSID3034612","Fluazifop-butyl","C19H20F3NO4","firefighter",6178.6937475,NA,0,0
"516","382.1243-437.5",382.1243,437.5,"DTXSID3034612","DTXSID3034612","Fluazifop-butyl","C19H20F3NO4","firefighter",3917.16316,NA,0,0
"517","253.2178-884.9",253.2178,884.9,"DTXSID3035266","DTXSID3035266","(Z)-11-Tetradecenyl,acetate","C16H30O2","firefighter",74239209.6,NA,0,1
"518","473.3508-999.4",473.3508,999.4,"MTX345","DTXSID3036288-BTMR0165","","C26H50O7","firefighter",42422.444,NA,1,1
"519","183.13891-567.9",183.13891,567.9,"DTXSID30365139","DTXSID30365139","methyl,9-decenoate","C11H20O2","firefighter",1084198.58335115,NA,0,1
"520","563.2523-536",563.2523,536,"MTX352","DTXSID3037094-BTMR0244","","C32H38NO8","firefighter",2557.497365,NA,1,0
"521","562.2491-536",562.2491,536,"MTX351","DTXSID3037094-BTMR0166","","C32H37NO8","firefighter",9196.12105,NA,1,0
"522","294.0096-67.2",294.0096,67.2,"DTXSID3037208","DTXSID3037208","Diclofenac,sodium","C14H10Cl2NNaO2","firefighter",3249.561715,NA,0,0
"523","149.06064-219",149.06064,219,"DTXSID3038696","DTXSID3038696","Ethyl,benzoate","C9H10O2","firefighter",248426.568803885,NA,0,1
"524","171.10248-889.3",171.10248,889.3,"DTXSID3038800","DTXSID3038800","Butyl,4-oxopentanoate","C9H16O3","firefighter",894876.841193596,NA,0,1
"525","142.06595-346.8",142.06595,346.8,"DTXSID3040271","DTXSID3040271","Quinaldine","C10H9N","firefighter",2914.00235887486,NA,0,0
"526","142.066-190.6",142.066,190.6,"DTXSID3040271","DTXSID3040271","Quinaldine","C10H9N","firefighter",48455.1664210952,NA,0,1
"527","142.06601-168.7",142.06601,168.7,"DTXSID3040271","DTXSID3040271","Quinaldine","C10H9N","firefighter",217383.884602998,NA,0,1
"528","202.1083-188.3",202.1083,188.3,"DTXSID3040693","DTXSID3040693","Acetyl-L-carnitine,hydrochloride","C9H18ClNO4","firefighter",27465.171575,NA,0,1
"529","279.0001-474.1",279.0001,474.1,"DTXSID3040699","DTXSID3040699","p,p'-DDA","C14H10Cl2O2","firefighter",1506.337095,NA,0,0
"530","278.9961-366.9",278.9961,366.9,"DTXSID3040699","DTXSID3040699","p,p'-DDA","C14H10Cl2O2","firefighter",23468.71905,NA,0,1
"531","383.1908-188.3",383.1908,188.3,"DTXSID3040980","DTXSID3040980","Bortezomib","C19H25BN4O4","firefighter",30035.782565,NA,0,1
"532","383.1883-468.8",383.1883,468.8,"DTXSID3040980","DTXSID3040980","Bortezomib","C19H25BN4O4","firefighter",6582.72335,NA,0,0
"533","326.1236-125.8",326.1236,125.8,"MTX366","DTXSID3041293-BTMR0166","","C15H21NO7","firefighter",104115.85625,NA,1,1
"534","327.1344-609.2",327.1344,609.2,"MTX367","DTXSID3041293-BTMR0244","","C15H22NO7","firefighter",20440.85775,NA,1,1
"535","183.13891-567.9",183.13891,567.9,"DTXSID3041299","DTXSID3041299","Dihydrojasmone,lactone","C11H20O2","firefighter",1084198.58335115,NA,0,1
"536","441.2219-872.5",441.2219,872.5,"DTXSID3041744","DTXSID3041744","C.I.,Solvent,Red,49","C28H30N2O3","firefighter",68879.76725,NA,0,1
"537","191.10725-449.4",191.10725,449.4,"DTXSID3041877","DTXSID3041877","Dimethylbenzylcarbinyl,acetate","C12H16O2","firefighter",34075.5722438628,NA,0,1
"538","241.2174-901.8",241.2174,901.8,"DTXSID3041904","DTXSID3041904","Isopropyl,Laurate","C15H30O2","firefighter",10618592.025,NA,0,1
"539","202.0508-377.3",202.0508,377.3,"DTXSID3042053","DTXSID3042053","Indole-3-pyruvic,acid","C11H9NO3","firefighter",6250.91696,NA,0,0
"540","202.051-298.6",202.051,298.6,"DTXSID3042053","DTXSID3042053","Indole-3-pyruvic,acid","C11H9NO3","firefighter",7167.80732,NA,0,0
"541","167.02116-54.2",167.02116,54.2,"DTXSID3042508","DTXSID3042508","Uric,acid","C5H4N4O3","firefighter",536935.265710033,NA,0,1
"542","313.1458-351.9",313.1458,351.9,"DTXSID3042633","DTXSID3042633","Clomipramine,hydrochloride","C19H24Cl2N2","firefighter",44554.31225,NA,0,1
"543","137.06046-264.8",137.06046,264.8,"DTXSID3044251","DTXSID3044251","4-Ethoxyphenol","C8H10O2","firefighter",65895.3065991137,NA,0,1
"544","189.09603-160.8",189.09603,160.8,"DTXSID3044463","DTXSID3044463","Ethenyl(triethoxy)silane","C8H18O3Si","firefighter",6872.34087884246,NA,0,0
"545","189.09479-408.6",189.09479,408.6,"DTXSID3044463","DTXSID3044463","Ethenyl(triethoxy)silane","C8H18O3Si","firefighter",3813.21315076503,NA,0,0
"546","195.06542-727.7",195.06542,727.7,"DTXSID3044752","DTXSID3044752","Diprop-2-en-1-yl,(2Z)-but-2-enedioate","C10H12O4","firefighter",1814.45748272938,NA,0,0
"547","195.06568-130.4",195.06568,130.4,"DTXSID3044752","DTXSID3044752","Diprop-2-en-1-yl,(2Z)-but-2-enedioate","C10H12O4","firefighter",22948.8819346576,NA,0,1
"548","195.06578-340.9",195.06578,340.9,"DTXSID3044752","DTXSID3044752","Diprop-2-en-1-yl,(2Z)-but-2-enedioate","C10H12O4","firefighter",10519.0340591154,NA,0,1
"549","169.12333-498.2",169.12333,498.2,"DTXSID3044754","DTXSID3044754","Prop-2-en-1-yl,heptanoate","C10H18O2","firefighter",1192069.06035233,NA,0,1
"550","215.1286-377.3",215.1286,377.3,"DTXSID3044831","DTXSID3044831","1-Butoxy-1-oxopropan-2-yl,butanoate","C11H20O4","firefighter",46277.534,NA,0,1
"551","209.1542-476.3",209.1542,476.3,"DTXSID3044833","DTXSID3044833","Terpinyl,propionate","C13H22O2","firefighter",28938.3183,NA,0,1
"552","313.1189-481.3",313.1189,481.3,"DTXSID3044960","DTXSID3044960","Propane-1,3-diyl,bis(4-aminobenzoate)","C17H18N2O4","firefighter",2295800.6,NA,1,1
"553","241.0978-436.5",241.0978,436.5,"DTXSID3045693","DTXSID3045693","Metanixin","C14H14N2O2","firefighter",59871.1495,NA,0,1
"554","241.0999-307.6",241.0999,307.6,"DTXSID3045693","DTXSID3045693","Metanixin","C14H14N2O2","firefighter",114636.2845,NA,0,1
"555","241.0979-458.4",241.0979,458.4,"DTXSID3045693","DTXSID3045693","Metanixin","C14H14N2O2","firefighter",53326.813175,NA,0,1
"556","181.05047-71.2",181.05047,71.2,"DTXSID3045851","DTXSID3045851","Flopropione","C9H10O4","firefighter",36429.018854696,NA,0,1
"557","349.2011-282.2",349.2011,282.2,"DTXSID3045980","DTXSID3045980","Andrographolide","C20H30O5","firefighter",109076.0336325,NA,0,1
"558","158.06073-342.4",158.06073,342.4,"DTXSID3046401","DTXSID3046401","Tiliquinol","C10H9NO","firefighter",31710.564440822,NA,0,1
"559","158.06131-156.2",158.06131,156.2,"DTXSID3046401","DTXSID3046401","Tiliquinol","C10H9NO","firefighter",2893736.99324719,NA,0,1
"560","309.097-364.3",309.097,364.3,"DTXSID3046798","DTXSID3046798","Mabuterol,hydrochloride","C13H19Cl2F3N2O","firefighter",28753.5535325,NA,0,1
"561","193.15934-638.1",193.15934,638.1,"DTXSID3047055","DTXSID3047055","Theaspirane","C13H22O","firefighter",2875.40846829034,NA,0,0
"562","125.09683-320.5",125.09683,320.5,"DTXSID3047134","DTXSID3047134","2-Octen-4-one","C8H14O","firefighter",34357.9150756898,NA,0,1
"563","355.2844-950.6",355.2844,950.6,"DTXSID3047182","DTXSID3047182","Propylene,glycol,dipelargonate","C21H40O4","firefighter",50802.271225,NA,0,1
"564","193.08672-348.4",193.08672,348.4,"DTXSID3047186","DTXSID3047186","Isobutyl,salicylate","C11H14O3","firefighter",106850.289997538,NA,0,1
"565","169.12333-498.2",169.12333,498.2,"DTXSID3047188","DTXSID3047188","2-Cyclohexylethyl,acetate","C10H18O2","firefighter",1192069.06035233,NA,0,1
"566","229.0539-383.7",229.0539,383.7,"MTX369","DTXSID3047425-BTMR0197","","C10H14O4S","firefighter",1846694.15,NA,1,1
"567","149.09678-383.7",149.09678,383.7,"DTXSID3047425","DTXSID3047425","4-Butylphenol","C10H14O","firefighter",59658.6940343647,NA,1,1
"568","227.0711-349.8",227.0711,349.8,"DTXSID3047508","DTXSID3047508","Salicylic,acid,p-tolyl,ester","C14H12O3","firefighter",18491.657075,NA,0,1
"569","143.10773-405.1",143.10773,405.1,"DTXSID3047550","DTXSID3047550","Isopropyl,2-methylbutyrate","C8H16O2","firefighter",2123792.66694295,NA,0,1
"570","199.1705-728.9",199.1705,728.9,"DTXSID3047552","DTXSID3047552","Hexyl,hexanoate","C12H24O2","firefighter",25854497.825,NA,0,1
"571","169.12333-498.2",169.12333,498.2,"DTXSID3047637","DTXSID3047637","Methyl,(2E)-2-nonenoate","C10H18O2","firefighter",1192069.06035233,NA,0,1
"572","167.10753-402.6",167.10753,402.6,"DTXSID3047639","DTXSID3047639","Methyl,2-nonynoate","C10H16O2","firefighter",105283.862405805,NA,0,1
"573","213.0931-79.4",213.0931,79.4,"DTXSID3047891","DTXSID3047891","Bisphenol,E","C14H14O2","firefighter",175760.3145,NA,0,1
"574","487.2656-492.7",487.2656,492.7,"DTXSID3048603","DTXSID3048603","Hydrocortisone,buteprate","C28H40O7","firefighter",1880.47773,NA,0,0
"575","487.2711-532.1",487.2711,532.1,"DTXSID3048603","DTXSID3048603","Hydrocortisone,buteprate","C28H40O7","firefighter",2297.52479,NA,0,0
"576","555.2895-750.6",555.2895,750.6,"DTXSID3048653","DTXSID3048653","Dronedarone","C31H44N2O5S","firefighter",16715.951475,NA,0,1
"577","397.2048-517.1",397.2048,517.1,"DTXSID3048655","DTXSID3048655","Flutropium,bromide","C24H29BrFNO3","firefighter",1376084.4175,NA,0,1
"578","533.143-445",533.143,445,"DTXSID3049047","DTXSID3049047","APREPITANT","C23H21F7N4O3","firefighter",4688.280325,NA,0,0
"579","709.1757-594.3",709.1757,594.3,"MTX374","DTXSID3049047-BTMR0174","","C29H29F7N4O9","firefighter",4713.761615,NA,0,0
