MW,RT,mz,featureid,time,formula_cleaned,DB_name,name,ESI
315.159,436,315.159;315.159;315.1588;315.1588,315.159-436;315.159-436;315.1588-454.4;315.1588-454.4,436;436;454.4;454.4,C19H24O4;C19H24O4;C19H24O4;C19H24O4,DTXSID5022437-BTMR0212;DTXSID5022437-BTMR0213;DTXSID5022437-BTMR0212;DTXSID5022437-BTMR0213,;;;,FF;FF;FF;FF
319.048,238.8,319.0482;319.0483,319.0482-238.8;319.0483-233.4,238.8;233.4,C14H18Cl2O4;C14H18Cl2O4,DTXSID1032309;DTXSID1032309,"2,4-D-Butotyl;2,4-D-Butotyl",FF;FF
326.124,125.8,326.1236,326.1236-125.8,125.8,C15H21NO7,DTXSID3041293-BTMR0166,,FF
327.134,609.2,327.1344,327.1344-609.2,609.2,C15H22NO7,DTXSID3041293-BTMR0244,,FF
327.233,911.3,327.2331;327.2329,327.23307-911.3;327.2329-912.3,911.3;912.3,C22H32O2;C22H32O2,DTXSID6021240;DTXSID6021240,"Retinol,acetate;Retinol,acetate",N;FF
329.175,451.8,329.1753,329.1753-451.8,451.8,C20H26O4,DTXSID5025021,"Dicyclohexyl,phthalate",N
333.207,446.8,333.2066,333.20661-446.8,446.8,C20H30O4,DTXSID6025068,"Dihexyl,phthalate",N
337.168,592.8,337.1677,337.1677-592.8,592.8,C18H26O6,DTXSID3027530,"Trimethylolpropane,trimethacrylate",FF
337.202,460.2,337.2016,337.20157-460.2,460.2,C19H30O5,DTXSID1021166,"Piperonyl,butoxide",N
337.31,1169.1,337.3102,337.3102-1169.1,1169.1,C22H42O2,DTXSID6027975,"Stearyl,methacrylate",FF
337.311,1169.1,337.3107;337.3107;337.3107,337.31069-1169.1;337.31069-1169.1;337.31069-1169.1,1169.1;1169.1;1169.1,C22H42O2;C22H42O2;C22H42O2,DTXSID6027975;DTXSID7027099;DTXSID8026931,"Stearyl,methacrylate;Butyl,cis-9-octadecenoate;(13Z)-Docos-13-enoic,acid",N;N;N
339.053,331,339.0534;339.0534,339.0534-331;339.0534-331,331;331,C10H13F5O7;C10H13F5O7,DTXSID6068985-BTMR0165;DTXSID70880134-BTMR0165,;,FF;FF
341.212,811.5,341.2115,341.21153-811.5,811.5,C22H30O3,DTXSID001009330,MEGESTROL,N
343.228,747.3,343.2276,343.22756-747.3,747.3,C22H32O3,DTXSID9036515,"Testosterone,propionate",N
349.038,371.8,349.0376,349.0376-371.8,371.8,C20H14O2S2,DTXSID7025429,"6-Hydroxy-2-naphthyl,disulfide",FF
351.129,830.7,351.1293;351.1293,351.1293-830.7;351.1293-830.7,830.7;830.7,C18H24O5S;C18H24O5S,DTXSID0020573-BTMR0512;DTXSID8022377-BTMR0512,;,FF;FF
356.116,355.4,356.1162,356.1162-355.4,355.4,C19H19NO6,DTXSID1049223-BTMR0171,,FF
361.201,692.9,361.2012,361.20121-692.9,692.9,C21H30O5,DTXSID7020714,Hydrocortisone,N
365.196,354.2,365.196,365.19603-354.2,354.2,C20H30O6,DTXSID9047174,"Bis(2-butoxyethyl),phthalate",N
367.158,444.9,367.1579,367.1579-444.9,444.9,C19H28O5S,DTXSID4020379-BTMR0503,,FF
373.201,780.2,373.2009,373.20085-780.2,780.2,C22H30O5,DTXSID7023300,Methylprednisolone,N
379.194,336.3,379.1937,379.19374-336.3,336.3,C21H29FO5,DTXSID7023061,Fludrocortisone,N
383.219,874.5,383.2192;383.2192,383.2192-874.5;383.2192-874.5,874.5;874.5,C24H32O4;C24H32O4,DTXSID4020614;DTXSID9040683,"Ethynodiol,diacetate;Megestrol,acetate",FF;FF
385.235,918.3,385.2353;385.2351,385.23533-918.3;385.2351-920,918.3;920,C24H34O4;C24H34O4,DTXSID0025527;DTXSID0025527,"Medroxyprogesterone,acetate;Medroxyprogesterone,acetate",N;FF
387.025,64.7,387.0253,387.0253-64.7,64.7,C12H12N4O9S,DTXSID7020059-BTMR0171,,FF
389.269,780.9,389.2685,389.2685-780.9,780.9,C24H38O4,DTXSID5020607,"Di(2-ethylhexyl),phthalate",FF
391.207,853.1,391.2066,391.2066-853.1,853.1,C24H28N2O3,DTXSID5045176,Naftopidil,FF
391.285,747.7,391.2847,391.28474-747.7,747.7,C24H40O4,DTXSID6023731,URSODIOL,N
395.22,826.2,395.2199,395.21992-826.2,826.2,C25H32O4,DTXSID5048184,"Melengestrol,acetate",N
398.005,214.9,398.0051,398.0051-214.9,214.9,C8H4F15N,DTXSID50184723,"1H,1H-PERFLUOROOCTYLAMINE",FF
400.15,284.7,400.1499,400.1499-284.7,284.7,C20H23N3O6,DTXSID1020069-BTMR0171,,FF
407.163,341.6,407.1631,407.16313-341.6,341.6,C20H28N2O5S,DTXSID3023631,TAMSULOSIN,N
413.155,473.3,413.1546,413.1546-473.3,473.3,C22H26N2O4S,DTXSID9022940,(+)-Diltiazem,FF
421.223,452.5,421.2225,421.22248-452.5,452.5,C20H38O7S,DTXSID1044279,"DOCUSATE,HYDROGEN",N
423.124,78.3,423.1239,423.1239-78.3,78.3,C22H20N2O7,DTXSID4021135-BTMR0166,,FF
423.238,548.8,423.2375,423.23753-548.8,548.8,C23H36O7,DTXSID6023498,PRAVASTATIN,N
425.327,935.3,425.3273,425.3273-935.3,935.3,C28H44ClNO2,DTXSID30872313,"3-Methylbenzethonium,chloride",N
427.017,63.7,427.0174,427.0174-63.7,63.7,C10H7F15O,DTXSID50382621,"7:3,FLUOROTELOMER,ALCOHOL",FF
445.332,917.9,445.3321,445.33212-917.9,917.9,C28H46O4,DTXSID5052173,"Bis(2-propylheptyl),phthalate",N
465.248,498.7,465.2475,465.2475-498.7,498.7,C25H38O8,DTXSID9022364-BTMR0163,,FF
473.351,999.4,473.3508,473.3508-999.4,999.4,C26H50O7,DTXSID3036288-BTMR0165,,FF
477.175,561.4,477.1748;477.1748,477.1748-561.4;477.1748-561.4,561.4;561.4,C24H30O10;C24H30O10,DTXSID5022437-BTMR0166;DTXSID5022437-BTMR1231,;,FF;FF
478.197,391.7,478.1966,478.1966-391.7,391.7,C26H30ClN3O6,DTXSID9046992,"Nicardipine,hydrochloride",FF
485.001,66.2,485.0014,485.0014-66.2,66.2,C12H6F16O2,DTXSID00194615,"1H,1H,9H-PERFLUORONONYL,ACRYLATE",FF
485.002,55.3,485.0015,485.0015-55.3,55.3,C12H6F16O2,DTXSID00194615,"1H,1H,9H-PERFLUORONONYL,ACRYLATE",FF
498.928,615.2,498.9285,498.9285-615.2,615.2,C8HF17O3S,DTXSID3031864,"Perfluorooctanesulfonic,acid",FF
498.929,638.1,498.9287,498.9287-638.1,638.1,C8HF17O3S,DTXSID3031864,"Perfluorooctanesulfonic,acid",FF
542.267,346.8,542.2668,542.2668-346.8,346.8,C27H35F2N7O3,DTXSID4048511,PharmaGSID_48511,FF
612.766,242.1,612.7664,612.76645-242.1,242.1,C11H9I3N2O4,DTXSID0044521,"Diatrizoic,acid",N
