"featureid","mz","time","DTXSID","Compound","Formula","population"
"345.08204-306.5",345.08204,306.5,"DTXSID3038808","1357-Tetramethyl-1357-tetravinylcyclotetrasiloxane","C12H24O4Si4","nurses"
"347.16036-436.4",347.16036,436.4,"DTXSID3027584","NN-Dicyclohexyl-2-benzothiazolesulfenamide","C19H26N2S2","nurses"
"347.29448-969.8",347.29448,969.8,"DTXSID9066047","Silane hexadecyltrimethoxy-","C19H42O3Si","nurses"
"349.13524-758.6",349.13524,758.6,"DTXSID4052502","Diphenyl(246-trimethylbenzoyl)phosphine oxide","C22H21O2P","nurses"
"349.13524-758.6",349.13524,758.6,"DTXSID2023690","Torsemide","C16H20N4O3S","nurses"
"350.12093-126.9",350.12093,126.9,"DTXSID5046485","Voriconazole","C16H14F3N5O","nurses"
"351.1288-185.2",351.1288,185.2,"DTXSID1034210","Prodiamine","C13H17F3N4O4","nurses"
"351.15785-805.7",351.15785,805.7,"DTXSID9057840","Dienestrol diacetate","C22H22O4","nurses"
"353.08152-543.6",353.08152,543.6,"DTXSID8020674","Griseofulvin","C17H17ClO6","nurses"
"353.08898-831.6",353.08898,831.6,"DTXSID50234232","5-(2-Acetoxyacetyl)benzene-123-triyl triacetate","C16H16O9","nurses"
"355.22502-895.7",355.22502,895.7,"DTXSID0023036","Etretinate","C23H30O3","nurses"
"357.1117-65.6",357.1117,65.6,"DTXSID4048858","Pyrantel tartrate","C15H20N2O6S","nurses"
"357.24046-946.6",357.24046,946.6,"DTXSID20319580","26-Di-tert-butyl-4-methoxy(4-methoxyphenyl)methylphenol","C23H32O3","nurses"
"357.24046-946.6",357.24046,946.6,"DTXSID8023004","Estradiol valerate","C23H32O3","nurses"
"357.24046-946.6",357.24046,946.6,"DTXSID8057857","Dehydropregnenolone acetate","C23H32O3","nurses"
"360.2747-1016.4",360.2747,1016.4,"DTXSID1070143","beta-Alanine N-(2-carboxyethyl)-N-3-(decyloxy)propyl- monosodium salt","C19H37NO5","nurses"
"362.14181-525.2",362.14181,525.2,"DTXSID1022681","Bisacodyl","C22H19NO4","nurses"
"362.14181-525.2",362.14181,525.2,"DTXSID8047391","SAR102608","C20H16FN5O","nurses"
"363.14534-529.9",363.14534,529.9,"DTXSID8027826","Dicyclohexyl sodium sulfosuccinate","C16H26O7S","nurses"
"364.16586-168.5",364.16586,168.5,"DTXSID4046280","Adafenoxate","C20H26ClNO3","nurses"
"365.24533-1154.6",365.24533,1154.6,"DTXSID6046553","Quinestrol","C25H32O2","nurses"
"367.11014-627",367.11014,627,"DTXSID7022629","Atovaquone","C22H19ClO3","nurses"
"371.21952-732.8",371.21952,732.8,"DTXSID1034929","Spiromesifen","C23H30O4","nurses"
"372.15262-227.3",372.15262,227.3,"DTXSID4023179","Isradipine","C19H21N3O5","nurses"
"372.23104-263.1",372.23104,263.1,"DTXSID1034187","Tamoxifen","C26H29NO","nurses"
"373.23526-879.8",373.23526,879.8,"DTXSID4045474","Rimexolone","C23H32O4","nurses"
"373.23526-879.8",373.23526,879.8,"DTXSID6022894","Deoxycorticosterone acetate","C23H32O4","nurses"
"373.23526-879.8",373.23526,879.8,"DTXSID6047103","Octadecyl sulfate sodium salt","C18H37NaO4S","nurses"
"374.14726-345.7",374.14726,345.7,"DTXSID7023514","PROCHLORPERAZINE","C20H24ClN3S","nurses"
"377.14125-91.5",377.14125,91.5,"DTXSID4045187","Propionylpromazine hydrochloride","C20H25ClN2OS","nurses"
"377.14125-91.5",377.14125,91.5,"DTXSID4045769","Eticlopride hydrochloride","C17H26Cl2N2O3","nurses"
"377.19326-712.4",377.19326,712.4,"DTXSID3047346","SSR162369","C18H22F2N6O","nurses"
"379.19361-229",379.19361,229,"DTXSID5046067","Fluprednisolone","C21H27FO5","nurses"
"380.19716-229.1",380.19716,229.1,"DTXSID3045198","Spiroxatrine","C22H25N3O3","nurses"
"381.24048-916.7",381.24048,916.7,"DTXSID3072298","2-Propen-1-one 13-bis4-(pentyloxy)phenyl-","C25H32O3","nurses"
"381.37262-1050.7",381.37262,1050.7,"DTXSID2066359","Docosyl acrylate","C25H48O2","nurses"
"384.32468-741.2",384.32468,741.2,"DTXSID9048809","Melinamide","C26H41NO","nurses"
"385.2065-192.7",385.2065,192.7,"DTXSID3040980","Bortezomib","C19H25BN4O4","nurses"
"387.21451-534.6",387.21451,534.6,"DTXSID5046805","Anecortave acetate","C23H30O5","nurses"
"388.16723-68.8",388.16723,68.8,"DTXSID5057672","Pipoxolan hydrochloride","C22H26ClNO3","nurses"
"388.22958-84.5",388.22958,84.5,"DTXSID7022384","(Z)-4-Hydroxytamoxifen","C26H29NO2","nurses"
"388.22958-84.5",388.22958,84.5,"DTXSID3037094","4-Hydroxytamoxifen","C26H29NO2","nurses"
"389.13141-139",389.13141,139,"DTXSID9048649","Aranidipine","C19H20N2O7","nurses"
"389.16282-539",389.16282,539,"DTXSID4022787","CETIRIZINE","C21H25ClN2O3","nurses"
"393.20909-263.2",393.20909,263.2,"DTXSID3020384","Dexamethasone","C22H29FO5","nurses"
"393.20909-263.2",393.20909,263.2,"DTXSID3022667","Betamethasone","C22H29FO5","nurses"
"395.26228-208.9",395.26228,208.9,"DTXSID9064051","1H-Azepine-1-carboxamide NN-16-hexanediylbishexahydro-2-oxo-","C20H34N4O4","nurses"
"395.38803-1087.1",395.38803,1087.1,"DTXSID8067733","9-Octadecenoic acid (9Z)- octyl ester","C26H50O2","nurses"
"397.12907-67",397.12907,67,"DTXSID3047348","SSR504734","C20H20ClF3N2O","nurses"
"397.23519-780.2",397.23519,780.2,"DTXSID6057823","Nandrolone furylpropionate","C25H32O4","nurses"
"397.23519-780.2",397.23519,780.2,"DTXSID5048184","Melengestrol acetate","C25H32O4","nurses"
"398.16321-327.2",398.16321,327.2,"DTXSID5047291","CI-1044","C23H19N5O2","nurses"
"403.20913-540.6",403.20913,540.6,"DTXSID0022858","Cortisone acetate","C23H30O6","nurses"
"403.20913-540.6",403.20913,540.6,"DTXSID3023502","Prednisolone acetate","C23H30O6","nurses"
"403.2328-869.9",403.2328,869.9,"DTXSID2026446","Acetyl tributyl citrate","C20H34O8","nurses"
"404.12823-934.2",404.12823,934.2,"DTXSID8049046","Alpidem","C21H23Cl2N3O","nurses"
"405.23983-856.3",405.23983,856.3,"DTXSID9022657","Benzquinamide","C22H32N2O5","nurses"
"407.13894-836.5",407.13894,836.5,"DTXSID9049401","Thioridazine hydrochloride","C21H27ClN2S2","nurses"
"408.13647-837.9",408.13647,837.9,"DTXSID8044626","Trazodone hydrochloride","C19H23Cl2N5O","nurses"
"409.18323-263",409.18323,263,"DTXSID3023631","TAMSULOSIN","C20H28N2O5S","nurses"
"414.23319-775.5",414.23319,775.5,"DTXSID5033468","Domiphen bromide","C22H40BrNO","nurses"
"426.24489-120.5",426.24489,120.5,"DTXSID6048838","Amoproxan","C22H35NO7","nurses"
"429.08827-921.2",429.08827,921.2,"DTXSID3046906","Diethylstilbestrol diphosphate","C18H22O8P2","nurses"
"429.23261-213.4",429.23261,213.4,"DTXSID7046091","Zaldaride","C26H28N4O2","nurses"
"437.23517-281.1",437.23517,281.1,"DTXSID2047434","Flurandrenolide","C24H33FO6","nurses"
"447.2625-213.6",447.2625,213.6,"DTXSID5073113","Phosphoric acid diphenyl tetradecyl ester","C26H39O4P","nurses"
"447.2625-213.6",447.2625,213.6,"DTXSID8034376","Denatonium benzoate","C28H34N2O3","nurses"
"451.21444-213.3",451.21444,213.3,"DTXSID5023586","Sofalcone","C27H30O6","nurses"
"453.20918-280.9",453.20918,280.9,"DTXSID0040674","Fluocinolone acetonide","C24H30F2O6","nurses"
"453.23908-382.2",453.23908,382.2,"DTXSID0048927","Alfentanil hydrochloride","C21H33ClN6O3","nurses"
"458.27132-155.7",458.27132,155.7,"DTXSID6046844","Ormeloxifene","C30H35NO3","nurses"
"463.01438-67.9",463.01438,67.9,"DTXSID50369896","1H1H10H10H-PERFLUORODECANE-110-DIOL","C10H6F16O2","nurses"
"464.18193-74.3",464.18193,74.3,"DTXSID1045459","Pivampicillin","C22H29N3O6S","nurses"
"465.12915-920.7",465.12915,920.7,"DTXSID5047322","SB243213A","C22H20ClF3N4O2","nurses"
"479.24314-303.5",479.24314,303.5,"DTXSID7023697","Tribenoside","C29H34O6","nurses"
"480.4044-1160.8",480.4044,1160.8,"DTXSID00231231","Behentrimonium methosulfate","C26H57NO4S","nurses"
"505.0141-394.6",505.0141,394.6,"DTXSID0047375","AVE9423","C23H12Cl2F2N2O5","nurses"
"525.19392-163.8",525.19392,163.8,"DTXSID7041887","Dipentaerythritol pentaacrylate","C25H32O12","nurses"
"531.40756-1182.3",531.40756,1182.3,"DTXSID2026151","d-alpha-Tocopheryl succinate","C33H54O5","nurses"
"533.23814-336.2",533.23814,336.2,"DTXSID4046492","Sunitinib malate","C26H33FN4O7","nurses"
"547.21786-587.5",547.21786,587.5,"DTXSID1047310","Farglitazar","C34H30N2O5","nurses"
"560.20177-616",560.20177,616,"DTXSID9049297","1-Methyl-3-tetradecylimidazolium bis(trifluoromethylsulfonyl)imide","C20H35F6N3O4S2","nurses"
"561.24819-248.1",561.24819,248.1,"DTXSID9048699","Chloramphenicol palmitate","C27H42Cl2N2O6","nurses"
"585.28748-323.1",585.28748,323.1,"DTXSID0043765","Ouabain","C29H44O12","nurses"
"591.35771-334.5",591.35771,334.5,"DTXSID1045326","Thonzonium bromide","C32H55BrN4O","nurses"
"607.31955-772.3",607.31955,772.3,"DTXSID4022369","Fulvestrant","C32H47F5O3S","nurses"
"614.78147-244.7",614.78147,244.7,"DTXSID0044521","Diatrizoic acid","C11H9I3N2O4","nurses"
"636.76277-244.4",636.76277,244.4,"DTXSID7022912","Diatrizoate sodium","C11H8I3N2NaO4","nurses"
"650.31247-252.4",650.31247,252.4,"DTXSID8048656","Vicriviroc maleate","C32H42F3N5O6","nurses"
"702.21233-1155.1",702.21233,1155.1,"DTXSID4047387","SAR102779","C35H38Cl2FN3O7","nurses"
"782.57126-1047.7",782.57126,1047.7,"DTXSID1031090","DC Red 28","C20H6Br4Cl4O5","nurses"
"793.34449-298.6",793.34449,298.6,"DTXSID2047351","SSR 240612","C42H53ClN4O7S","nurses"
"112.07565-174.2",112.07565,174.2,"DTXSID2021440","N-Vinyl-2-pyrrolidone","C6H9NO","firefighters"
"117.06977-1163.3",117.06977,1163.3,"DTXSID8042052","Indene","C9H8","firefighters"
"119.04892-322.8",119.04892,322.8,"DTXSID6020141","23-Benzofuran","C8H6O","firefighters"
"123.05506-163.5",123.05506,163.5,"DTXSID3020756","Isonicotinamide","C6H6N2O","firefighters"
"123.05506-163.5",123.05506,163.5,"DTXSID2020929","Niacinamide","C6H6N2O","firefighters"
"126.09132-166.8",126.09132,166.8,"DTXSID2024878","Cyclohexanone cyanohydrin","C7H11NO","firefighters"
"127.08658-112.1",127.08658,112.1,"DTXSID1032513","(35-Dimethyl-1H-pyrazol-1-yl)methanol","C6H10N2O","firefighters"
"130.06497-409.7",130.06497,409.7,"DTXSID8044385","(2E)-3-Phenylprop-2-enenitrile","C9H7N","firefighters"
"136.07561-360.7",136.07561,360.7,"DTXSID6025569","2-Methylbenzamide","C8H9NO","firefighters"
"136.07561-360.7",136.07561,360.7,"DTXSID5025570","N-Methylbenzamide","C8H9NO","firefighters"
"143.08539-1163.8",143.08539,1163.8,"DTXSID4020878","2-Methylnaphthalene","C11H10","firefighters"
"146.15372-293.9",146.15372,293.9,"DTXSID6021822","2-(Diisopropylamino)ethanol","C8H19NO","firefighters"
"150.07758-205.8",150.07758,205.8,"DTXSID9049376","7-Methyladenine","C6H7N5","firefighters"
"150.07758-205.8",150.07758,205.8,"DTXSID1020857","(N-6)-Methyladenine","C6H7N5","firefighters"
"156.10196-777.4",156.10196,777.4,"DTXSID3022617","Arecoline","C8H13NO2","firefighters"
"157.12213-321.8",157.12213,321.8,"DTXSID0034229","gamma-Nonanolactone","C9H16O2","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID8041452","2-(1-Methylbutyl)phenol","C11H16O","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID8052229","3-Methyl-4-phenyl-2-butanol","C11H16O","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID8062949","Phenol 2-(11-dimethylpropyl)-","C11H16O","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID4047092","Jasmone","C11H16O","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID9044164","4-Pentylphenol","C11H16O","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID4047468","2-tert-Butyl-6-methylphenol","C11H16O","firefighters"
"165.1274-447.9",165.1274,447.9,"DTXSID5047617","2-Methoxy-4-methyl-1-(propan-2-yl)benzene","C11H16O","firefighters"
"168.13826-819",168.13826,819,"DTXSID7044716","1-Cyclohexylpyrrolidin-2-one","C10H17NO","firefighters"
"174.11264-896.5",174.11264,896.5,"DTXSID6045870","Acetyl-L-leucine","C8H15NO3","firefighters"
"175.11185-1163.7",175.11185,1163.7,"DTXSID0047163","6-Acetyl-1234-tetrahydronaphthalene","C12H14O","firefighters"
"185.09656-370.9",185.09656,370.9,"DTXSID20235019","Potassium o-benzylphenolate","C13H12O","firefighters"
"185.11718-368.7",185.11718,368.7,"DTXSID4051405","Cyclooct-4-en-1-yl methyl carbonate","C10H16O3","firefighters"
"185.15367-748.5",185.15367,748.5,"DTXSID8044624","Octyl prop-2-enoate","C11H20O2","firefighters"
"185.15367-748.5",185.15367,748.5,"DTXSID3041299","Dihydrojasmone lactone","C11H20O2","firefighters"
"185.15367-748.5",185.15367,748.5,"DTXSID30365139","methyl 9-decenoate","C11H20O2","firefighters"
"185.15367-748.5",185.15367,748.5,"DTXSID9047099","Undecanoic delta-lactone","C11H20O2","firefighters"
"186.14887-819",186.14887,819,"DTXSID4026713","2-(Diethylamino)ethyl methacrylate","C10H19NO2","firefighters"
"187.13325-473.3",187.13325,473.3,"DTXSID9025580","Prop-2-en-1-yl (3-methylbutoxy)acetate","C10H18O3","firefighters"
"188.07127-190.6",188.07127,190.6,"DTXSID2025761","1-Nitro-2-methylnaphthalene","C11H9NO2","firefighters"
"189.11101-256.2",189.11101,256.2,"DTXSID8021640","Nonanedioic acid","C9H16O4","firefighters"
"189.11101-256.2",189.11101,256.2,"DTXSID4047549","Ethyl 24-dimethyl-13-dioxolane-2-acetate","C9H16O4","firefighters"
"190.0863-409.7",190.0863,409.7,"DTXSID4023460","Phensuximide","C11H11NO2","firefighters"
"190.0863-409.7",190.0863,409.7,"DTXSID6044644","N-Isopropylphthalimide","C11H11NO2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID7044764","2-Phenylethyl 2-methylpropanoate","C12H16O2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID0044107","Ibufenac","C12H16O2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID3041877","Dimethylbenzylcarbinyl acetate","C12H16O2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID6047159","4-Methylphenyl 3-methylbutanoate","C12H16O2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID6047604","2-Phenylethyl butanoate","C12H16O2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID1047603","Benzyl 3-methylbutanoate","C12H16O2","firefighters"
"193.12234-1019.7",193.12234,1019.7,"DTXSID3051917","3a45677a-Hexahydro-1H-47-methanoinden-5-yl acetate","C12H16O2","firefighters"
"194.08137-346.1",194.08137,346.1,"DTXSID00319624","Formyl(methyl)aminomethyl benzoate","C10H11NO3","firefighters"
"194.08137-346.1",194.08137,346.1,"DTXSID0020020","4-Acetylaminophenylacetic acid","C10H11NO3","firefighters"
"194.08137-346.1",194.08137,346.1,"DTXSID0045626","Betamipron","C10H11NO3","firefighters"
"195.11304-177.2",195.11304,177.2,"DTXSID0027438","Dibutyl phosphite","C8H19O3P","firefighters"
"196.1322-482.2",196.1322,482.2,"DTXSID0044650","22-(4-Methylphenyl)iminodiethanol","C11H17NO2","firefighters"
"200.07141-123.5",200.07141,123.5,"DTXSID3020960","5-Nitroacenaphthene","C12H9NO2","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID4047202","alpha-Farnesene","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID0047032","(-)-alpha-Cedrene","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID8047052","Valencene","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID8024739","beta-Caryophyllene","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID1044518","(-)-Isolongifolene","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID9047045","Longifolene","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID9066679","159-Cyclododecatriene 1510-trimethyl-","C15H24","firefighters"
"205.19496-1176.8",205.19496,1176.8,"DTXSID4041232","135-Triisopropylbenzene","C15H24","firefighters"
"214.08717-205",214.08717,205,"DTXSID7021784","Salicylanilide","C13H11NO2","firefighters"
"214.08717-205",214.08717,205,"DTXSID9020825","2-Methoxy-3-aminodibenzofuran","C13H11NO2","firefighters"
"217.14363-322.3",217.14363,322.3,"DTXSID1044807","Dimethyl nonanedioate","C11H20O4","firefighters"
"217.14363-322.3",217.14363,322.3,"DTXSID0044862","Undecanedioic acid","C11H20O4","firefighters"
"218.08138-375.9",218.08138,375.9,"DTXSID1049225","Oxazolone","C12H11NO3","firefighters"
"221.15375-1163.7",221.15375,1163.7,"DTXSID5038830","11-Dimethyl-2-phenylethyl butanoate","C14H20O2","firefighters"
"221.15375-1163.7",221.15375,1163.7,"DTXSID3044889","25-Di-tert-butylcyclohexa-25-diene-14-dione","C14H20O2","firefighters"
"224.08974-69.9",224.08974,69.9,"DTXSID7046045","N-Acetyl-L-tyrosine","C11H13NO4","firefighters"
"224.08974-69.9",224.08974,69.9,"DTXSID10300482","tert-butyl 4-nitrobenzoate","C11H13NO4","firefighters"
"224.1263-369",224.1263,369,"DTXSID7045368","Bufexamac","C12H17NO3","firefighters"
"224.1263-369",224.1263,369,"DTXSID6020721","3-Hydroxy-4-butyrophenetidide","C12H17NO3","firefighters"
"224.1263-369",224.1263,369,"DTXSID4057635","Nicoboxil","C12H17NO3","firefighters"
"226.04456-728.6",226.04456,728.6,"DTXSID4041997","Furazolidone","C8H7N3O5","firefighters"
"226.04456-728.6",226.04456,728.6,"DTXSID6042521","Zoalene","C8H7N3O5","firefighters"
"226.08181-327.8",226.08181,327.8,"DTXSID6020357","Cyclocytidine","C9H11N3O4","firefighters"
"229.08627-655.7",229.08627,655.7,"DTXSID4033390","Desmethoxyyangonin","C14H12O3","firefighters"
"229.08627-655.7",229.08627,655.7,"DTXSID3047508","Salicylic acid p-tolyl ester","C14H12O3","firefighters"
"231.10227-370.9",231.10227,370.9,"DTXSID5033595","Kavain","C14H14O3","firefighters"
"231.10227-370.9",231.10227,370.9,"DTXSID70274670","4-chloro-N-propan-2-yl-6-propan-2-yloxy-135-triazin-2-amine","C9H15ClN4O","firefighters"
"231.10227-370.9",231.10227,370.9,"DTXSID4040686","NAPROXEN","C14H14O3","firefighters"
"231.15904-439.5",231.15904,439.5,"DTXSID7021998","Dibutyl butanedioate","C12H22O4","firefighters"
"231.15904-439.5",231.15904,439.5,"DTXSID3027297","Dodecanedioic acid","C12H22O4","firefighters"
"231.15904-439.5",231.15904,439.5,"DTXSID6044511","Dipropyl hexanedioate","C12H22O4","firefighters"
"234.14657-458.9",234.14657,458.9,"DTXSID1046269","Piperoxan","C14H19NO2","firefighters"
"234.14657-458.9",234.14657,458.9,"DTXSID60295571","2-(1-hydroxycyclohexyl)-2-phenylacetamide","C14H19NO2","firefighters"
"234.14657-458.9",234.14657,458.9,"DTXSID5023299","METHYLPHENIDATE","C14H19NO2","firefighters"
"235.16951-1176.9",235.16951,1176.9,"DTXSID8034089","Valerenic acid","C15H22O2","firefighters"
"235.16951-1176.9",235.16951,1176.9,"DTXSID4041654","2-Ethylhexyl benzoate","C15H22O2","firefighters"
"235.16951-1176.9",235.16951,1176.9,"DTXSID7057658","35-Di-tert-butyl-4-hydroxybenzaldehyde","C15H22O2","firefighters"
"235.16951-1176.9",235.16951,1176.9,"DTXSID30239124","Propyl 4-tert-butylphenylacetate","C15H22O2","firefighters"
"235.16951-1176.9",235.16951,1176.9,"DTXSID20301849","methyl 22-dimethyl-12344a567-octahydro-13-methanonaphthalene-5-carboxylate","C15H22O2","firefighters"
"236.12814-189.7",236.12814,189.7,"DTXSID90308426","ethyl 4-(butanoylamino)benzoate","C13H17NO3","firefighters"
"237.07941-832.9",237.07941,832.9,"DTXSID5041699","Buturon","C12H13ClN2O","firefighters"
"238.10516-97.2",238.10516,97.2,"DTXSID6046264","Ethopabate","C12H15NO4","firefighters"
"241.0405-728.6",241.0405,728.6,"DTXSID8049202","10-Chloro-9-anthraldehyde","C15H9ClO","firefighters"
"241.15875-1163.3",241.15875,1163.3,"DTXSID8047896","Enzacamene","C17H20O","firefighters"
"242.14467-473.3",242.14467,473.3,"DTXSID3024318","Terbutryn","C10H19N5S","firefighters"
"245.17496-439.5",245.17496,439.5,"DTXSID7057783","Diethyl dipropylmalonate","C13H24O4","firefighters"
"247.13224-592",247.13224,592,"DTXSID20277055","111-benzene-135-triyltripropan-1-one","C15H18O3","firefighters"
"247.1695-1163.5",247.1695,1163.5,"DTXSID7071810","13-Decanedione 1-phenyl-","C16H22O2","firefighters"
"247.24211-1013.8",247.24211,1013.8,"DTXSID7026994","Dodecylbenzene","C18H30","firefighters"
"248.16235-806.6",248.16235,806.6,"DTXSID9023253","MEPERIDINE","C15H21NO2","firefighters"
"255.05391-728.6",255.05391,728.6,"DTXSID1020518","2-(22-DIMETHYLHYDRAZINO )-4-(5- NITRO-2-FURYL)THIAZOLE","C9H10N4O3S","firefighters"
"255.11304-480.7",255.11304,480.7,"DTXSID0048638","Nepafenac","C15H14N2O2","firefighters"
"258.03466-728.6",258.03466,728.6,"DTXSID90178348","Acetanilide 222-trifluoro-2-(trifluoromethyl)-","C9H5F6NO","firefighters"
"262.98127-8.3",262.98127,8.3,"DTXSID00442840","2-(TRIFLUOROMETHOXY)ETHYL TRIFLUOROMETHANESULFONATE","C4H4F6O4S","firefighters"
"263.23711-824.5",263.23711,824.5,"DTXSID8029315","4-(Butan-2-yl)-26-di-tert-butylphenol","C18H30O","firefighters"
"263.23711-824.5",263.23711,824.5,"DTXSID2021311","246-Tris(tert-butyl)phenol","C18H30O","firefighters"
"273.08463-309.8",273.08463,309.8,"DTXSID7025558","4-Methoxy-3-nitro-N-phenylbenzamide","C14H12N2O4","firefighters"
"273.08463-309.8",273.08463,309.8,"DTXSID0045179","Nimustine","C9H13ClN6O2","firefighters"
"275.2002-1163.3",275.2002,1163.3,"DTXSID7023350","Nandrolone","C18H26O2","firefighters"
"275.2002-1163.3",275.2002,1163.3,"DTXSID3034456","Cinmethylin","C18H26O2","firefighters"
"282.27954-1013.8",282.27954,1013.8,"DTXSID0042086","Laurocapram","C18H35NO","firefighters"
"282.27954-1013.8",282.27954,1013.8,"DTXSID6027137","(9Z)-Octadec-9-enamide","C18H35NO","firefighters"
"285.09927-158.8",285.09927,158.8,"DTXSID0048898","Psilocybin","C12H17N2O4P","firefighters"
"285.14089-381.9",285.14089,381.9,"DTXSID7023518","Promethazine","C17H20N2S","firefighters"
"289.21592-1163.3",289.21592,1163.3,"DTXSID8022329","Epitestosterone","C19H28O2","firefighters"
"292.18915-677.9",292.18915,677.9,"DTXSID3048528","CYCLOPENTOLATE","C17H25NO3","firefighters"
"295.16442-195.1",295.16442,195.1,"DTXSID2023725","Troxipide","C15H22N2O4","firefighters"
"296.29466-1075.1",296.29466,1075.1,"DTXSID3038727","Octadecyl isocyanate","C19H37NO","firefighters"
"297.27862-997.2",297.27862,997.2,"DTXSID4029276","2-Propenoic acid 2-methyl- pentadecyl ester","C19H36O2","firefighters"
"301.076-728.6",301.076,728.6,"DTXSID2046759","CLOBAZAM","C16H13ClN2O2","firefighters"
"301.076-728.6",301.076,728.6,"DTXSID8021309","Temazepam","C16H13ClN2O2","firefighters"
"301.076-728.6",301.076,728.6,"DTXSID8042424","Sulfaquinoxaline","C14H12N4O2S","firefighters"
"301.21605-1163.8",301.21605,1163.8,"DTXSID6040404","9-cis Retinoic acid","C20H28O2","firefighters"
"301.21605-1163.8",301.21605,1163.8,"DTXSID4023177","13-cis Retinoic acid","C20H28O2","firefighters"
"301.21605-1163.8",301.21605,1163.8,"DTXSID8022163","Dehydroabietic acid","C20H28O2","firefighters"
"301.21605-1163.8",301.21605,1163.8,"DTXSID2023276","Methandrostenolone","C20H28O2","firefighters"
"304.26107-1013.8",304.26107,1013.8,"DTXSID9042043","Hexahydro-135-tris(3-methoxypropyl)-s-triazine","C15H33N3O3","firefighters"
"304.26107-1013.8",304.26107,1013.8,"DTXSID4034601","(2R6S)-Fenpropimorph","C20H33NO","firefighters"
"308.1835-561.2",308.1835,561.2,"DTXSID1046475","Trocimine","C17H25NO4","firefighters"
"308.1971-797.2",308.1971,797.2,"DTXSID5044366","Dodecyltrimethylammonium bromide","C15H34BrN","firefighters"
"311.25811-951.2",311.25811,951.2,"DTXSID1035783","S-Methoprene","C19H34O3","firefighters"
"316.07391-158.6",316.07391,158.6,"DTXSID9044112","Oxfendazole","C15H13N3O3S","firefighters"
"316.09302-728.6",316.09302,728.6,"DTXSID4022810","Chlorprothixene","C18H18ClNS","firefighters"
"321.2531-581.3",321.2531,581.3,"DTXSID7046415","Camylofin","C19H32N2O2","firefighters"
"323.02194-622.3",323.02194,622.3,"DTXSID7020265","Chloramphenicol","C11H12Cl2N2O5","firefighters"
"333.12043-728.6",333.12043,728.6,"DTXSID3025548","Methdilazine hydrochloride","C18H21ClN2S","firefighters"
"334.14746-331.7",334.14746,331.7,"DTXSID0040757","Ciglitizone","C18H23NO3S","firefighters"
"334.23543-756.9",334.23543,756.9,"DTXSID9022734","Carbetapentane","C20H31NO3","firefighters"
"339.05357-588",339.05357,588,"DTXSID5041778","Chloropropylate","C17H16Cl2O3","firefighters"
"339.07367-728.6",339.07367,728.6,"DTXSID9021219","Quercetin dihydrate","C15H14O9","firefighters"
"339.07367-728.6",339.07367,728.6,"DTXSID3040776","Morin hydrate","C15H14O9","firefighters"
"345.2781-558.7",345.2781,558.7,"DTXSID8070417","Sodium lauroamphoacetate","C18H36N2O4","firefighters"
"352.09122-832.4",352.09122,832.4,"DTXSID10110043","Dipyrone monohydrate","C13H18N3NaO5S","firefighters"
"363.09791-60.6",363.09791,60.6,"DTXSID6048175","Difpas-pyrazole","C18H16F2N2O2S","firefighters"
"369.13415-83.3",369.13415,83.3,"DTXSID8031077","Curcumin","C21H20O6","firefighters"
"387.28903-863.1",387.28903,863.1,"DTXSID0046806","Testosterone isocaproate","C25H38O3","firefighters"
"400.17314-343.1",400.17314,343.1,"DTXSID5024845","Colchicine","C22H25NO6","firefighters"
"403.24472-836.4",403.24472,836.4,"DTXSID2022888","Dehydrocholic acid","C24H34O5","firefighters"
"442.25745-451.4",442.25745,451.4,"DTXSID2045600","Lisinopril dihydrate","C21H35N3O7","firefighters"
"468.32166-592.1",468.32166,592.1,"DTXSID0025818","Oxethazaine","C28H41N3O3","firefighters"
"480.21219-393.8",480.21219,393.8,"DTXSID6023363","Nicardipine","C26H29N3O6","firefighters"
"623.26819-240.8",623.26819,240.8,"DTXSID6045953","Irinotecan hydrochloride","C33H39ClN4O6","firefighters"
"623.26819-240.8",623.26819,240.8,"DTXSID8029286","1122-(4444-Tetraglycidyloxyphenyl)ethane","C38H38O8","firefighters"
