,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,cv_N/CV_OW,sdN/Sd_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,interest for fragmentation,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2xfb, higher N"
675,151.11191-817.4,1489,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID2022331,DTXSID2022331,2-(Butan-2-yl)phenol,,CCC(C)c1ccccc1O,2-butan-2-ylphenol,C10H14O,150.104465,"exposurepred, VBtoxcast",,,,,,,1,0.34967551,,,,,,,,,,,1,-1.321581,5.560972,6,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
676,151.11191-817.4,6962,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID9047463,DTXSID9047463,Corodane,,O=C1CC2CC1C1CCCC21,"tricyclo[5.2.1.02,6]decan-8-one",C10H14O,150.104465,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.274351468,15.18516772,1,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
677,151.11191-817.4,1240,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID1047601,DTXSID1047601,2-Methyl-1-phenylpropan-2-ol,,CC(C)(O)Cc1ccccc1,2-methyl-1-phenylpropan-2-ol,C10H14O,150.104465,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.021760381,5.163640385,2,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
678,151.11191-817.4,4556,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID6034972,DTXSID6034972,Thymol,,Cc1ccc(C(C)C)c(O)c1,5-methyl-2-propan-2-ylphenol,C10H14O,150.104465,"exposurepred, VBtoxcast",,,,,,,1,0.442869845,,,,,,,,,,,1,-1.313485,3.965362,1,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
679,151.11191-817.4,178,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID0024890,DTXSID0024890,p-Cymen-8-ol,,Cc1ccc(C(C)(C)O)cc1,2-(4-methylphenyl)propan-2-ol,C10H14O,150.104465,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.534851559,4.605727505,3,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
680,151.11191-817.4,5060,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID7022332,DTXSID7022332,4-(Butan-2-yl)phenol,,CCC(C)c1ccc(O)cc1,4-butan-2-ylphenol,C10H14O,150.104465,"ERactive, exposurepred, P4Up, VBtoxcast",,,,,,,1,0.51428007,,,,1,0.163,,,1,3,,1,-2.538053,14.17833,12,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,2,
681,151.11191-817.4,5360,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID7041413,DTXSID7041413,R-(-)-Carvone,,C=C(C)[C@@H]1CC=C(C)C(=O)C1,(5R)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,C10H14O,150.104465,exposurepred,,,,,,,1,99.66469121,,,,,,,,,,,,,,,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
682,151.11191-817.4,5698,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID8020256,DTXSID8020256,d-Carvone,,C=C(C)[C@H]1CC=C(C)C(=O)C1,(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,C10H14O,150.104465,"exposurepred, VBtoxcast",,,,,,,1,0.127428246,,,,,,,,,,,1,-2.776479723,35.00138879,6,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
683,151.11191-817.4,3852,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID5041190,DTXSID5041190,l-Perillaldehyde,,C=C(C)[C@@H]1CC=C(C=O)CC1,(4S)-4-prop-1-en-2-ylcyclohexene-1-carbaldehyde,C10H14O,150.104465,exposurepred,,,,,,,1,0.10927217,,,,,,,,,,,,,,,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
684,151.11191-817.4,79,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID0021626,DTXSID0021626,"4-Isopropylbenzyl,alcohol",,CC(C)c1ccc(CO)cc1,(4-propan-2-ylphenyl)methanol,C10H14O,150.104465,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-4.703797132,4.912837893,3,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
685,151.11191-817.4,5589,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID7049398,DTXSID7049398,Safranal,,CC1=C(C=O)C(C)(C)CC=C1,"2,6,6-trimethylcyclohexa-1,3-diene-1-carbaldehyde",C10H14O,150.104465,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-4.417381948,7.664923678,3,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,0,
686,151.11191-817.4,2618,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID3047425,DTXSID3047425,4-Butylphenol,,CCCCc1ccc(O)cc1,4-butylphenol,C10H14O,150.104465,"E2Up, ERactive, VBtoxcast",,,,,,,,,,,,1,0.111,1,2,,,,1,-2.279054767,20.73625883,5,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,2,
687,151.11191-817.4,714,151.11191,817.4,100,100,100,0,30940.8731,34397.01689,111.170156,24811.26646,15173.98929,22167.85087,15297.38698,69.0070818,22691.48286,12491.46931,1.610996337,2.248555059,20388.4607,10660.46366,52.28675089,22582.41487,16462.7245,2,10,Multiple,151.111741,1.12,C10H14O,150.10447,M+H,26554.36198,76.78008122,0,DTXSID1020221,DTXSID1020221,4-tert-Butylphenol,,CC(C)(C)c1ccc(O)cc1,4-tert-butylphenol,C10H14O,150.104465,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.161,,,,,,1,-1.095254,12.76574,8,,,0,0,nurses1,0.387454078,0.164350511,2.357486308,0.019394955,1,0,pos,1,
688,152.10697-162.1,1583,152.10697,162.1,100,100,100,0,530276.3345,2265309.768,427.1942043,22432.32287,29406.36689,218543.5556,1264293.265,578.5086008,14420.25936,16870.03104,0.738440541,1.791759736,85486.08635,28830.34303,33.72518765,76578.38868,81632.11858,2,10,Multiple,152.10699,0.13,C9H14ClNO,151.09971,M+H,374409.945,22.83221573,0,DTXSID2025896,DTXSID2025896,"Phenylpropanolamine,hydrochloride",,C[C@@H](N)[C@@H](O)c1ccccc1,"(1S,2R)-2-amino-1-phenylpropan-1-ol",C9H14ClNO,151.099714,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.522977585,1.136222466,1,,,0,0,nurses1,0.763594062,0.297772777,2.56435148,0.011093326,1,0,pos,0,1
689,152.10697-162.1,2451,152.10697,162.1,100,100,100,0,530276.3345,2265309.768,427.1942043,22432.32287,29406.36689,218543.5556,1264293.265,578.5086008,14420.25936,16870.03104,0.738440541,1.791759736,85486.08635,28830.34303,33.72518765,76578.38868,81632.11858,2,10,Multiple,152.10699,0.13,C9H13NO,151.09971,M+H,374409.945,22.83221573,0,DTXSID3041293,DTXSID3041293,2-((Dimethylamino)methyl)phenol,1,CN(C)Cc1ccccc1O,2-[(dimethylamino)methyl]phenol,C9H13NO,151.099714,"ERactive, VBtoxcast",,,,,,,,,,,,1,7.52E-06,,,,,,1,-1.185085029,3.601526544,3,,,0,0,nurses1,0.763594062,0.297772777,2.56435148,0.011093326,1,0,pos,1,1
690,152.10708-919.9,1583,152.10708,919.9,91.66666667,85,100,6.666666667,1725.894281,1469.556725,85.1475517,1520.658171,NA,2073.403809,2770.815733,133.6360877,1433.479451,NA,0.637159866,0.530369706,4452.116307,3534.8184,79.39636246,2933.154872,3601.863183,2,10,Multiple,152.10699,0.59,C9H14ClNO,151.09971,M+H,1899.649045,234.3652012,0,DTXSID2025896,DTXSID2025896,"Phenylpropanolamine,hydrochloride",,C[C@@H](N)[C@@H](O)c1ccccc1,"(1S,2R)-2-amino-1-phenylpropan-1-ol",C9H14ClNO,151.099714,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.522977585,1.136222466,1,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
691,152.10708-919.9,2451,152.10708,919.9,91.66666667,85,100,6.666666667,1725.894281,1469.556725,85.1475517,1520.658171,NA,2073.403809,2770.815733,133.6360877,1433.479451,NA,0.637159866,0.530369706,4452.116307,3534.8184,79.39636246,2933.154872,3601.863183,2,10,Multiple,152.10699,0.59,C9H13NO,151.09971,M+H,1899.649045,234.3652012,0,DTXSID3041293,DTXSID3041293,2-((Dimethylamino)methyl)phenol,,CN(C)Cc1ccccc1O,2-[(dimethylamino)methyl]phenol,C9H13NO,151.099714,"ERactive, VBtoxcast",,,,,,,,,,,,1,7.52E-06,,,,,,1,-1.185085029,3.601526544,3,,,0,0,NA,0,NA,NA,NA,0,0,pos,1,
692,152.10709-279,1583,152.10709,279,100,100,100,0,21386.03106,13816.89322,64.60709412,23301.70394,16420.3309,20007.13115,13208.01445,66.01653357,20606.70353,15286.09519,0.978650205,1.04609919,36993.07564,13539.0953,36.59899876,41093.4882,33665.70483,2,10,Multiple,152.10699,0.66,C9H14ClNO,151.09971,M+H,20696.58111,178.7400317,0,DTXSID2025896,DTXSID2025896,"Phenylpropanolamine,hydrochloride",,C[C@@H](N)[C@@H](O)c1ccccc1,"(1S,2R)-2-amino-1-phenylpropan-1-ol",C9H14ClNO,151.099714,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.522977585,1.136222466,1,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
693,152.10709-279,2451,152.10709,279,100,100,100,0,21386.03106,13816.89322,64.60709412,23301.70394,16420.3309,20007.13115,13208.01445,66.01653357,20606.70353,15286.09519,0.978650205,1.04609919,36993.07564,13539.0953,36.59899876,41093.4882,33665.70483,2,10,Multiple,152.10699,0.66,C9H13NO,151.09971,M+H,20696.58111,178.7400317,0,DTXSID3041293,DTXSID3041293,2-((Dimethylamino)methyl)phenol,,CN(C)Cc1ccccc1O,2-[(dimethylamino)methyl]phenol,C9H13NO,151.099714,"ERactive, VBtoxcast",,,,,,,,,,,,1,7.52E-06,,,,,,1,-1.185085029,3.601526544,3,,,0,0,NA,0,NA,NA,NA,0,0,pos,1,
694,152.10717-369.7,1583,152.10717,369.7,100,100,100,0,14246.59912,8620.638853,60.51015249,10072.05696,12139.45938,14781.12018,8642.720458,58.47134962,10386.29584,12630.38103,1.034868408,0.997445063,24343.11859,11481.23134,47.16417619,21977.10422,21777.43546,2,10,Multiple,152.10699,1.18,C9H14ClNO,151.09971,M+H,14513.85965,167.7232602,0,DTXSID2025896,DTXSID2025896,"Phenylpropanolamine,hydrochloride",,C[C@@H](N)[C@@H](O)c1ccccc1,"(1S,2R)-2-amino-1-phenylpropan-1-ol",C9H14ClNO,151.099714,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.522977585,1.136222466,1,,,0,0,nurses1,-0.082799681,0.046455899,-1.782328674,0.076259617,0,0,pos,0,
695,152.10717-369.7,2451,152.10717,369.7,100,100,100,0,14246.59912,8620.638853,60.51015249,10072.05696,12139.45938,14781.12018,8642.720458,58.47134962,10386.29584,12630.38103,1.034868408,0.997445063,24343.11859,11481.23134,47.16417619,21977.10422,21777.43546,2,10,Multiple,152.10699,1.18,C9H13NO,151.09971,M+H,14513.85965,167.7232602,0,DTXSID3041293,DTXSID3041293,2-((Dimethylamino)methyl)phenol,,CN(C)Cc1ccccc1O,2-[(dimethylamino)methyl]phenol,C9H13NO,151.099714,"ERactive, VBtoxcast",,,,,,,,,,,,1,7.52E-06,,,,,,1,-1.185085029,3.601526544,3,,,0,0,nurses1,-0.082799681,0.046455899,-1.782328674,0.076259617,0,0,pos,1,
696,152.1433-287.5,5779,152.1433,287.5,100,100,100,0,25650.48912,15990.73539,62.34085953,21492.11192,22656.72619,26055.35575,24190.57826,92.84301656,20044.74448,21064.73115,0.671465252,0.661031548,41214.62194,17046.54089,41.36042036,34117.81937,38824.99419,2,10,Unique,152.143376,0.5,C10H17N,151.1361,M+H,25852.92244,159.4195861,0,DTXSID8022117,DTXSID8022117,AMANTADINE,,NC12CC3CC(CC(C3)C1)C2,adamantan-1-amine,C10H17N,151.1361,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
697,152.14331-492.2,5779,152.14331,492.2,100,100,100,0,6959.569545,4524.715812,65.01430559,5149.73538,5599.234355,7229.292832,4744.345417,65.62668752,5431.318912,5808.704803,0.990668706,0.95370708,10047.37237,5602.118867,55.75705427,10197.53577,8284.186885,2,10,Unique,152.143376,0.43,C10H17N,151.1361,M+H,7094.431189,141.6233678,0,DTXSID8022117,DTXSID8022117,AMANTADINE,,NC12CC3CC(CC(C3)C1)C2,adamantan-1-amine,C10H17N,151.1361,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,nurses1,-0.103001216,0.044803505,-2.298954406,0.022572756,0,0,pos,0,
698,152.14338-388.6,5779,152.14338,388.6,100,100,100,0,11685.12242,29148.9931,249.4538957,4426.303008,5721.849709,15040.58292,48424.14082,321.956543,4566.332273,5858.562064,0.774806107,0.601951684,7524.706378,5470.416675,72.69940381,6011.08928,5955.925208,2,10,Unique,152.143376,0.03,C10H17N,151.1361,M+H,13362.85267,56.3106289,0,DTXSID8022117,DTXSID8022117,AMANTADINE,,NC12CC3CC(CC(C3)C1)C2,adamantan-1-amine,C10H17N,151.1361,Drug,1,,0,0,,0,,,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
699,153.05476-1164.5,90,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID0021969,DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,,COc1cc(C=O)ccc1O,4-hydroxy-3-methoxybenzaldehyde,C8H8O3,152.047344,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.346173877,6.404791328,5,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
700,153.05476-1164.5,2268,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID3026516,DTXSID3026516,"Tetrahydrophthalic,anhydride",,O=C1OC(=O)C2CC=CCC12,"3a,4,7,7a-tetrahydro-2-benzofuran-1,3-dione",C8H8O3,152.047344,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.297239,1.081582,1,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
701,153.05476-1164.5,2891,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID4022529,DTXSID4022529,Methylparaben,,COC(=O)c1ccc(O)cc1,methyl 4-hydroxybenzoate,C8H8O3,152.047344,"E2Up, P4Up, Vbtoxcast, Disinfect ingredient list",,,1,,,,,,,,,,,1,3,1,2,,1,-5.036044,4.56192,7,,,0,0,NA,0,NA,NA,NA,0,0,pos,2,
702,153.05476-1164.5,3266,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID4046523,DTXSID4046523,"D-(-)-Mandelic,acid",,O=C(O)[C@H](O)c1ccccc1,(2R)-2-hydroxy-2-phenylacetic acid,C8H8O3,152.047344,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.988741306,2.070373598,3,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
703,153.05476-1164.5,3574,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID5022011,DTXSID5022011,2-Hydroxy-3-methoxybenzaldehyde,,COc1cccc(C=O)c1O,2-hydroxy-3-methoxybenzaldehyde,C8H8O3,152.047344,exposurepred,,,,,,,1,2.916132793,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
704,153.05476-1164.5,3689,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID5025659,DTXSID5025659,"Methyl,salicylate",,COC(=O)c1ccccc1O,methyl 2-hydroxybenzoate,C8H8O3,152.047344,"exposurepred, VBtoxcast",,,,,,,1,0.183849724,,,,,,,,,,,1,-1.819315149,4.878495329,11,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
705,153.05476-1164.5,6387,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID8063096,DTXSID8063096,"Acetic,acid,,phenoxy,-,sodium,salt",,O=C([O-])COc1ccccc1,2-phenoxyacetate,C8H8O3,151.040068,exposurepred,,,,,,,1,1.249341538,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
706,153.05476-1164.5,6767,153.05476,1164.5,100,100,100,0,10092.16098,8782.360994,87.02161023,6824.843027,7222.637818,11688.74273,15601.2346,133.4723071,6558.374459,7115.409428,0.651982513,0.562927308,12577.25525,6598.760321,52.46582177,14561.05046,10428.87727,3,27979.27461,Multiple,153.05462,0.91,C8H8O3,152.04734,M+H,10890.45186,115.4888283,0,DTXSID9038686,DTXSID9038686,"2-Hydroxy-3-methylbenzoic,acid",,Cc1cccc(C(=O)O)c1O,2-hydroxy-3-methylbenzoic acid,C8H8O3,152.047344,exposurepred,,,,,,,1,6.663028153,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
707,153.05482-1173.5,90,153.05482,1173.5,100,100,100,0,9230.33491,9342.356255,101.2136217,5707.184927,5666.810434,11818.93172,24165.27904,204.4624642,5638.680796,5543.524932,0.495022996,0.386602457,15071.03109,11143.93299,73.94273773,12810.73473,11134.21932,3,27979.27461,Multiple,153.05462,1.31,C8H8O3,152.04734,M+H,10524.63331,143.1976834,0,DTXSID0021969,DTXSID0021969,4-Hydroxy-3-methoxybenzaldehyde,,COc1cc(C=O)ccc1O,4-hydroxy-3-methoxybenzaldehyde,C8H8O3,152.047344,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.346173877,6.404791328,5,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
708,153.05482-1173.5,2268,153.05482,1173.5,100,100,100,0,9230.33491,9342.356255,101.2136217,5707.184927,5666.810434,11818.93172,24165.27904,204.4624642,5638.680796,5543.524932,0.495022996,0.386602457,15071.03109,11143.93299,73.94273773,12810.73473,11134.21932,3,27979.27461,Multiple,153.05462,1.31,C8H8O3,152.04734,M+H,10524.63331,143.1976834,0,DTXSID3026516,DTXSID3026516,"Tetrahydrophthalic,anhydride",,O=C1OC(=O)C2CC=CCC12,"3a,4,7,7a-tetrahydro-2-benzofuran-1,3-dione",C8H8O3,152.047344,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.297239,1.081582,1,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
709,153.05482-1173.5,2891,153.05482,1173.5,100,100,100,0,9230.33491,9342.356255,101.2136217,5707.184927,5666.810434,11818.93172,24165.27904,204.4624642,5638.680796,5543.524932,0.495022996,0.386602457,15071.03109,11143.93299,73.94273773,12810.73473,11134.21932,3,27979.27461,Multiple,153.05462,1.31,C8H8O3,152.04734,M+H,10524.63331,143.1976834,0,DTXSID4022529,DTXSID4022529,Methylparaben,,COC(=O)c1ccc(O)cc1,methyl 4-hydroxybenzoate,C8H8O3,152.047344,"E2Up, P4Up, Vbtoxcast, Disinfect ingredient list",,,1,,,,,,,,,,,1,3,1,2,,1,-5.036044,4.56192,7,,,0,0,NA,0,NA,NA,NA,0,0,pos,2,
710,153.05482-1173.5,3266,153.05482,1173.5,100,100,100,0,9230.33491,9342.356255,101.2136217,5707.184927,5666.810434,11818.93172,24165.27904,204.4624642,5638.680796,5543.524932,0.495022996,0.386602457,15071.03109,11143.93299,73.94273773,12810.73473,11134.21932,3,27979.27461,Multiple,153.05462,1.31,C8H8O3,152.04734,M+H,10524.63331,143.1976834,0,DTXSID4046523,DTXSID4046523,"D-(-)-Mandelic,acid",,O=C(O)[C@H](O)c1ccccc1,(2R)-2-hydroxy-2-phenylacetic acid,C8H8O3,152.047344,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.988741306,2.070373598,3,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
711,153.05482-1173.5,3574,153.05482,1173.5,100,100,100,0,9230.33491,9342.356255,101.2136217,5707.184927,5666.810434,11818.93172,24165.27904,204.4624642,5638.680796,5543.524932,0.495022996,0.386602457,15071.03109,11143.93299,73.94273773,12810.73473,11134.21932,3,27979.27461,Multiple,153.05462,1.31,C8H8O3,152.04734,M+H,10524.63331,143.1976834,0,DTXSID5022011,DTXSID5022011,2-Hydroxy-3-methoxybenzaldehyde,,COc1cccc(C=O)c1O,2-hydroxy-3-methoxybenzaldehyde,C8H8O3,152.047344,exposurepred,,,,,,,1,2.916132793,,,,,,,,,,,,,,,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
712,153.05482-1173.5,3689,153.05482,1173.5,100,100,100,0,9230.33491,9342.356255,101.2136217,5707.184927,5666.810434,11818.93172,24165.27904,204.4624642,5638.680796,5543.524932,0.495022996,0.386602457,15071.03109,11143.93299,73.94273773,12810.73473,11134.21932,3,27979.27461,Multiple,153.05462,1.31,C8H8O3,152.04734,M+H,10524.63331,143.1976834,0,DTXSID5025659,DTXSID5025659,"Methyl,salicylate",,COC(=O)c1ccccc1O,methyl 2-hydroxybenzoate,C8H8O3,152.047344,"exposurepred, VBtoxcast",,,,,,,1,0.183849724,,,,,,,,,,,1,-1.819315149,4.878495329,11,,,0,0,NA,0,NA,NA,NA,0,0,pos,0,
