,X1,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,CV_N.CV_OW,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,name_cleaned.x,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DB_name,DTXSID,name_original,select.for.fragmentation,SMILES_cleaned,name_cleaned.y,formula_cleaned,Molweight_cleaned,parent_id,MONOISOTOPIC_MASS,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,DF_high_N,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,cvNvOW,sd_avg_N,sdN_GE_sdavg,Drug_UCSF_cond,ERactive_AUC_cond,of_interest_all,of_int_sd,of_interest_sum,of_interest_cat
215,1054,195.102-469,6090,195.102,469,100,100,100,0,49479.29335,127415.6146,257.5130039,14140.83188,17707.99709,77672.2571,239677.6489,308.57562,11780.13553,18643.46972,4772.335834,2382.229034,49.91746424,5431.919543,4027.049085,0.834521548,3,38297.87234,Multiple,195.1015703,2.2,(4-Methylphenoxy)aceticacidethylester,C11H14O3,194.09429,M+H,63575.77522,7.506531878,DTXSID8047428,DTXSID8047428,"(4-Methylphenoxy),acetic,acid,ethyl,ester",2,CCOC(=O)COc1ccc(C)cc1,ethyl 2-(4-methylphenoxy)acetate,C11H14O3,194.0942943,,194.0942943,exposurepred,,NA,NA,NA,NA,NA,1,0.153293885,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,0.834521547424907,118810.628730266,1,0,NA,0,1,1,1
220,1059,195.102-469,6765,195.102,469,100,100,100,0,49479.29335,127415.6146,257.5130039,14140.83188,17707.99709,77672.2571,239677.6489,308.57562,11780.13553,18643.46972,4772.335834,2382.229034,49.91746424,5431.919543,4027.049085,0.834521548,3,38297.87234,Multiple,195.1015703,2.2,Phenoxyethylpropionate,C11H14O3,194.09429,M+H,63575.77522,7.506531878,DTXSID9047203,DTXSID9047203,"Phenoxyethyl,propionate",2,CCC(=O)OCCOc1ccccc1,2-phenoxyethyl propanoate,C11H14O3,194.0942943,,194.0942943,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.128653951,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.203117402,1.836084147,3,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,0,pos,0.834521547424907,118810.628730266,1,0,NA,0,1,1,1
221,1064,197.01824-150.1,4093,197.01824,150.1,100,97.5,0,2.5,12039.16978,13567.34986,112.6934008,7590.450331,7721.135497,10042.70183,9444.634707,94.04475874,7250.271873,NA,0,0,NA,0,NA,1.19829539,2,10,Unique,197.0195736,6.77,1H1H2H-PERFLUOROCYCLOPENTANE,C5H3F7,196.0123,M+H,11040.93581,0,DTXSID50880218,DTXSID50880218,"1H,1H,2H-PERFLUOROCYCLOPENTANE",1,FC1CC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4-heptafluorocyclopentane",C5H3F7,196.0122976,,196.0122972,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.500358086,0.273690674,1.828188294,0.069057127,1,0,pos,1.19829538944915,118810.628730266,0,0,NA,1,0,1,1
225,1116,202.08657-278.5,6272,202.08657,278.5,100,100,100,0,52825.25024,54055.82192,102.3295141,43904.83233,40965.46625,48407.79219,53711.95483,110.9572497,28936.66563,32225.42423,3238.206787,2719.71518,83.9883108,2320.706918,2447.009647,0.922242706,3,540,Unique,202.0862546,1.56,Carbaryl,C12H11NO2,201.07898,M+H,50616.52121,6.397529323,DTXSID9020247,DTXSID9020247,Carbaryl,2,CNC(=O)Oc1cccc2ccccc12,naphthalen-1-yl N-methylcarbamate,C12H11NO2,201.0789786,,201.0789786,"E2Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,NA,NA,NA,1,-1.285324059,7.610068357,16,NA,NA,0,NA,0,nurses1,0.366122343,0.169220592,2.16358032,0.031719113,1,0,pos,0.92224270497577,118810.628730266,0,0,NA,1,0,1,1
270,1325,226.10841-180.6,5137,226.10841,180.6,100,100,100,0,7707.202869,3610.466006,46.84534801,7363.283111,6783.581494,7429.646419,6214.137248,83.63974403,6541.168306,4973.724777,2149.446983,2542.826422,118.3014256,1162.750903,1295.691104,0.560084784,1,9,Unique,226.1087214,1.38,N-Benzyladenine,C12H11N5,225.10145,M+H,7568.424644,28.40019005,DTXSID7032630,DTXSID7032630,N-Benzyladenine,1,c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,N-benzyl-7H-purin-6-amine,C12H11N5,225.1014454,,225.1014454,"E2Up, P4Up",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.435503934,0.15332938,2.840316283,0.004987705,1,0,pos,0.560084784491897,118810.628730266,0,0,NA,2,0,2,1
275,1350,227.12581-405,6440,227.12581,405,100,100,100,0,25632.61173,35994.96919,140.4264597,13068.31825,11143.75371,18830.55252,20837.43357,110.6575792,9325.618018,8503.13635,4826.230883,4351.174604,90.15678508,2578.147578,3129.370082,1.269017998,3,28421.05263,Multiple,227.1277851,8.7,16-Hexanedioldiacrylate,C12H18O4,226.12051,M+H,22231.58213,21.70889528,DTXSID9025401,DTXSID9025401,"1,6-Hexanediol,diacrylate",1,C=CC(=O)OCCCCCCOC(=O)C=C,6-prop-2-enoyloxyhexyl prop-2-enoate,C12H18O4,226.1205091,,226.1205091,"P4Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,3,NA,1,-2.267966964,22.16326324,21,NA,NA,0,NA,0,nurses1,0.430170871,0.127864549,3.364270034,0.000924853,1,0,pos,1.26901799872376,118810.628730266,0,0,NA,1,0,1,1
277,1352,227.12588-413.9,6440,227.12588,413.9,100,98.75,83.33333333,1.25,25786.38726,35520.81219,137.7502472,13447.36681,10678.06167,18622.76349,20843.05133,111.9224402,10274.67157,NA,2736.457026,2930.160263,107.0786143,1900.459744,NA,1.230765224,3,28421.05263,Multiple,227.1277851,8.39,16-Hexanedioldiacrylate,C12H18O4,226.12051,M+H,22204.57537,12.32384308,DTXSID9025401,DTXSID9025401,"1,6-Hexanediol,diacrylate",1,C=CC(=O)OCCCCCCOC(=O)C=C,6-prop-2-enoyloxyhexyl prop-2-enoate,C12H18O4,226.1205091,,226.1205091,"P4Up, VBtoxcast",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,3,NA,1,-2.267966964,22.16326324,21,NA,NA,0,NA,0,nurses1,0.618281921,0.181270947,3.410816417,0.000788013,1,0,pos,1.2307652241485,118810.628730266,0,0,NA,1,0,1,1
286,1385,231.10204-375.4,3071,231.10204,375.4,100,98.75,66.66666667,1.25,40736.65279,186109.9479,456.8611683,6621.312756,9239.563299,7471.959417,5893.210149,78.87101388,5427.12132,NA,572.9822338,849.3749071,148.2375643,279.6653874,NA,5.792510402,3,25714.28571,Multiple,231.1015703,2.03,NAPROXEN,C14H14O3,230.09429,M+H,24104.3061,2.377094911,DTXSID4040686,DTXSID4040686,NAPROXEN,3,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,C14H14O3,230.0942943,,230.0942943,Drug,1,NA,0,0,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.966594472,0.238944184,4.045273068,7.54E-05,1,0,pos,5.79251040179477,118810.628730266,1,1,NA,1,0,1,1
287,1386,231.10204-375.4,5071,231.10204,375.4,100,98.75,66.66666667,1.25,40736.65279,186109.9479,456.8611683,6621.312756,9239.563299,7471.959417,5893.210149,78.87101388,5427.12132,NA,572.9822338,849.3749071,148.2375643,279.6653874,NA,5.792510402,3,25714.28571,Multiple,231.1007148,5.73,4-chloro-N-propan-2-yl-6-propan-2-yloxy-135-triazin-2-amine,C9H15ClN4O,230.09344,M+H,24104.3061,2.377094911,DTXSID70274670,DTXSID70274670,"4-chloro-N-propan-2-yl-6-propan-2-yloxy-1,3,5-triazin-2-amine",2,CC(C)Nc1nc(Cl)nc(OC(C)C)n1,"4-chloro-N-propan-2-yl-6-propan-2-yloxy-1,3,5-triazin-2-amine",C9H15ClN4O,230.0934388,,230.0934388,exposurepred,,NA,NA,NA,NA,NA,1,0.678017904,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.966594472,0.238944184,4.045273068,7.54E-05,1,0,pos,5.79251040179477,118810.628730266,1,0,NA,0,1,1,1
298,1434,240.10217-120,1387,240.10217,120,100,100,100,0,80800.7381,33700.18854,41.70777313,71073.69262,74060.43054,72826.41619,31162.38133,42.78994211,65263.26385,66375.16265,13068.25575,11327.28457,86.67786112,11428.16392,7255.684128,0.974709735,3,55227.27273,Unique,240.1019047,1.1,N-HYDROXY-2-(ACETYLAMINO)FLUORENE,C15H13NO2,239.09463,M+H,76813.57715,17.01295036,DTXSID2020719,DTXSID2020719,N-HYDROXY-2-(ACETYLAMINO)FLUORENE,NA,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,N-(9H-fluoren-2-yl)-N-hydroxyacetamide,C15H13NO2,239.0946287,,239.094629,MC,,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,nurses1,0.159066505,0.089712252,1.773074491,0.077785456,1,0,pos,0.974709734890081,118810.628730266,0,0,NA,1,0,1,1
299,1435,240.10222-116.2,1387,240.10222,116.2,100,100,100,0,94394.03127,40387.38724,42.78595447,86474.00883,85323.0392,84096.04475,38702.85215,46.02220267,74968.38038,74538.50962,15830.40039,13095.62461,82.72453188,14517.3813,9016.242706,0.929680719,3,55227.27273,Unique,240.1019047,1.31,N-HYDROXY-2-(ACETYLAMINO)FLUORENE,C15H13NO2,239.09463,M+H,89245.03801,17.73812947,DTXSID2020719,DTXSID2020719,N-HYDROXY-2-(ACETYLAMINO)FLUORENE,NA,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,N-(9H-fluoren-2-yl)-N-hydroxyacetamide,C15H13NO2,239.0946287,,239.094629,MC,,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,nurses1,0.191304065,0.098625048,1.939710746,0.053864897,1,0,pos,0.929680719038909,118810.628730266,0,0,NA,1,0,1,1
301,1440,241.14177-471.6,3833,241.14177,471.6,100,100,75,0,210142.2002,327281.8966,155.7430617,24885.37913,40695.52491,227639.3008,330277.8132,145.0882216,23891.03069,32036.30716,1537.802175,1990.271462,129.423114,545.0086091,NA,1.073436975,3,26470.58824,Unique,241.1434351,6.91,22-Dimethylpropane-13-diylbis(2-methylprop-2-enoate),C13H20O4,240.13616,M+H,218890.7505,0.702543242,DTXSID5044867,DTXSID5044867,"2,2-Dimethylpropane-1,3-diyl,bis(2-methylprop-2-enoate)",2,C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C,"[2,2-dimethyl-3-(2-methylprop-2-enoyloxy)propyl] 2-methylprop-2-enoate",C13H20O4,240.1361591,,240.1361591,exposurepred,,NA,NA,NA,NA,NA,1,12.12239414,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.468350761,0.138208534,3.388725336,0.00085041,1,0,pos,1.07343697498323,118810.628730266,1,0,NA,0,1,1,1
303,1449,243.13581-615.7,4353,243.13581,615.7,99.16666667,100,100,-0.833333333,4082.62755,3446.101187,84.40890442,3268.162557,NA,2285.327587,2860.442072,125.1655162,1389.783298,1286.884165,1006.444938,564.2095606,56.05965507,1247.880707,809.0779885,0.674378271,2,515.9235669,Multiple,243.1339569,7.62,Triphenylborane,C18H15B,242.12668,M+H,3183.977569,31.60967426,DTXSID6027345,DTXSID6027345,Triphenylborane,2,c1ccc(B(c2ccccc2)c2ccccc2)cc1,triphenylborane,C18H15B,242.1266809,,242.12668,"ERactive, exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.156375666,NA,,NA,1,0.101,NA,NA,NA,NA,NA,1,-0.6809284,10.09019,3,NA,NA,0,NA,0,nurses1,0.860613641,0.257887604,3.337165605,0.001014449,1,0,pos,0.6743782711296,118810.628730266,0,0,1,1,0,1,1
304,1450,243.13581-615.7,2820,243.13581,615.7,99.16666667,100,100,-0.833333333,4082.62755,3446.101187,84.40890442,3268.162557,NA,2285.327587,2860.442072,125.1655162,1389.783298,1286.884165,1006.444938,564.2095606,56.05965507,1247.880707,809.0779885,0.674378271,2,515.9235669,Multiple,243.1379558,8.83,BisphenolB,C16H18O2,242.13068,M+H,3183.977569,31.60967426,DTXSID4022442,DTXSID4022442,"Bisphenol,B",1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4-[2-(4-hydroxyphenyl)butan-2-yl]phenol,C16H18O2,242.1306798,,242.1306798,"ERactive, VBtoxcast, pellizzari",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,0.491,NA,NA,NA,NA,NA,1,-4.2663,9.375373,45,NA,1,0,NA,0,nurses1,0.860613641,0.257887604,3.337165605,0.001014449,1,0,pos,0.6743782711296,118810.628730266,0,0,1,2,0,2,1
305,1451,243.13594-618.3,2820,243.13594,618.3,99.16666667,100,100,-0.833333333,4266.409119,3610.051322,84.61568549,3320.812656,NA,2330.194419,2956.953563,126.8972897,1435.012867,1296.153538,1010.667015,578.5298592,57.24238061,1134.618572,811.7076334,0.666804513,2,515.9235669,Multiple,243.1379558,8.29,BisphenolB,C16H18O2,242.13068,M+H,3298.301769,30.64204203,DTXSID4022442,DTXSID4022442,"Bisphenol,B",1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4-[2-(4-hydroxyphenyl)butan-2-yl]phenol,C16H18O2,242.1306798,,242.1306798,"ERactive, VBtoxcast, pellizzari",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,0.491,NA,NA,NA,NA,NA,1,-4.2663,9.375373,45,NA,1,0,NA,0,nurses1,0.890062367,0.261896902,3.398521933,0.00082219,1,0,pos,0.666804513240916,118810.628730266,0,0,1,2,0,2,1
306,1452,243.13594-618.3,4353,243.13594,618.3,99.16666667,100,100,-0.833333333,4266.409119,3610.051322,84.61568549,3320.812656,NA,2330.194419,2956.953563,126.8972897,1435.012867,1296.153538,1010.667015,578.5298592,57.24238061,1134.618572,811.7076334,0.666804513,2,515.9235669,Multiple,243.1339569,8.16,Triphenylborane,C18H15B,242.12668,M+H,3298.301769,30.64204203,DTXSID6027345,DTXSID6027345,Triphenylborane,2,c1ccc(B(c2ccccc2)c2ccccc2)cc1,triphenylborane,C18H15B,242.1266809,,242.12668,"ERactive, exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.156375666,NA,,NA,1,0.101,NA,NA,NA,NA,NA,1,-0.6809284,10.09019,3,NA,NA,0,NA,0,nurses1,0.890062367,0.261896902,3.398521933,0.00082219,1,0,pos,0.666804513240916,118810.628730266,0,0,1,1,0,1,1
307,1453,243.13608-621.4,4353,243.13608,621.4,95.83333333,93.75,100,2.083333333,3685.668663,3309.590634,89.79620623,2851.267954,NA,1911.788274,2889.8187,151.1578839,853.4424096,NA,771.7745172,513.4495397,66.52843911,776.9701662,578.00944,0.594055724,2,515.9235669,Multiple,243.1339569,8.73,Triphenylborane,C18H15B,242.12668,M+H,2798.728469,27.57589833,DTXSID6027345,DTXSID6027345,Triphenylborane,2,c1ccc(B(c2ccccc2)c2ccccc2)cc1,triphenylborane,C18H15B,242.1266809,,242.12668,"ERactive, exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.156375666,NA,,NA,1,0.101,NA,NA,NA,NA,NA,1,-0.6809284,10.09019,3,NA,NA,0,NA,0,nurses1,1.403144365,0.411514243,3.409710327,0.000791033,1,0,pos,0.594055724472867,118810.628730266,0,0,1,1,0,1,1
308,1454,243.13608-621.4,2820,243.13608,621.4,95.83333333,93.75,100,2.083333333,3685.668663,3309.590634,89.79620623,2851.267954,NA,1911.788274,2889.8187,151.1578839,853.4424096,NA,771.7745172,513.4495397,66.52843911,776.9701662,578.00944,0.594055724,2,515.9235669,Multiple,243.1379558,7.71,BisphenolB,C16H18O2,242.13068,M+H,2798.728469,27.57589833,DTXSID4022442,DTXSID4022442,"Bisphenol,B",1,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,4-[2-(4-hydroxyphenyl)butan-2-yl]phenol,C16H18O2,242.1306798,,242.1306798,"ERactive, VBtoxcast, pellizzari",,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,0.491,NA,NA,NA,NA,NA,1,-4.2663,9.375373,45,NA,1,0,NA,0,nurses1,1.403144365,0.411514243,3.409710327,0.000791033,1,0,pos,0.594055724472867,118810.628730266,0,0,1,2,0,2,1
310,1456,244.09483-317.9,2131,244.09483,317.9,77.5,60,41.66666667,17.5,579.1100989,685.1750131,118.3151553,272.8909382,NA,462.7169138,742.6026164,160.4874588,115.5602453,NA,96.4521948,143.278121,148.5483262,0,NA,0.737223682,1,9,Multiple,244.0927965,8.33,Cytarabine,C9H13N3O5,243.08552,M+H,520.9135064,18.5159712,DTXSID3022877,DTXSID3022877,Cytarabine,1,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",C9H13N3O5,243.0855205,,243.0855205,"VBtoxcast, Drug",1,NA,0,0,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.905647426,4.479904214,23,NA,NA,0,NA,1,nurses1,1.68660572,0.525368124,3.210331277,0.001551813,1,0,pos,0.73722368205384,118810.628730266,0,1,NA,1,0,1,1
314,1471,247.01667-60.6,3725,247.01667,60.6,100,100,100,0,16065.87605,10713.71497,66.68615477,15204.95375,13787.04885,13560.14998,6863.919215,50.61831338,10589.99072,11801.38365,4105.198596,5862.522876,142.8072903,988.7246071,1658.572011,1.317431386,1,9,Multiple,247.0163801,1.17,2-VINYLPERFLUOROBUTANE,C6H3F9,246.0091,M+H,14813.01302,27.71346107,DTXSID50379359,DTXSID50379359,2-VINYLPERFLUOROBUTANE,1,C=CC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,"3,4,4,5,5,5-hexafluoro-3-(trifluoromethyl)pent-1-ene",C6H3F9,246.0091041,,246.0091036,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.209112077,0.085462865,2.446818006,0.015302885,1,0,pos,1.31743138633198,118810.628730266,0,0,NA,1,0,1,1
315,1472,247.01667-60.6,4672,247.01667,60.6,100,100,100,0,16065.87605,10713.71497,66.68615477,15204.95375,13787.04885,13560.14998,6863.919215,50.61831338,10589.99072,11801.38365,4105.198596,5862.522876,142.8072903,988.7246071,1658.572011,1.317431386,1,9,Multiple,247.0163801,1.17,1H1H2H-PERFLUORO-1-HEXENE,C6H3F9,246.0091,M+H,14813.01302,27.71346107,DTXSID6047575,DTXSID6047575,"1H,1H,2H-PERFLUORO-1-HEXENE",1,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene",C6H3F9,246.0091041,,246.0091036,PFAS,0,NA,0,0,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,nurses1,0.209112077,0.085462865,2.446818006,0.015302885,1,0,pos,1.31743138633198,118810.628730266,0,0,NA,1,0,1,1
317,1493,249.11046-356.2,6967,249.11046,356.2,100,100,91.66666667,0,25406.4787,23362.74309,91.95584862,15689.23953,17997.6193,22210.8309,20209.99633,90.99162666,14078.71977,15522.73389,672.238429,819.8368465,121.95626,328.6093551,NA,1.010596821,3,892.5619835,Unique,249.112135,6.72,Monocyclohexylphthalate,C14H16O4,248.10486,M+H,23808.6548,2.823504455,DTXSID3052729,DTXSID3052729,"Monocyclohexyl,phthalate",1,O=C(O)c1ccccc1C(=O)OC1CCCCC1,2-cyclohexyloxycarbonylbenzoic acid,C14H16O4,248.104859,,NA,CDC_phthalate_metabolite,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,nurses1,0.27402427,0.082876351,3.306422959,0.001125842,1,0,pos,1.01059682077784,118810.628730266,0,0,NA,1,0,1,1
318,1494,249.1105-358.3,6967,249.1105,358.3,100,100,100,0,32018.19997,29533.09024,92.23844648,20589.40189,22695.834,27304.95946,23586.06034,86.38013315,17269.63217,19718.28601,1019.786406,1047.000942,102.6686505,594.8230035,624.7659442,1.067820147,3,892.5619835,Unique,249.112135,6.56,Monocyclohexylphthalate,C14H16O4,248.10486,M+H,29661.57971,3.438071795,DTXSID3052729,DTXSID3052729,"Monocyclohexyl,phthalate",1,O=C(O)c1ccccc1C(=O)OC1CCCCC1,2-cyclohexyloxycarbonylbenzoic acid,C14H16O4,248.104859,,NA,CDC_phthalate_metabolite,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,nurses1,0.256958949,0.078653974,3.266954436,0.001285577,1,0,pos,1.06782014702185,118810.628730266,0,0,NA,1,0,1,1
323,1510,251.12553-506.3,1710,251.12553,506.3,100,96.25,50,3.75,116001.9765,561065.1651,483.6686253,7907.058147,11874.96272,405438.5218,1435687.756,354.1073871,6345.080066,NA,549.7677195,1184.950637,215.5365976,51.44552828,NA,1.365881207,2,10,Multiple,251.1277851,8.98,Diisopropylphthalate,C14H18O4,250.12051,M+H,260720.2491,0.210864987,DTXSID2040731,DTXSID2040731,"Diisopropyl,phthalate",1,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,"dipropan-2-yl benzene-1,2-dicarboxylate",C14H18O4,250.1205091,,250.1205091,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.395215817,5.413254791,2,NA,NA,1,NA,0,nurses1,0.847918949,0.399534743,2.122265868,0.03508394,1,0,pos,1.36588120700067,118810.628730266,1,0,NA,1,0,1,1
324,1511,251.12553-506.3,3675,251.12553,506.3,100,96.25,50,3.75,116001.9765,561065.1651,483.6686253,7907.058147,11874.96272,405438.5218,1435687.756,354.1073871,6345.080066,NA,549.7677195,1184.950637,215.5365976,51.44552828,NA,1.365881207,2,10,Multiple,251.1277851,8.98,Dipropylphthalate,C14H18O4,250.12051,M+H,260720.2491,0.210864987,DTXSID5031133,DTXSID5031133,"Dipropyl,phthalate",1,CCCOC(=O)c1ccccc1C(=O)OCCC,"dipropyl benzene-1,2-dicarboxylate",C14H18O4,250.1205091,,250.1205091,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.143559991,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.945457237,4.528005202,8,NA,NA,1,NA,0,nurses1,0.847918949,0.399534743,2.122265868,0.03508394,1,0,pos,1.36588120700067,118810.628730266,1,0,NA,1,1,2,1
325,1514,251.12641-414.3,3675,251.12641,414.3,100,100,66.66666667,0,18543.66978,10185.75039,54.92845002,15938.57754,16418.45672,15699.20066,8363.073692,53.27069751,15243.80186,13635.38059,529.6291185,719.7209054,135.8914909,226.5264131,NA,1.031119407,2,10,Multiple,251.1277851,5.48,Dipropylphthalate,C14H18O4,250.12051,M+H,17121.43522,3.093368702,DTXSID5031133,DTXSID5031133,"Dipropyl,phthalate",1,CCCOC(=O)c1ccccc1C(=O)OCCC,"dipropyl benzene-1,2-dicarboxylate",C14H18O4,250.1205091,,250.1205091,"exposurepred, VBtoxcast",,NA,NA,NA,NA,NA,1,0.143559991,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.945457237,4.528005202,8,NA,NA,1,NA,0,nurses1,0.286784642,0.071739173,3.997601743,9.09E-05,1,0,pos,1.03111940686883,118810.628730266,0,0,NA,1,0,1,1
326,1515,251.12641-414.3,1710,251.12641,414.3,100,100,66.66666667,0,18543.66978,10185.75039,54.92845002,15938.57754,16418.45672,15699.20066,8363.073692,53.27069751,15243.80186,13635.38059,529.6291185,719.7209054,135.8914909,226.5264131,NA,1.031119407,2,10,Multiple,251.1277851,5.48,Diisopropylphthalate,C14H18O4,250.12051,M+H,17121.43522,3.093368702,DTXSID2040731,DTXSID2040731,"Diisopropyl,phthalate",1,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,"dipropan-2-yl benzene-1,2-dicarboxylate",C14H18O4,250.1205091,,250.1205091,VBtoxcast,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.395215817,5.413254791,2,NA,NA,1,NA,0,nurses1,0.286784642,0.071739173,3.997601743,9.09E-05,1,0,pos,1.03111940686883,118810.628730266,0,0,NA,1,0,1,1
328,1521,251.20095-944.6,1300,251.20095,944.6,76.66666667,71.25,25,5.416666667,12175.95367,18847.39265,154.7919215,1147.047798,NA,6312.889638,8900.4864,140.9891018,1290.957546,NA,113.3425009,236.7137672,208.8481948,0,NA,1.097899905,3,36486.48649,Multiple,251.2005561,1.57,2-4-(244-Trimethyl-2-pentanyl)phenoxyethanol,C16H26O2,250.19328,M+H,9244.421656,1.22606373,DTXSID1058680,DTXSID1058680,"2-[4-(2,4,4-Trimethyl-2-pentanyl)phenoxy]ethanol",2,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,"2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethanol",C16H26O2,250.1932801,,250.1932801,pellizzari,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,nurses1,0.816599711,0.485629509,1.681528192,0.094269438,1,0,pos,1.09789990519679,118810.628730266,0,0,NA,1,0,1,1
