"","X","featureid","ID","mz","time","DF_n","DF_ow","DF_blank","DF_diff","mean_N","sd_N","cv_N","median_N","gMean_N","mean_OW","sd_OW","cv_OW","median_OW","gMean_OW","mean_FB","sd_FB","cv_FB","median_FB","gMean_FB","Confidence","score","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_N_OW","percent_FB","DB_name","DTXSID","CASRN","name_original","formula_original","SMILES_original","SMILES_cleaned","name_cleaned","formula_cleaned","Molweight_cleaned","parent_id","MONOISOTOPIC_MASS","source","Drug_UCSF_PXYS","Drug_most.comon.and.haz","Disinfectant","Sesquiterpenoids","FRs","PFAS","exposurepred_bin","exposurepred_u95","MC","MC_list_cat","MGDev","ERactive_bin","ERactive_ER_AUC","E2Up_bin","E2UP_priority_level","P4Up_bin","P4Up_priority_level","pesticidemammarytumors_bin","VBtoxcast_bin","vbtoxcast_min_ac10","vbtoxcast_max_scaled_top","vbtoxcast_assay_sum","nitroPAH_bin","pellizzari_bin","phthalate","DF_high_N","term","estimate","std.error","statistic","p.value","higher_intensity_N","metabolite","ESI","cvNvOW","sd_avg_N","sdN_GE_sdavg","Drug_UCSF_cond","ERactive_AUC_cond","of_interest_all","of_int_sd","of_interest_sum","of_interest_cat"
"26",742,"171.13901-571.2",1060,171.13901,571.2,100,100,100,0,2628197.87198669,5831547.99644467,221.88390222067,1063856.37338522,1279238.21201121,4770777.81402489,13768376.3572981,288.598146759686,1698292.96838618,1787095.79650875,60224.189851157,18731.3239019173,31.1026581647863,54824.2619001533,57631.1686418655,3,25714.2857142857,"Multiple",171.1390539,0.26,"Potassiumdecanoate","C10H20O2",172.14633,"M-H",3699487.84300579,1.6279061428737,"DTXSID1042314","DTXSID1042314","'13040-18-1","Potassium,decanoate","C10H20O2","[K+].CCCCCCCCCC([O-])=O","CCCCCCCCCC(=O)O","decanoic acid","C10H20O2",172.1463299,"",172.1463299,"exposurepred","",NA,NA,NA,NA,NA,1,9.029724173,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",-0.450693911771861,0.209010936747421,-2.15631736207422,0.0322896085273855,0,0,"neg",0.768833427074746,643115.401519168,1,0,NA,0,1,1,1
"27",743,"171.13901-571.2",4513,171.13901,571.2,100,100,100,0,2628197.87198669,5831547.99644467,221.88390222067,1063856.37338522,1279238.21201121,4770777.81402489,13768376.3572981,288.598146759686,1698292.96838618,1787095.79650875,60224.189851157,18731.3239019173,31.1026581647863,54824.2619001533,57631.1686418655,3,25714.2857142857,"Multiple",171.1390539,0.26,"Hydroxycitronellal","C10H20O2",172.14633,"M-H",3699487.84300579,1.6279061428737,"DTXSID6042232","DTXSID6042232","'107-75-5","Hydroxycitronellal","C10H20O2","CC(CCCC(C)(C)O)CC=O","CC(CC=O)CCCC(C)(C)O","7-hydroxy-3,7-dimethyloctanal","C10H20O2",172.1463299,"",172.1463299,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,2.45039668,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.197448855,5.773498239,2,NA,NA,0,0,"nurses1",-0.450693911771861,0.209010936747421,-2.15631736207422,0.0322896085273855,0,0,"neg",0.768833427074746,643115.401519168,1,0,NA,0,1,1,1
"28",745,"171.13901-571.2",5756,171.13901,571.2,100,100,100,0,2628197.87198669,5831547.99644467,221.88390222067,1063856.37338522,1279238.21201121,4770777.81402489,13768376.3572981,288.598146759686,1698292.96838618,1787095.79650875,60224.189851157,18731.3239019173,31.1026581647863,54824.2619001533,57631.1686418655,3,25714.2857142857,"Multiple",171.1390539,0.26,"2-Ethylhexylacetate","C10H20O2",172.14633,"M-H",3699487.84300579,1.6279061428737,"DTXSID8026694","DTXSID8026694","'103-09-3","2-Ethylhexyl,acetate","C10H20O2","CCCCC(CC)COC(C)=O","CCCCC(CC)COC(C)=O","2-ethylhexyl acetate","C10H20O2",172.1463299,"",172.1463299,"exposurepred","",NA,NA,NA,NA,NA,1,2.884449867,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",-0.450693911771861,0.209010936747421,-2.15631736207422,0.0322896085273855,0,0,"neg",0.768833427074746,643115.401519168,1,0,NA,0,1,1,1
"29",791,"177.09177-353.3",1883,177.09177,353.3,100,100,100,0,13885.5562942862,5961.84024772899,42.9355520324544,12530.2010357848,12745.1137024366,10638.2630977594,5748.50299975887,54.0361048315262,9619.63120506597,9041.71166246674,2704.80457944415,3820.19877459057,141.237515036138,910.936419847655,964.357439265665,2,10,"Multiple",177.0921037,1.88,"2-Ethoxy-5-(1-propenyl)phenol","C11H14O2",178.09938,"M-H",12261.9096960228,22.0585915774723,"DTXSID2047727","DTXSID2047727","'94-86-0","2-Ethoxy-5-(1-propenyl)phenol","C11H14O2","CCOC1=C(O)C=C(C=CC)C=C1","CC=Cc1ccc(OCC)c(O)c1","2-ethoxy-5-prop-1-enylphenol","C11H14O2",178.0993797,"",178.0993797,"E2Up, P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,2,1,3,NA,1,-2.900578,4.086337,6,NA,NA,0,0,"nurses1",0.519583546917916,0.0965621715991675,5.38081878558742,2.12330245655804e-07,1,0,"neg",0.794571558522194,643115.401519168,0,0,NA,1,0,1,1
"30",793,"177.09177-353.3",623,177.09177,353.3,100,100,100,0,13885.5562942862,5961.84024772899,42.9355520324544,12530.2010357848,12745.1137024366,10638.2630977594,5748.50299975887,54.0361048315262,9619.63120506597,9041.71166246674,2704.80457944415,3820.19877459057,141.237515036138,910.936419847655,964.357439265665,2,10,"Multiple",177.0921037,1.88,"4-Prop-1-enylveratrole","C11H14O2",178.09938,"M-H",12261.9096960228,22.0585915774723,"DTXSID0052621","DTXSID0052621","'93-16-3","4-Prop-1-enylveratrole","C11H14O2","COC1=C(OC)C=C(C=CC)C=C1","CC=Cc1ccc(OC)c(OC)c1","1,2-dimethoxy-4-prop-1-enylbenzene","C11H14O2",178.0993797,"",178.0993797,"E2Up","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",0.519583546917916,0.0965621715991675,5.38081878558742,2.12330245655804e-07,1,0,"neg",0.794571558522194,643115.401519168,0,0,NA,1,0,1,1
"31",801,"177.09177-353.3",3591,177.09177,353.3,100,100,100,0,13885.5562942862,5961.84024772899,42.9355520324544,12530.2010357848,12745.1137024366,10638.2630977594,5748.50299975887,54.0361048315262,9619.63120506597,9041.71166246674,2704.80457944415,3820.19877459057,141.237515036138,910.936419847655,964.357439265665,2,10,"Multiple",177.0921037,1.88,"Methyleugenol","C11H14O2",178.09938,"M-H",12261.9096960228,22.0585915774723,"DTXSID5025607","DTXSID5025607","'93-15-2","Methyleugenol","C11H14O2","COC1=CC=C(CC=C)C=C1OC","C=CCc1ccc(OC)c(OC)c1","1,2-dimethoxy-4-prop-2-enylbenzene","C11H14O2",178.0993797,"",178.0993797,"E2Up, exposurepred, VBtoxcast, MC","",NA,NA,NA,NA,NA,1,0.394754885,1,"Miscellaneous",NA,NA,NA,1,2,NA,NA,NA,1,-2.642954,2.518702,12,NA,NA,0,0,"nurses1",0.519583546917916,0.0965621715991675,5.38081878558742,2.12330245655804e-07,1,0,"neg",0.794571558522194,643115.401519168,0,0,NA,1,0,1,1
"32",811,"177.12807-442.9",4237,177.12807,442.9,96.6666666666667,92.5,8.33333333333333,4.16666666666667,3999.21350595443,6089.89386135999,152.277287829038,3249.39724868245,NA,2310.95806897605,1749.71731698981,75.7139361583089,2061.13469588879,NA,9.31996737499692,32.285314036758,346.410161513776,0,NA,2,10,"Multiple",177.1284892,2.37,"Propofol","C12H18O",178.13577,"M-H",3155.08578746524,0.295395054296906,"DTXSID6023523","DTXSID6023523","'2078-54-8","Propofol","C12H18O","CC(C)C1=CC=CC(C(C)C)=C1O","CC(C)c1cccc(C(C)C)c1O","2,6-di(propan-2-yl)phenol","C12H18O",178.1357652,"",178.1357652,"exposurepred, VBtoxcast, Drug","1",NA,0,0,NA,0,1,2.128963833,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.942745352,11.24862548,6,NA,NA,0,0,"nurses1",1.12018821226423,0.379638348754376,2.95067191167504,0.00356141208718767,1,0,"neg",2.01121874724151,643115.401519168,0,1,NA,1,0,1,1
"33",814,"177.12809-352.3",4237,177.12809,352.3,100,100,91.6666666666667,0,13026.3368894594,20702.8642620781,158.93082174798,7245.39233233084,8236.94147200156,18425.8248895052,48344.819146521,262.375331560091,5040.08173981446,5645.36813752965,1269.87263889332,1426.33788336938,112.321333627002,601.370443751763,NA,2,10,"Multiple",177.1284892,2.25,"Propofol","C12H18O",178.13577,"M-H",15726.0808894823,8.07494663048961,"DTXSID6023523","DTXSID6023523","'2078-54-8","Propofol","C12H18O","CC(C)C1=CC=CC(C(C)C)=C1O","CC(C)c1cccc(C(C)C)c1O","2,6-di(propan-2-yl)phenol","C12H18O",178.1357652,"",178.1357652,"exposurepred, VBtoxcast, Drug","1",NA,0,0,NA,0,1,2.128963833,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.942745352,11.24862548,6,NA,NA,0,0,"nurses1",0.572252966094608,0.200350815589804,2.85625473702205,0.00475374458067648,1,0,"neg",0.605738431288387,643115.401519168,0,1,NA,1,0,1,1
"34",821,"177.12822-625.4",4237,177.12822,625.4,86.6666666666667,77.5,0,9.16666666666667,11373.5932496433,10861.5720444545,95.4981579352252,11487.6939088895,NA,10799.0954723645,11851.8528060639,109.748569557455,9127.24411551701,NA,0,0,NA,0,NA,2,10,"Multiple",177.1284892,1.52,"Propofol","C12H18O",178.13577,"M-H",11086.3443610039,0,"DTXSID6023523","DTXSID6023523","'2078-54-8","Propofol","C12H18O","CC(C)C1=CC=CC(C(C)C)=C1O","CC(C)c1cccc(C(C)C)c1O","2,6-di(propan-2-yl)phenol","C12H18O",178.1357652,"",178.1357652,"exposurepred, VBtoxcast, Drug","1",NA,0,0,NA,0,1,2.128963833,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-2.942745352,11.24862548,6,NA,NA,0,0,"nurses1",1.13985324543201,0.379614828922943,3.00265732154364,0.00302865926463013,1,0,"neg",0.870154010392186,643115.401519168,0,1,NA,1,0,1,1
"35",831,"179.0574-199.8",3518,179.0574,199.8,100,100,100,0,2168947.28357363,1750463.57258297,80.7056762439538,1572220.50950007,1325505.96747182,1540097.15955526,1752165.95916067,113.769832525804,1034221.87098423,630205.033090482,4751.44455460999,2160.68283122775,45.4742301292645,4305.58979683551,4235.83062268193,3,22500,"Multiple",179.0561121,7.19,"D-Fructose","C6H12O6",180.06339,"M-H",1854522.22156444,0.256208553306077,"DTXSID5023081","DTXSID5023081","'57-48-7","D-Fructose","C6H12O6","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","(2R,3S,4S,5R)-2,5-bis(hydroxymethyl)oxolane-2,3,4-triol","C6H12O6",180.0633881,"",180.0633881,"exposurepred","",NA,NA,NA,NA,NA,1,0.746662735,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",1.13074285879103,0.26567165306188,4.25616675982986,3.23554415435861e-05,1,0,"neg",0.709376769326342,643115.401519168,1,0,NA,0,1,1,1
"36",832,"179.0574-199.8",4940,179.0574,199.8,100,100,100,0,2168947.28357363,1750463.57258297,80.7056762439538,1572220.50950007,1325505.96747182,1540097.15955526,1752165.95916067,113.769832525804,1034221.87098423,630205.033090482,4751.44455460999,2160.68283122775,45.4742301292645,4305.58979683551,4235.83062268193,3,22500,"Multiple",179.0561121,7.19,"D-GLUCOSE","C6H12O6",180.06339,"M-H",1854522.22156444,0.256208553306077,"DTXSID7022910","DTXSID7022910","'50-99-7","D-GLUCOSE","C6H12O6","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O","O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal","C6H12O6",180.0633881,"",180.0633881,"Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",1.13074285879103,0.26567165306188,4.25616675982986,3.23554415435861e-05,1,0,"neg",0.709376769326342,643115.401519168,1,1,NA,1,0,1,1
"37",834,"179.0574-199.8",3272,179.0574,199.8,100,100,100,0,2168947.28357363,1750463.57258297,80.7056762439538,1572220.50950007,1325505.96747182,1540097.15955526,1752165.95916067,113.769832525804,1034221.87098423,630205.033090482,4751.44455460999,2160.68283122775,45.4742301292645,4305.58979683551,4235.83062268193,3,22500,"Multiple",179.0561121,7.19,"DL-GLUCOSE","C6H12O6",180.06339,"M-H",1854522.22156444,0.256208553306077,"DTXSID4048729","DTXSID4048729","'58367-01-4","DL-GLUCOSE","C6H12O6","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O","O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal","C6H12O6",180.0633881,"",180.0633881,"Drug","1",NA,0,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"nurses1",1.13074285879103,0.26567165306188,4.25616675982986,3.23554415435861e-05,1,0,"neg",0.709376769326342,643115.401519168,1,1,NA,1,0,1,1
"38",878,"183.13891-566.7",5870,183.13891,566.7,100,100,100,0,562444.526925076,334375.891950936,59.4504659471029,482777.216456683,464778.617688348,511136.924564785,337160.154782424,65.96278581703,418369.573990343,416129.065200617,3612.96718160533,2323.26723538477,64.3035798169771,3178.76030348064,2855.30362997339,3,25714.2857142857,"Multiple",183.1390539,0.79,"10-Undecenoicacid","C11H20O2",184.14633,"M-H",536790.725744931,0.673068107984064,"DTXSID8035001","DTXSID8035001","'112-38-9","10-Undecenoic,acid","C11H20O2","OC(=O)CCCCCCCCC=C","C=CCCCCCCCCC(=O)O","undec-10-enoic acid","C11H20O2",184.1463299,"",184.1463299,"E2Up, exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,2.138314309,NA,"",NA,NA,NA,1,3,NA,NA,NA,1,-5.328260551,5.981429083,4,NA,NA,0,0,"nurses1",0.195800924867479,0.115717102285835,1.69206557198284,0.0922389677776849,1,0,"neg",0.901272819374379,643115.401519168,0,0,NA,1,0,1,1
"39",882,"183.13891-566.7",3026,183.13891,566.7,100,100,100,0,562444.526925076,334375.891950936,59.4504659471029,482777.216456683,464778.617688348,511136.924564785,337160.154782424,65.96278581703,418369.573990343,416129.065200617,3612.96718160533,2323.26723538477,64.3035798169771,3178.76030348064,2855.30362997339,3,25714.2857142857,"Multiple",183.1390539,0.79,"5-Heptyldihydro-2(3H)-furanone","C11H20O2",184.14633,"M-H",536790.725744931,0.673068107984064,"DTXSID4034287","DTXSID4034287","'104-67-6","5-Heptyldihydro-2(3H)-furanone","C11H20O2","CCCCCCCC1CCC(=O)O1","CCCCCCCC1CCC(=O)O1","5-heptyloxolan-2-one","C11H20O2",184.1463299,"",184.1463299,"P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,2,NA,1,-0.644846421,5.72569221,1,NA,NA,0,0,"nurses1",0.195800924867479,0.115717102285835,1.69206557198284,0.0922389677776849,1,0,"neg",0.901272819374379,643115.401519168,0,0,NA,1,0,1,1
"40",946,"189.16448-565.7",5445,189.16448,565.7,41.6666666666667,26.25,0,15.4166666666667,3005.62591261803,5849.73991254208,194.626346811294,0,NA,856.553248518362,2551.91713615075,297.928604037749,0,NA,0,0,NA,0,NA,2,10,"Unique",189.1648747,2.09,"(E)-beta-Damascone","C14H22",190.17215,"M-H",1931.0895805682,0,"DTXSID7051890","DTXSID7051890","'23726-91-2","(E)-beta-Damascone","C14H22","C\\C=C\\C(=C)C1=C(C)CCCC1(C)C","C=C(/C=C/C)C1=C(C)CCCC1(C)C","1,3,3-trimethyl-2-[(3E)-penta-1,3-dien-2-yl]cyclohexene","C14H22",190.1721507,"",190.1721507,"P4Up, VBtoxcast","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,2,NA,1,-2.782935205,11.15019408,6,NA,NA,0,1,"nurses1",2.45814737132689,0.492661179302721,4.9895292639172,1.34128986621844e-06,1,0,"neg",0.653265058049391,643115.401519168,0,0,NA,1,0,1,1
"41",948,"191.02001-48.6",1268,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"Trisodiumcitratedihydrate","C6H8O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID1049437","DTXSID1049437","'6132-04-3","Trisodium,citrate,dihydrate","C6H8O7","O.O.[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.0270026,"",192.0270026,"exposurepred","",NA,NA,NA,NA,NA,1,5.134096729,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,0,NA,0,1,1,1
"42",949,"191.02001-48.6",1557,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"Trisodiumcitrate","C6H8O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID2026363","DTXSID2026363","'68-04-2","Trisodium,citrate","C6H8O7","[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.0270026,"",192.0270026,"exposurepred","",NA,NA,NA,NA,NA,1,1.429746316,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,0,NA,0,1,1,1
"43",950,"191.02001-48.6",2030,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"Citricacid","C6H8O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID3020332","DTXSID3020332","'77-92-9","Citric,acid","C6H8O7","OC(=O)CC(O)(CC(O)=O)C(O)=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.0270026,"",192.0270026,"exposurepred, VBtoxcast, Drug, Disinfect ingredient list","1",NA,1,0,NA,0,1,0.190581568,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-0.9287106,4.364284,2,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,1,NA,1,1,2,1
"44",951,"191.02001-48.6",2703,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"DISODIUMCUPRICCITRATE","C6H4CuNa2O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID30983958","DTXSID30983958","'65330-59-8","DISODIUM,CUPRIC,CITRATE","C6H4CuNa2O7","[Na+].[Na+].[Cu++].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H4CuNa2O7",192.0270026,"",296.904839,"Drug","1",NA,1,0,NA,0,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,1,NA,1,0,1,1
"45",952,"191.02001-48.6",3388,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"Diammoniumcitrate","C6H8O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID5020079","DTXSID5020079","'3012-65-5","Diammonium,citrate","C6H8O7","[NH4+].[NH4+].OC(=O)CC(O)(CC([O-])=O)C([O-])=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.0270026,"",192.0270026,"exposurepred","",NA,NA,NA,NA,NA,1,11.45429908,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,0,NA,0,1,1,1
"46",953,"191.02001-48.6",5498,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"123-Propanetricarboxylicacid2-hydroxy-ammoniumzincsalt","C6H8O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID7071151","DTXSID7071151","'68134-01-0","1,2,3-Propanetricarboxylic,acid,,2-hydroxy,-,ammonium,zinc,salt","C6H8O7","N.[Zn++].OC(=O)C[C@](O)(CC([O-])=O)C([O-])=O","O=C(O)C[C@@](O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.0270026,"",192.0270026,"exposurepred","",NA,NA,NA,NA,NA,1,4.556028765,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,0,NA,0,1,1,1
"47",954,"191.02001-48.6",5776,191.02001,48.6,100,100,100,0,3703010.51601911,2290326.8091514,61.8503998096554,3819587.14028721,2309823.86010376,4146245.08731723,2539225.91527636,61.2415779048732,4015964.10145554,2220709.79254077,5367.9457744229,4712.59410835858,87.7913881100116,4416.23090965469,3886.64656320131,3,53465.3465346535,"Multiple",191.0197266,1.48,"123-Propanetricarboxylicacid2-hydroxy-potassiumsalt(1:1)","C6H8O7",192.027,"M-H",3924627.80166817,0.136775919799102,"DTXSID80273977","DTXSID80273977","'866-83-1","1,2,3-Propanetricarboxylic,acid,,2-hydroxy,-,potassium,salt,(1:1)","C6H8O7","[K+].OC(=O)CC(O)(CC([O-])=O)C(O)=O","O=C(O)CC(O)(CC(=O)O)C(=O)O","2-hydroxypropane-1,2,3-tricarboxylic acid","C6H8O7",192.0270026,"",192.0270026,"exposurepred","",NA,NA,NA,NA,NA,1,0.528452739,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,"neg",1.00994131643257,643115.401519168,1,0,NA,0,1,1,1
"48",1038,"195.06606-342.4",6613,195.0661,342.4,100,100,100,0,19352.12,12006.59,62.04275,15891.08,16519.96,12646.04,9636.937,76.20518,9628.037,10232.52,2880.484,676.5788,23.48837,2808.104,2813.041,2,10,"Multiple",195.0663,1.14,"Methyl24-dihydroxy-36-dimethylbenzoate","C10H12O4",196.07356,"M-H",15999.08,18.00406,"DTXSID9041653","DTXSID9041653","'4707-47-5","Methyl,2,4-dihydroxy-3,6-dimethylbenzoate","C10H12O4","COC(=O)C1=C(O)C(C)=C(O)C=C1C","COC(=O)c1c(C)cc(O)c(C)c1O","methyl 2,4-dihydroxy-3,6-dimethylbenzoate","C10H12O4",196.0736,"",196.0735589,"E2Up, exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,6.322791,NA,"",NA,NA,NA,1,3,NA,NA,NA,1,-0.8124451,6.258844,4,NA,NA,0,0,"nurses1",0.6961854,0.1228472,5.667086,5.1934e-08,1,0,"neg",0.814153972210288,643115.401519168,0,0,NA,1,0,1,1
"49",1087,"199.09722-132.9",2225,199.0972,132.9,100,100,91.66667,0,19774.33,28918.92,146.2447,11807.94,13125.59,20896.55,15949.95,76.32816,15320.76,16054.01,2861.794,3256.154,113.7802,1218.833,NA,2,10,"Multiple",199.0976,1.82,"Dimethylhexahydroterephthalate","C10H16O4",200.10486,"M-H",20335.44,14.07294,"DTXSID3026566","DTXSID3026566","'94-60-0","Dimethyl,hexahydroterephthalate","C10H16O4","COC(=O)C1CCC(CC1)C(=O)OC","COC(=O)C1CCC(C(=O)OC)CC1","dimethyl cyclohexane-1,4-dicarboxylate","C10H16O4",200.1049,"",200.104859,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.3185882,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-3.577894,6.647711,1,NA,NA,1,0,"nurses1",-0.277121,0.1180301,-2.347884,0.01988761,0,0,"neg",1.91599928519173,643115.401519168,0,0,NA,1,0,1,1
"50",1093,"199.17043-727.4",2571,199.1704,727.4,100,100,100,0,8383807,12136183,144.7574,4642926,5374868,13123622,19517722,148.7221,7606887,8384165,1177145,1941690,164.9491,323927.4,490049.1,3,49541.28,"Multiple",199.1704,0.38,"Hexylhexanoate","C12H24O2",200.17763,"M-H",10753714,10.9464,"DTXSID3047552","DTXSID3047552","'6378-65-0","Hexyl,hexanoate","C12H24O2","CCCCCCOC(=O)CCCCC","CCCCCCOC(=O)CCCCC","hexyl hexanoate","C12H24O2",200.1776,"",200.17763,"exposurepred, VBtoxcast","",NA,NA,NA,NA,NA,1,0.1415514,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,-1.858322,2.233057,1,NA,NA,0,0,"nurses1",-0.6244554,0.162845,-3.834662,0.0001699006,0,0,"neg",0.97334155448316,643115.401519168,1,0,NA,0,1,1,1
