,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,SD_N/SD_OW,cv_N/cv_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,fragment?,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2XFB, higher N_Int, higher N df"
591,151.07615-476.4,3855,151.07615,476.4,100,100,100,0,11367.16373,6242.774861,54.91937134,8817.744544,9822.935195,17318.20315,37456.30785,216.2828761,8431.437527,10110.53308,0.166668185,0.253923807,6761.02395,2161.01177,31.96278827,6402.606656,6409.748804,2,10,Multiple,151.076454,2.01,C9H12O2,152.08373,M-H,14342.68344,47.13918409,0,DTXSID5041431,DTXSID5041431,2-Isopropoxyphenol,,CC(C)Oc1ccccc1O,2-propan-2-yloxyphenol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.935140818,4.239901887,4,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
592,151.07615-476.4,3861,151.07615,476.4,100,100,100,0,11367.16373,6242.774861,54.91937134,8817.744544,9822.935195,17318.20315,37456.30785,216.2828761,8431.437527,10110.53308,0.166668185,0.253923807,6761.02395,2161.01177,31.96278827,6402.606656,6409.748804,2,10,Multiple,151.076454,2.01,C9H12O2,152.08373,M-H,14342.68344,47.13918409,0,DTXSID5041518,DTXSID5041518,4-Methoxybenzeneethanol,,COc1ccc(CCO)cc1,2-(4-methoxyphenyl)ethanol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.4737877,2.439646,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
593,151.07615-476.4,5607,151.07615,476.4,100,100,100,0,11367.16373,6242.774861,54.91937134,8817.744544,9822.935195,17318.20315,37456.30785,216.2828761,8431.437527,10110.53308,0.166668185,0.253923807,6761.02395,2161.01177,31.96278827,6402.606656,6409.748804,2,10,Multiple,151.076454,2.01,C9H12O2,152.08373,M-H,14342.68344,47.13918409,0,DTXSID7052446,DTXSID7052446,"2,3,5-Trimethylhydroquinone",,Cc1cc(O)c(C)c(C)c1O,"2,3,5-trimethylbenzene-1,4-diol",C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.261542,6.734122,6,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
594,151.07615-476.4,6659,151.07615,476.4,100,100,100,0,11367.16373,6242.774861,54.91937134,8817.744544,9822.935195,17318.20315,37456.30785,216.2828761,8431.437527,10110.53308,0.166668185,0.253923807,6761.02395,2161.01177,31.96278827,6402.606656,6409.748804,2,10,Multiple,151.076454,2.01,C9H12O2,152.08373,M-H,14342.68344,47.13918409,0,DTXSID9027312,DTXSID9027312,1-Phenoxy-2-propanol,,CC(O)COc1ccccc1,1-phenoxypropan-2-ol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.369736,7.236404,3,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
595,151.07618-1094.6,2236,151.07618,1094.6,96.66666667,86.25,66.66666667,10.41666667,4059.159644,2739.976564,67.50107914,4317.383191,NA,2059.215962,2670.982857,129.7087292,768.8561919,NA,1.025830831,0.520405061,783.2350502,1323.942632,169.0351615,482.2594785,NA,2,10,Multiple,151.076454,1.81,C9H12O2,152.08373,M-H,3059.187803,25.60271224,1,DTXSID3024869,DTXSID3024869,"Cumene,hydroperoxide",,CC(C)(OO)c1ccccc1,2-hydroperoxypropan-2-ylbenzene,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.724002,21.82146,3,,,0,0,nurses1,2.308702509,0.436928691,5.283934327,3.38E-07,1,0,neg,0,1
596,151.07618-1094.6,6659,151.07618,1094.6,96.66666667,86.25,66.66666667,10.41666667,4059.159644,2739.976564,67.50107914,4317.383191,NA,2059.215962,2670.982857,129.7087292,768.8561919,NA,1.025830831,0.520405061,783.2350502,1323.942632,169.0351615,482.2594785,NA,2,10,Multiple,151.076454,1.81,C9H12O2,152.08373,M-H,3059.187803,25.60271224,1,DTXSID9027312,DTXSID9027312,1-Phenoxy-2-propanol,,CC(O)COc1ccccc1,1-phenoxypropan-2-ol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.369736,7.236404,3,,,0,0,nurses1,2.308702509,0.436928691,5.283934327,3.38E-07,1,0,neg,0,1
597,151.07618-1094.6,5607,151.07618,1094.6,96.66666667,86.25,66.66666667,10.41666667,4059.159644,2739.976564,67.50107914,4317.383191,NA,2059.215962,2670.982857,129.7087292,768.8561919,NA,1.025830831,0.520405061,783.2350502,1323.942632,169.0351615,482.2594785,NA,2,10,Multiple,151.076454,1.81,C9H12O2,152.08373,M-H,3059.187803,25.60271224,1,DTXSID7052446,DTXSID7052446,"2,3,5-Trimethylhydroquinone",,Cc1cc(O)c(C)c(C)c1O,"2,3,5-trimethylbenzene-1,4-diol",C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.261542,6.734122,6,,,0,0,nurses1,2.308702509,0.436928691,5.283934327,3.38E-07,1,0,neg,0,1
598,151.07618-1094.6,3855,151.07618,1094.6,96.66666667,86.25,66.66666667,10.41666667,4059.159644,2739.976564,67.50107914,4317.383191,NA,2059.215962,2670.982857,129.7087292,768.8561919,NA,1.025830831,0.520405061,783.2350502,1323.942632,169.0351615,482.2594785,NA,2,10,Multiple,151.076454,1.81,C9H12O2,152.08373,M-H,3059.187803,25.60271224,1,DTXSID5041431,DTXSID5041431,2-Isopropoxyphenol,,CC(C)Oc1ccccc1O,2-propan-2-yloxyphenol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.935140818,4.239901887,4,,,0,0,nurses1,2.308702509,0.436928691,5.283934327,3.38E-07,1,0,neg,0,1
599,151.07618-1094.6,3861,151.07618,1094.6,96.66666667,86.25,66.66666667,10.41666667,4059.159644,2739.976564,67.50107914,4317.383191,NA,2059.215962,2670.982857,129.7087292,768.8561919,NA,1.025830831,0.520405061,783.2350502,1323.942632,169.0351615,482.2594785,NA,2,10,Multiple,151.076454,1.81,C9H12O2,152.08373,M-H,3059.187803,25.60271224,1,DTXSID5041518,DTXSID5041518,4-Methoxybenzeneethanol,,COc1ccc(CCO)cc1,2-(4-methoxyphenyl)ethanol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.4737877,2.439646,1,,,0,0,nurses1,2.308702509,0.436928691,5.283934327,3.38E-07,1,0,neg,0,1
600,151.07621-333.9,3855,151.07621,333.9,100,100,100,0,13592.95154,11664.21903,85.81078947,10530.7415,10131.26952,11593.97673,10478.73885,90.38088559,9378.026349,8707.557165,1.113131952,0.949435148,1656.769842,777.8614226,46.95048177,1984.509787,1399.353469,2,10,Multiple,151.076454,1.62,C9H12O2,152.08373,M-H,12593.46414,13.15579116,0,DTXSID5041431,DTXSID5041431,2-Isopropoxyphenol,,CC(C)Oc1ccccc1O,2-propan-2-yloxyphenol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.935140818,4.239901887,4,,,0,0,nurses1,0.257468011,0.136196691,1.890413116,0.060193526,1,0,neg,0,1
601,151.07621-333.9,2236,151.07621,333.9,100,100,100,0,13592.95154,11664.21903,85.81078947,10530.7415,10131.26952,11593.97673,10478.73885,90.38088559,9378.026349,8707.557165,1.113131952,0.949435148,1656.769842,777.8614226,46.95048177,1984.509787,1399.353469,2,10,Multiple,151.076454,1.62,C9H12O2,152.08373,M-H,12593.46414,13.15579116,0,DTXSID3024869,DTXSID3024869,"Cumene,hydroperoxide",,CC(C)(OO)c1ccccc1,2-hydroperoxypropan-2-ylbenzene,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.724002,21.82146,3,,,0,0,nurses1,0.257468011,0.136196691,1.890413116,0.060193526,1,0,neg,0,1
602,151.07621-333.9,3861,151.07621,333.9,100,100,100,0,13592.95154,11664.21903,85.81078947,10530.7415,10131.26952,11593.97673,10478.73885,90.38088559,9378.026349,8707.557165,1.113131952,0.949435148,1656.769842,777.8614226,46.95048177,1984.509787,1399.353469,2,10,Multiple,151.076454,1.62,C9H12O2,152.08373,M-H,12593.46414,13.15579116,0,DTXSID5041518,DTXSID5041518,4-Methoxybenzeneethanol,,COc1ccc(CCO)cc1,2-(4-methoxyphenyl)ethanol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.4737877,2.439646,1,,,0,0,nurses1,0.257468011,0.136196691,1.890413116,0.060193526,1,0,neg,0,1
603,151.07621-333.9,5607,151.07621,333.9,100,100,100,0,13592.95154,11664.21903,85.81078947,10530.7415,10131.26952,11593.97673,10478.73885,90.38088559,9378.026349,8707.557165,1.113131952,0.949435148,1656.769842,777.8614226,46.95048177,1984.509787,1399.353469,2,10,Multiple,151.076454,1.62,C9H12O2,152.08373,M-H,12593.46414,13.15579116,0,DTXSID7052446,DTXSID7052446,"2,3,5-Trimethylhydroquinone",,Cc1cc(O)c(C)c(C)c1O,"2,3,5-trimethylbenzene-1,4-diol",C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.261542,6.734122,6,,,0,0,nurses1,0.257468011,0.136196691,1.890413116,0.060193526,1,0,neg,0,1
604,151.07621-333.9,6659,151.07621,333.9,100,100,100,0,13592.95154,11664.21903,85.81078947,10530.7415,10131.26952,11593.97673,10478.73885,90.38088559,9378.026349,8707.557165,1.113131952,0.949435148,1656.769842,777.8614226,46.95048177,1984.509787,1399.353469,2,10,Multiple,151.076454,1.62,C9H12O2,152.08373,M-H,12593.46414,13.15579116,0,DTXSID9027312,DTXSID9027312,1-Phenoxy-2-propanol,,CC(O)COc1ccccc1,1-phenoxypropan-2-ol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.369736,7.236404,3,,,0,0,nurses1,0.257468011,0.136196691,1.890413116,0.060193526,1,0,neg,0,1
605,151.07622-944.5,3855,151.07622,944.5,15.83333333,5,75,10.83333333,355.9521286,1462.174162,410.7783166,0,NA,20.52348949,97.72856716,476.1790981,0,NA,14.96158395,0.862655077,324.6023169,317.4757929,97.80453692,226.3017807,NA,2,10,Multiple,151.076454,1.55,C9H12O2,152.08373,M-H,188.2378091,172.4426769,1,DTXSID5041431,DTXSID5041431,2-Isopropoxyphenol,,CC(C)Oc1ccccc1O,2-propan-2-yloxyphenol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.935140818,4.239901887,4,,,0,0,nurses1,1.035666779,0.392521005,2.638500275,0.00900351,1,0,neg,0,
606,151.07622-944.5,6659,151.07622,944.5,15.83333333,5,75,10.83333333,355.9521286,1462.174162,410.7783166,0,NA,20.52348949,97.72856716,476.1790981,0,NA,14.96158395,0.862655077,324.6023169,317.4757929,97.80453692,226.3017807,NA,2,10,Multiple,151.076454,1.55,C9H12O2,152.08373,M-H,188.2378091,172.4426769,1,DTXSID9027312,DTXSID9027312,1-Phenoxy-2-propanol,,CC(O)COc1ccccc1,1-phenoxypropan-2-ol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.369736,7.236404,3,,,0,0,nurses1,1.035666779,0.392521005,2.638500275,0.00900351,1,0,neg,0,
607,151.07622-944.5,2236,151.07622,944.5,15.83333333,5,75,10.83333333,355.9521286,1462.174162,410.7783166,0,NA,20.52348949,97.72856716,476.1790981,0,NA,14.96158395,0.862655077,324.6023169,317.4757929,97.80453692,226.3017807,NA,2,10,Multiple,151.076454,1.55,C9H12O2,152.08373,M-H,188.2378091,172.4426769,1,DTXSID3024869,DTXSID3024869,"Cumene,hydroperoxide",,CC(C)(OO)c1ccccc1,2-hydroperoxypropan-2-ylbenzene,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.724002,21.82146,3,,,0,0,nurses1,1.035666779,0.392521005,2.638500275,0.00900351,1,0,neg,0,
608,151.07622-944.5,3861,151.07622,944.5,15.83333333,5,75,10.83333333,355.9521286,1462.174162,410.7783166,0,NA,20.52348949,97.72856716,476.1790981,0,NA,14.96158395,0.862655077,324.6023169,317.4757929,97.80453692,226.3017807,NA,2,10,Multiple,151.076454,1.55,C9H12O2,152.08373,M-H,188.2378091,172.4426769,1,DTXSID5041518,DTXSID5041518,4-Methoxybenzeneethanol,,COc1ccc(CCO)cc1,2-(4-methoxyphenyl)ethanol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.4737877,2.439646,1,,,0,0,nurses1,1.035666779,0.392521005,2.638500275,0.00900351,1,0,neg,0,
609,151.07622-944.5,5607,151.07622,944.5,15.83333333,5,75,10.83333333,355.9521286,1462.174162,410.7783166,0,NA,20.52348949,97.72856716,476.1790981,0,NA,14.96158395,0.862655077,324.6023169,317.4757929,97.80453692,226.3017807,NA,2,10,Multiple,151.076454,1.55,C9H12O2,152.08373,M-H,188.2378091,172.4426769,1,DTXSID7052446,DTXSID7052446,"2,3,5-Trimethylhydroquinone",,Cc1cc(O)c(C)c(C)c1O,"2,3,5-trimethylbenzene-1,4-diol",C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.261542,6.734122,6,,,0,0,nurses1,1.035666779,0.392521005,2.638500275,0.00900351,1,0,neg,0,
610,151.0763-725.4,2236,151.0763,725.4,100,98.75,100,1.25,14423.69233,11292.4552,78.29101554,14133.55018,10046.86777,15231.75584,12579.90909,82.59001278,13481.39045,NA,0.897657934,0.947947735,4867.352401,2155.735317,44.28969056,5567.408229,4261.484524,2,10,Multiple,151.076454,1.02,C9H12O2,152.08373,M-H,14827.72408,32.82602491,0,DTXSID3024869,DTXSID3024869,"Cumene,hydroperoxide",,CC(C)(OO)c1ccccc1,2-hydroperoxypropan-2-ylbenzene,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.724002,21.82146,3,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
611,151.0763-725.4,3855,151.0763,725.4,100,98.75,100,1.25,14423.69233,11292.4552,78.29101554,14133.55018,10046.86777,15231.75584,12579.90909,82.59001278,13481.39045,NA,0.897657934,0.947947735,4867.352401,2155.735317,44.28969056,5567.408229,4261.484524,2,10,Multiple,151.076454,1.02,C9H12O2,152.08373,M-H,14827.72408,32.82602491,0,DTXSID5041431,DTXSID5041431,2-Isopropoxyphenol,,CC(C)Oc1ccccc1O,2-propan-2-yloxyphenol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.935140818,4.239901887,4,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
612,151.0763-725.4,3861,151.0763,725.4,100,98.75,100,1.25,14423.69233,11292.4552,78.29101554,14133.55018,10046.86777,15231.75584,12579.90909,82.59001278,13481.39045,NA,0.897657934,0.947947735,4867.352401,2155.735317,44.28969056,5567.408229,4261.484524,2,10,Multiple,151.076454,1.02,C9H12O2,152.08373,M-H,14827.72408,32.82602491,0,DTXSID5041518,DTXSID5041518,4-Methoxybenzeneethanol,,COc1ccc(CCO)cc1,2-(4-methoxyphenyl)ethanol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.4737877,2.439646,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
613,151.0763-725.4,5607,151.0763,725.4,100,98.75,100,1.25,14423.69233,11292.4552,78.29101554,14133.55018,10046.86777,15231.75584,12579.90909,82.59001278,13481.39045,NA,0.897657934,0.947947735,4867.352401,2155.735317,44.28969056,5567.408229,4261.484524,2,10,Multiple,151.076454,1.02,C9H12O2,152.08373,M-H,14827.72408,32.82602491,0,DTXSID7052446,DTXSID7052446,"2,3,5-Trimethylhydroquinone",,Cc1cc(O)c(C)c(C)c1O,"2,3,5-trimethylbenzene-1,4-diol",C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.261542,6.734122,6,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
614,151.0763-725.4,6659,151.0763,725.4,100,98.75,100,1.25,14423.69233,11292.4552,78.29101554,14133.55018,10046.86777,15231.75584,12579.90909,82.59001278,13481.39045,NA,0.897657934,0.947947735,4867.352401,2155.735317,44.28969056,5567.408229,4261.484524,2,10,Multiple,151.076454,1.02,C9H12O2,152.08373,M-H,14827.72408,32.82602491,0,DTXSID9027312,DTXSID9027312,1-Phenoxy-2-propanol,,CC(O)COc1ccccc1,1-phenoxypropan-2-ol,C9H12O2,152.08373,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.369736,7.236404,3,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
615,151.11262-305.5,2264,151.11262,305.5,100,100,100,0,48796.43733,47511.51386,97.36676787,34477.16516,34498.4693,59686.81887,72892.19613,122.1244447,33163.20962,37016.39712,0.651805219,0.79727501,59216.98131,90647.85928,153.0774742,28796.495,21137.21818,3,21600,Multiple,151.112839,1.45,C10H16O,152.12011,M-H,54241.6281,109.1725735,0,DTXSID3026148,DTXSID3026148,alpha-Thujone,,CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,"(1S,4R,5R)-4-methyl-1-propan-2-ylbicyclo[3.1.0]hexan-3-one",C10H16O,152.120115,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.206480236,9.139191389,2,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
616,151.11262-305.5,4404,151.11262,305.5,100,100,100,0,48796.43733,47511.51386,97.36676787,34477.16516,34498.4693,59686.81887,72892.19613,122.1244447,33163.20962,37016.39712,0.651805219,0.79727501,59216.98131,90647.85928,153.0774742,28796.495,21137.21818,3,21600,Multiple,151.112839,1.45,C10H16O,152.12011,M-H,54241.6281,109.1725735,0,DTXSID6024836,DTXSID6024836,"3,7-Dimethyl-2,6-octadienal",,CC(C)=CCCC(C)=CC=O,"3,7-dimethylocta-2,6-dienal",C10H16O,152.120115,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-5.093428754,5.702605039,4,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
617,151.11262-305.5,4408,151.11262,305.5,100,100,100,0,48796.43733,47511.51386,97.36676787,34477.16516,34498.4693,59686.81887,72892.19613,122.1244447,33163.20962,37016.39712,0.651805219,0.79727501,59216.98131,90647.85928,153.0774742,28796.495,21137.21818,3,21600,Multiple,151.112839,1.45,C10H16O,152.12011,M-H,54241.6281,109.1725735,0,DTXSID6024911,DTXSID6024911,"(E,E)-2,4-Decadienal",,CCCCC/C=C/C=C/C=O,"(2E,4E)-deca-2,4-dienal",C10H16O,152.120115,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.968887911,24.33206315,6,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
618,151.11262-305.5,4504,151.11262,305.5,100,100,100,0,48796.43733,47511.51386,97.36676787,34477.16516,34498.4693,59686.81887,72892.19613,122.1244447,33163.20962,37016.39712,0.651805219,0.79727501,59216.98131,90647.85928,153.0774742,28796.495,21137.21818,3,21600,Multiple,151.112839,1.45,C10H16O,152.12011,M-H,54241.6281,109.1725735,0,DTXSID6029331,DTXSID6029331,2-Pentyl-2-cyclopenten-1-one,,CCCCCC1=CCCC1=O,2-pentylcyclopent-2-en-1-one,C10H16O,152.120115,"exposurepred, VBtoxcast",,,,,,,1,7.215624799,,,,,,,,,,,1,-4.459785657,8.53249284,13,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
619,151.11262-305.5,5509,151.11262,305.5,100,100,100,0,48796.43733,47511.51386,97.36676787,34477.16516,34498.4693,59686.81887,72892.19613,122.1244447,33163.20962,37016.39712,0.651805219,0.79727501,59216.98131,90647.85928,153.0774742,28796.495,21137.21818,3,21600,Multiple,151.112839,1.45,C10H16O,152.12011,M-H,54241.6281,109.1725735,0,DTXSID7047142,DTXSID7047142,beta-Cyclocitral,,CC1=C(C=O)C(C)(C)CCC1,"2,6,6-trimethylcyclohexene-1-carbaldehyde",C10H16O,152.120115,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.6237111,5.506510677,6,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
620,151.11262-305.5,5772,151.11262,305.5,100,100,100,0,48796.43733,47511.51386,97.36676787,34477.16516,34498.4693,59686.81887,72892.19613,122.1244447,33163.20962,37016.39712,0.651805219,0.79727501,59216.98131,90647.85928,153.0774742,28796.495,21137.21818,3,21600,Multiple,151.112839,1.45,C10H16O,152.12011,M-H,54241.6281,109.1725735,0,DTXSID8022036,DTXSID8022036,(1S)-(-)-Camphor,,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,"(1S,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C10H16O,152.120115,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-5.862198794,4.698438994,6,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
621,153.01922-189.6,180,153.01922,189.6,100,100,25,0,1275541.869,1072350.382,84.07018292,950460.3896,937222.1216,1645191.946,1659271.938,100.8558266,1533429.087,1088148.201,0.646277658,0.833567933,43.54113672,82.42309719,189.2993693,0,NA,3,27000,Multiple,153.019333,0.74,C7H6O4,154.02661,M-H,1460366.908,0.00298152,0,DTXSID0025074,DTXSID0025074,"2,4-Dihydroxybenzoic,acid",??,O=C(O)c1ccc(O)cc1O,"2,4-dihydroxybenzoic acid",C7H6O4,154.026609,"exposurepred, VBtoxcast",,,,,,,1,0.554522117,,,,,,,,,,,1,-0.4805339,1.356415,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
622,153.01922-189.6,7058,153.01922,189.6,100,100,25,0,1275541.869,1072350.382,84.07018292,950460.3896,937222.1216,1645191.946,1659271.938,100.8558266,1533429.087,1088148.201,0.646277658,0.833567933,43.54113672,82.42309719,189.2993693,0,NA,3,27000,Multiple,153.019333,0.74,C7H6O4,154.02661,M-H,1460366.908,0.00298152,0,DTXSID9057684,DTXSID9057684,"2,3,4-Trihydroxybenzaldehyde",,O=Cc1ccc(O)c(O)c1O,"2,3,4-trihydroxybenzaldehyde",C7H6O4,154.026609,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.504357597,6.423889579,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
623,153.05548-203.5,1985,153.05548,203.5,100,95,91.66666667,5,5386.978728,3621.95939,67.23545001,4399.370753,3923.644224,6218.141618,14938.35911,240.2383224,3730.091196,NA,0.242460324,0.279869795,1175.779145,1224.383045,104.1337611,746.4674108,NA,2,10,Unique,153.055718,1.55,C8H10O3,154.06299,M-H,5802.560173,20.26310989,0,DTXSID2052607,DTXSID2052607,"2,6-Dimethoxyphenol",,COc1cccc(OC)c1O,"2,6-dimethoxyphenol",C8H10O3,154.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.8302499,2.808338,9,,,0,0,nurses1,0.943411632,0.267708572,3.524024744,0.000530117,1,0,neg,0,1
624,153.05549-270.6,1985,153.05549,270.6,100,100,100,0,9900.234458,5777.815784,58.36039347,8120.694418,8489.566735,9767.002492,12729.16247,130.3282403,5750.090267,6248.471475,0.453903845,0.447795454,1340.561031,1125.651785,83.9687085,936.8924782,854.9527589,2,10,Unique,153.055718,1.49,C8H10O3,154.06299,M-H,9833.618475,13.63242874,0,DTXSID2052607,DTXSID2052607,"2,6-Dimethoxyphenol",,COc1cccc(OC)c1O,"2,6-dimethoxyphenol",C8H10O3,154.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.8302499,2.808338,9,,,0,0,nurses1,0.406788186,0.126202143,3.223306473,0.001486636,1,0,neg,0,1
625,153.09169-467.7,6942,153.09169,467.7,100,100,100,0,9006.651163,10026.56838,111.3240449,5243.639533,5263.570173,6026.277471,6219.636276,103.2085945,3955.348286,3490.564354,1.612082755,1.078631537,2024.948889,1848.858785,91.30397293,1459.736671,1141.979838,3,18782.6087,Unique,153.092104,2.7,C9H14O2,154.09938,M-H,7516.464317,26.9401783,0,DTXSID9047093,DTXSID9047093,"Methyl,2-octynoate",,CCCCCC#CC(=O)OC,methyl oct-2-ynoate,C9H14O2,154.09938,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.374314946,2.224340858,1,,,0,0,nurses1,0.603707457,0.156461306,3.858509628,0.000155223,1,0,neg,0,1
626,154.0625-61.9,2093,154.0625,61.9,100,100,25,0,153190.3919,46860.32497,30.58959794,152951.0496,145901.6644,161349.4718,58552.63392,36.28932481,175053.9838,149347.448,0.800311136,0.842936541,56.44446844,116.1543725,205.7852181,0,NA,2,10,Unique,154.062201,1.94,C6H10ClN3O2,155.06948,M-H,157269.9319,0.035890184,0,DTXSID3020700,DTXSID3020700,"L-Histidine,hydrochloride",,N[C@@H](Cc1cnc[nH]1)C(=O)O,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,C6H10ClN3O2,155.069477,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.381412988,2.071696264,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
627,154.06294-191.7,2093,154.06294,191.7,100,100,100,0,8438.278952,3327.624506,39.43487202,7647.84827,7805.275181,8762.929443,5131.796953,58.56257302,8025.093487,7762.475617,0.648432613,0.673380113,4632.673346,3497.837175,75.50364365,3785.640431,3704.740475,2,10,Unique,154.062201,4.8,C6H10ClN3O2,155.06948,M-H,8600.604197,53.86451044,0,DTXSID3020700,DTXSID3020700,"L-Histidine,hydrochloride",,N[C@@H](Cc1cnc[nH]1)C(=O)O,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,C6H10ClN3O2,155.069477,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.381412988,2.071696264,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
628,154.06303-562.2,2093,154.06303,562.2,98.33333333,97.5,100,0.833333333,2680.840829,1449.0778,54.05310842,3023.4943,NA,2825.632386,1558.925174,55.17084182,3185.134598,NA,0.929536468,0.979740505,3510.91045,1051.798362,29.95799456,3929.031215,3321.973833,2,10,Unique,154.062201,5.38,C6H10ClN3O2,155.06948,M-H,2753.236608,127.5193872,0,DTXSID3020700,DTXSID3020700,"L-Histidine,hydrochloride",,N[C@@H](Cc1cnc[nH]1)C(=O)O,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,C6H10ClN3O2,155.069477,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.381412988,2.071696264,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
